country_region_code,country_region,sub_region_1,iso_3166_2_code,date,retail,grocery,parks,transit,work,home
IT,Italy,,,2/15/20,3,-1,35,9,0,-1
IT,Italy,,,2/16/20,3,2,26,11,1,-2
IT,Italy,,,2/17/20,0,1,7,3,1,0
IT,Italy,,,2/18/20,3,1,16,4,1,0
IT,Italy,,,2/19/20,0,-1,11,3,1,0
IT,Italy,,,2/20/20,2,1,18,5,1,0
IT,Italy,,,2/21/20,1,1,19,5,0,-1
IT,Italy,,,2/22/20,-1,3,30,8,0,-1
IT,Italy,,,2/23/20,-5,16,23,6,1,0
IT,Italy,,,2/24/20,-4,23,22,-15,-14,4
IT,Italy,,,2/25/20,-6,5,20,-18,-15,5
IT,Italy,,,2/26/20,-13,-5,-6,-23,-12,6
IT,Italy,,,2/27/20,-10,-3,-1,-22,-12,6
IT,Italy,,,2/28/20,-8,-2,11,-20,-12,5
IT,Italy,,,2/29/20,-10,-2,2,-16,-9,3
IT,Italy,,,3/1/20,-19,-5,-30,-26,-5,4
IT,Italy,,,3/2/20,-13,-7,-26,-25,-9,5
IT,Italy,,,3/3/20,-7,-1,-9,-21,-8,4
IT,Italy,,,3/4/20,-7,1,8,-19,-8,4
IT,Italy,,,3/5/20,-12,0,-12,-28,-16,7
IT,Italy,,,3/6/20,-15,0,-8,-29,-17,8
IT,Italy,,,3/7/20,-19,1,2,-24,-15,6
IT,Italy,,,3/8/20,-32,3,1,-27,-10,6
IT,Italy,,,3/9/20,-30,-1,-24,-42,-24,11
IT,Italy,,,3/10/20,-43,-2,-32,-51,-31,16
IT,Italy,,,3/11/20,-52,-14,-32,-57,-37,19
IT,Italy,,,3/12/20,-70,-23,-61,-67,-47,24
IT,Italy,,,3/13/20,-75,-28,-64,-71,-53,28
IT,Italy,,,3/14/20,-83,-43,-78,-76,-58,25
IT,Italy,,,3/15/20,-90,-60,-81,-80,-55,22
IT,Italy,,,3/16/20,-75,-37,-67,-74,-58,27
IT,Italy,,,3/17/20,-77,-41,-68,-76,-61,29
IT,Italy,,,3/18/20,-79,-43,-71,-77,-61,30
IT,Italy,,,3/19/20,-79,-44,-74,-78,-63,31
IT,Italy,,,3/20/20,-80,-40,-77,-78,-63,32
IT,Italy,,,3/21/20,-86,-51,-85,-80,-63,26
IT,Italy,,,3/22/20,-95,-85,-91,-87,-63,24
IT,Italy,,,3/23/20,-80,-45,-81,-81,-68,32
IT,Italy,,,3/24/20,-81,-48,-80,-81,-69,32
IT,Italy,,,3/25/20,-83,-51,-82,-82,-70,34
IT,Italy,,,3/26/20,-84,-52,-84,-83,-72,35
IT,Italy,,,3/27/20,-83,-46,-82,-82,-71,36
IT,Italy,,,3/28/20,-87,-54,-86,-82,-65,27
IT,Italy,,,3/29/20,-94,-85,-90,-87,-63,24
IT,Italy,,,3/30/20,-81,-47,-79,-81,-69,32
IT,Italy,,,3/31/20,-90,-42,-78,-79,-70,33
IT,Italy,,,4/1/20,-90,-41,-77,-79,-70,33
IT,Italy,,,4/2/20,-90,-40,-77,-79,-70,34
IT,Italy,,,4/3/20,-85,-37,-78,-79,-69,35
IT,Italy,,,4/4/20,-89,-48,-84,-80,-63,27
IT,Italy,,,4/5/20,-95,-82,-90,-86,-62,24
IT,Italy,,,4/6/20,-83,-39,-76,-78,-66,31
IT,Italy,,,4/7/20,-81,-38,-75,-78,-67,31
IT,Italy,,,4/8/20,-82,-37,-76,-78,-67,31
IT,Italy,,,4/9/20,-81,-32,-76,-78,-67,32
IT,Italy,,,4/10/20,-81,-27,-76,-77,-68,33
IT,Italy,,,4/11/20,-86,-42,-83,-78,-62,26
IT,Italy,,,4/12/20,-96,-94,-91,-88,-66,25
IT,Italy,,,4/13/20,-96,-93,-86,-91,-90,40
IT,Italy,,,4/14/20,-81,-41,-76,-77,-65,30
IT,Italy,,,4/15/20,-80,-38,-75,-76,-64,30
IT,Italy,,,4/16/20,-79,-37,-75,-76,-63,31
IT,Italy,,,4/17/20,-79,-34,-75,-76,-63,32
IT,Italy,,,4/18/20,-85,-48,-82,-77,-58,25
IT,Italy,,,4/19/20,-94,-82,-88,-84,-58,23
IT,Italy,,,4/20/20,-79,-48,-79,-79,-61,29
IT,Italy,,,4/21/20,-79,-45,-76,-77,-61,29
IT,Italy,,,4/22/20,-79,-45,-75,-76,-61,30
IT,Italy,,,4/23/20,-78,-40,-73,-75,-60,30
IT,Italy,,,4/24/20,-75,-27,-71,-73,-60,29
IT,Italy,,,4/25/20,-93,-86,-83,-83,-72,28
IT,Italy,,,4/26/20,-92,-74,-85,-81,-54,22
IT,Italy,,,4/27/20,-72,-34,-68,-72,-57,26
IT,Italy,,,4/28/20,-75,-39,-71,-74,-58,26
IT,Italy,,,4/29/20,-75,-36,-68,-72,-57,27
IT,Italy,,,4/30/20,-71,-23,-67,-71,-57,26
IT,Italy,,,5/1/20,-92,-90,-74,-86,-86,41
IT,Italy,,,5/2/20,-78,-37,-71,-70,-52,23
IT,Italy,,,5/3/20,-89,-71,-75,-76,-46,21
IT,Italy,,,5/4/20,-58,-25,-30,-57,-45,18
IT,Italy,,,5/5/20,-60,-27,-31,-58,-46,19
IT,Italy,,,5/6/20,-61,-28,-32,-58,-46,20
IT,Italy,,,5/7/20,-60,-27,-28,-58,-45,20
IT,Italy,,,5/8/20,-60,-23,-29,-58,-45,21
IT,Italy,,,5/9/20,-63,-28,-31,-52,-39,15
IT,Italy,,,5/10/20,-74,-61,-43,-57,-28,13
IT,Italy,,,5/11/20,-58,-31,-45,-61,-43,19
IT,Italy,,,5/12/20,-56,-24,-27,-56,-42,19
IT,Italy,,,5/13/20,-59,-27,-39,-59,-42,19
IT,Italy,,,5/14/20,-56,-24,-28,-56,-42,18
IT,Italy,,,5/15/20,-58,-22,-34,-58,-42,20
IT,Italy,,,5/16/20,-61,-26,-37,-53,-34,15
IT,Italy,,,5/17/20,-68,-56,-24,-52,-21,12
IT,Italy,,,5/18/20,-38,-19,-11,-48,-36,14
