"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"1",2020-02-24,0,NA,NA,93,45,22.4,20.4,-7,33,25,-18,-13,6,2020-02-24,1.91528006867233,1.91022297255724,1.69873400354849,2.1161014249417,21.7268688308423,0,0,0,0
"2",2020-02-25,0,61.5,14.4,61,32,27,18.3,-11,1,24,-23,-15,7,2020-02-25,1.88550822747232,1.87932621196958,1.70066271508903,2.0893417026338,24.9514705604577,3.00232288755847,0,0,0
"3",2020-02-26,0,54.1,9.5,13,13,24.7,26,-18,-9,-16,-31,-15,8,2020-02-26,1.85368316263067,1.85984675236736,1.6484548961129,2.01424516154005,28.8457261278651,4.67943908485235,0,0,0
"4",2020-02-27,0,36.5,9.4,13,3,8.3,28.1,-12,-6,3,-29,-15,7,2020-02-27,1.81720542948428,1.82053156875312,1.66537603876937,1.99708369011775,32.9850792973114,5.87740554513032,0,0,0
"5",2020-02-28,0,35,8.8,38,10,30.2,25.2,-11,-5,12,-28,-15,7,2020-02-28,1.77859748614803,1.78287449839756,1.60262609347436,1.91483361170297,37.5128726526286,7.21102883743061,0,0,0
"6",2020-02-29,2,38.7,12.2,46,16,30.7,23.6,-13,1,4,-23,-16,5,2020-02-29,1.73341716016628,1.73243346407532,1.59998060989531,1.88324376243353,42.5274809614369,8.98166421391306,4.02840208745964,2,8
"7",2020-03-01,0,81.9,7.2,74,29,12.8,22.8,-26,-5,-39,-38,-8,6,2020-03-01,1.68340161326789,1.68154348521674,1.54786576960783,1.81477556371767,48.0080708429778,10.6589833547301,0,0,0
"8",2020-03-02,1,84.6,8.6,17,11,23.4,24,-14,-6,-25,-31,-10,6,2020-03-02,1.63174917098065,1.62976038499748,1.51522190024805,1.76929720987868,53.9015472135282,12.8834483479572,2.01420104372982,1,4
"9",2020-03-03,3,85.3,8,13,5,18.8,17.9,-12,-6,-20,-31,-13,7,2020-03-03,1.5763487510007,1.57590813109601,1.45546949290356,1.69363408969957,60.1405210848782,14.8117043056949,0,0,0
"10",2020-03-04,5,83.5,7.2,25,10,22,15.5,-13,-4,-6,-30,-13,7,2020-03-04,1.51987866854759,1.51721392065965,1.3917887621043,1.62839613840124,66.6488428774475,17.1751408765388,10.0710052186491,5,20
