Date,Daily,Humidity,Temperature,pm25,pm10,no2,o3,retail,grocery,parks,transit,work,home,date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,avg_pm25
2/24/20,0,NA,NA,93,45,22.4,20.4,-7,33,25,-18,-13,6,02/24/0020,1.915280069,1.910222973,1.698734004,2.116101425,21.72686883,0,0,0,0,79.75
2/25/20,0,61.5,14.4,61,32,27,18.3,-11,1,24,-23,-15,7,02/25/0020,1.885508227,1.879326212,1.700662715,2.089341703,24.95147056,3.002322888,0,0,0,47.75
2/26/20,0,54.1,9.5,13,13,24.7,26,-18,-9,-16,-31,-15,8,02/26/0020,1.853683163,1.859846752,1.648454896,2.014245162,28.84572613,4.679439085,0,0,0,72.6
2/27/20,0,36.5,9.4,13,3,8.3,28.1,-12,-6,3,-29,-15,7,02/27/0020,1.817205429,1.820531569,1.665376039,1.99708369,32.9850793,5.877405545,0,0,0,72.6
2/28/20,0,35,8.8,38,10,30.2,25.2,-11,-5,12,-28,-15,7,02/28/0020,1.778597486,1.782874498,1.602626093,1.914833612,37.51287265,7.211028837,0,0,0,73.4
2/29/20,2,38.7,12.2,46,16,30.7,23.6,-13,1,4,-23,-16,5,02/29/0020,1.73341716,1.732433464,1.59998061,1.883243762,42.52748096,8.981664214,4.028402087,2,8,75.2
3/1/20,0,81.9,7.2,74,29,12.8,22.8,-26,-5,-39,-38,-8,6,03/01/0020,1.683401613,1.681543485,1.54786577,1.814775564,48.00807084,10.65898335,0,0,0,101.6
3/2/20,1,84.6,8.6,17,11,23.4,24,-14,-6,-25,-31,-10,6,03/02/0020,1.631749171,1.629760385,1.5152219,1.76929721,53.90154721,12.88344835,2.014201044,1,4,89.8
3/3/20,3,85.3,8,13,5,18.8,17.9,-12,-6,-20,-31,-13,7,03/03/0020,1.576348751,1.575908131,1.455469493,1.69363409,60.14052108,14.81170431,0,0,0,74.8
3/4/20,5,83.5,7.2,25,10,22,15.5,-13,-4,-6,-30,-13,7,03/04/0020,1.519878669,1.517213921,1.391788762,1.628396138,66.64884288,17.17514088,10.07100522,5,20,51.8
3/5/20,8,76,8.5,25,11,28.8,15.5,-16,-5,-13,-32,-14,8,03/05/0020,1.461235098,1.458931025,1.36060777,1.579225539,73.32476724,20.05677283,16.11360835,8,20,45.2
3/6/20,22,84.2,7.7,55,16,19.2,20.4,-17,-1,-9,-34,-15,8,03/06/0020,1.401580057,1.400702942,1.283012104,1.497094423,80.04349178,22.92876629,44.31242296,22,32,63.2
3/7/20,8,84,7.7,65,24,22.4,17.1,-22,5,-8,-31,-18,8,03/07/0020,1.345236036,1.34220856,1.247170169,1.444193094,86.65947054,26.28782508,16.11360835,8,27,58.6
