Date,Daily,Humidity,Temperature,pm25,pm10,no2,o3,retail,grocery,parks,transit,work,home
2/24/20,0,,,93,45,22.4,20.4,-7,33,25,-18,-13,6
2/25/20,0,61.5,14.4,61,32,27,18.3,-11,1,24,-23,-15,7
2/26/20,0,54.1,9.5,13,13,24.7,26,-18,-9,-16,-31,-15,8
2/27/20,0,36.5,9.4,13,3,8.3,28.1,-12,-6,3,-29,-15,7
2/28/20,0,35,8.8,38,10,30.2,25.2,-11,-5,12,-28,-15,7
2/29/20,2,38.7,12.2,46,16,30.7,23.6,-13,1,4,-23,-16,5
3/1/20,0,81.9,7.2,74,29,12.8,22.8,-26,-5,-39,-38,-8,6
3/2/20,1,84.6,8.6,17,11,23.4,24,-14,-6,-25,-31,-10,6
3/3/20,3,85.3,8,13,5,18.8,17.9,-12,-6,-20,-31,-13,7
3/4/20,5,83.5,7.2,25,10,22,15.5,-13,-4,-6,-30,-13,7
3/5/20,8,76,8.5,25,11,28.8,15.5,-16,-5,-13,-32,-14,8
3/6/20,22,84.2,7.7,55,16,19.2,20.4,-17,-1,-9,-34,-15,8
3/7/20,8,84,7.7,65,24,22.4,17.1,-22,5,-8,-31,-18,8
3/8/20,13,69.1,6.9,30,11,22.4,24.4,-37,7,26,-33,-13,7
3/9/20,18,71.4,7.7,55,20,26.6,19.1,-34,-4,-21,-45,-20,12
3/10/20,6,65.5,9.5,59,21,28.8,21.6,-44,-5,-23,-50,-27,16
3/11/20,22,57.5,11.5,53,17,25.6,26.4,-50,-11,-20,-54,-32,18
3/12/20,14,74.5,13,70,26,25.6,22.8,-68,-17,-51,-63,-40,23
3/13/20,33,75.3,14.1,42,18,22,18.3,-73,-18,-61,-68,-46,27
3/14/20,40,77,11,63,25,11.9,19.1,-84,-37,-78,-76,-57,26
3/15/20,35,67.5,7.2,30,10,9.2,24.4,-90,-56,-72,-80,-53,22
3/16/20,61,61.3,8.4,46,16,20.6,26.9,-73,-31,-60,-70,-50,26
3/17/20,42,61,9,59,24,23.8,27.3,-76,-36,-62,-72,-55,29
3/18/20,62,60,12.2,65,28,29.3,31.3,-77,-38,-67,-73,-56,30
3/19/20,70,64,13.5,63,24,15.1,34.2,-78,-39,-73,-75,-57,31
3/20/20,87,71.3,14,68,28,21.1,29.7,-79,-33,-77,-76,-58,33
3/21/20,58,69.2,12,59,21,11.9,31.7,-86,-46,-86,-80,-62,28
3/22/20,64,73.5,11,42,19,4.6,21.6,-96,-94,-91,-88,-64,24
3/23/20,159,41.5,5.6,34,14,10.6,28.1,-79,-39,-78,-78,-64,32
3/24/20,135,48,5.9,50,16,14.7,25.6,-80,-43,-79,-77,-66,34
3/25/20,139,54.5,5.5,50,20,7.4,22.4,-83,-46,-82,-80,-68,35
3/26/20,146,93,3.1,38,14,13.3,18.3,-85,-51,-85,-82,-71,37
3/27/20,160,81.3,7.2,57,29,9.6,15.1,-83,-40,-83,-81,-70,38
3/28/20,173,68.3,10.5,68,71,12.8,26,-88,-50,-86,-82,-66,29
3/29/20,157,61.5,12.5,55,65,11,30.9,-96,-94,-88,-88,-65,24
3/30/20,129,76,9.7,55,36,14.2,24,-81,-42,-77,-78,-67,33
3/31/20,68,61,6,17,10,15.6,25.2,-90,-37,-77,-76,-69,35
4/1/20,144,55.5,4.5,38,14,19.2,28.9,-90,-35,-75,-76,-68,35
4/2/20,141,53,6.6,55,17,13.3,30.1,-90,-35,-75,-76,-68,35
4/3/20,114,58.4,8.7,55,19,18.3,32.5,-85,-29,-78,-78,-67,36
4/4/20,90,57,9.7,59,20,12.4,35.4,-90,-42,-85,-81,-64,28
4/5/20,92,54.3,10.6,50,17,10.1,32.1,-96,-93,-88,-87,-63,24
4/6/20,96,52,12.5,65,25,12.8,34.6,-82,-32,-74,-76,-63,31
4/7/20,39,46,12.5,63,26,20.2,34.2,-81,-33,-73,-75,-64,33
4/8/20,102,32,14.8,46,17,12.4,33.8,-81,-31,-74,-75,-64,33
4/9/20,98,38.5,12.8,38,16,11.5,35.4,-81,-28,-74,-75,-64,33
4/10/20,98,40,16.1,55,17,8.3,40.3,-80,-20,-77,-76,-65,35
4/11/20,121,39.8,17.5,59,15,5.5,43.1,-87,-38,-84,-79,-63,27
4/12/20,122,26,18.7,34,9,5.5,37.8,-96,-95,-89,-89,-66,24
4/13/20,95,34.5,17.5,53,12,7.4,42.3,-96,-96,-84,-90,-91,43
4/14/20,28,55.6,14.5,50,16,6.4,41.1,-80,-33,-74,-74,-61,31
4/15/20,60,57.5,10,38,13,13.3,28.9,-80,-31,-73,-73,-60,31
4/16/20,110,60,12.5,38,14,10.1,28.9,-78,-33,-73,-74,-59,32
4/17/20,129,40.5,15.5,38,17,10.6,33.8,-78,-29,-75,-75,-59,33
4/18/20,60,61,17.5,38,17,8.3,35,-85,-43,-83,-78,-58,27
4/19/20,61,67.2,17.4,21,14,5.1,33.8,-94,-84,-87,-86,-57,23
4/20/20,82,93,14,13,11,8.7,19.1,-78,-46,-79,-77,-57,29
4/21/20,43,93,11.5,21,12,11.9,17.5,-78,-41,-76,-74,-58,31
