"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"1",2020-02-24,0,NA,NA,107,49,27,31.3,-18,27,28,-32,-22,9,2020-02-24,1.91413683329833,1.90460297040849,1.70831607261943,2.04618894086988,135.549998324715,13.4501016589451,0,0,0
"2",2020-02-25,0,76.5,11.6,132,50,29.3,11,-22,3,8,-37,-23,11,2020-02-25,1.83062925981926,1.81994846051888,1.65274792628842,1.96428527913477,158.442497956114,20.9883698767535,0,0,0
"3",2020-02-26,2,30.5,9.3,104,43,27,29.3,-23,-7,-5,-40,-23,11,2020-02-26,1.74454014955641,1.73602247207545,1.59713486451107,1.87277133699687,182.024049101079,26.7230324464616,0,0,0
"4",2020-02-27,8,30.1,7.9,38,15,32.5,30.1,-19,-7,7,-39,-23,10,2020-02-27,1.65300779675363,1.64643123070814,1.52481789140776,1.79078381782028,206.755376791799,33.5792034633905,0,0,0
"5",2020-02-28,3,30.3,7.7,50,19,42.1,35.8,-16,-6,32,-37,-24,10,2020-02-28,1.56168283718291,1.55268898892466,1.4281088373831,1.6738926258648,232.628105701013,42.7812281166254,8.07623482740811,3,36
"6",2020-02-29,1,41.6,9,53,21,24.7,28.5,-24,-5,-12,-34,-20,8,2020-02-29,1.47173834556798,1.46944113550634,1.3580263386429,1.57465587346651,258.844463652363,51.9094431584762,2.69207827580271,1,11
"7",2020-03-01,35,93.1,6.6,NA,NA,NA,NA,-33,-9,-38,-40,-14,7,2020-03-01,1.38805493822454,1.38613033439048,1.27057785063706,1.4805370294061,284.495396203815,63.9016767434903,94.2227396530947,35,110
"8",2020-03-02,11,95.2,4.6,NA,NA,NA,NA,-26,-18,-53,-44,-20,11,2020-03-02,1.31075286529877,1.30828120173472,1.21722332792435,1.40536153774354,308.76589977689,74.9973402198207,29.6128610338298,11,43
"9",2020-03-03,26,NA,NA,63,21,22.9,7.4,-13,-1,16,-35,-19,9,2020-03-03,1.240329216966,1.23985412719339,1.13330214472184,1.31835010736914,330.956897795661,88.4452972814609,69.9940351708703,26,161
"10",2020-03-04,41,65.7,7.8,46,16,29.3,27.3,-14,-1,46,-34,-19,8,2020-03-04,1.17377048413463,1.1742833325629,1.0923090237464,1.27019874541363,350.511783207601,104.505472477654,100.409904696111,41,350
"11",2020-03-05,28,71.6,6.2,38,13,18.8,26.4,-22,-6,-31,-42,-21,11,2020-03-05,1.1112267686256,1.10938971991893,1.03280803631183,1.20304180953722,366.995135880838,120.646971786738,0,0,0
"12",2020-03-06,27,82.2,5.8,63,20,27,17.9,-20,-2,1,-40,-22,11,2020-03-06,1.05303426110466,1.0515768809176,0.970210673936672,1.1330529368392,380.012832329378,138.922717893978,72.686113446673,27,90
"13",2020-03-07,231,64.4,9,76,25,24.7,28.1,-25,-1,54,-31,-19,7,2020-03-07,1.00449387829057,1.00499176700639,0.926812242075717,1.08341743274155,389.233272872536,158.366013567822,311.816431522204,231,635
