Date,Daily,Humidity,Temperature,pm25,pm10,no2,o3,retail,grocery,parks,transit,work,home
2/24/20,0,,,107,49,27,31.3,-18,27,28,-32,-22,9
2/25/20,0,76.5,11.6,132,50,29.3,11,-22,3,8,-37,-23,11
2/26/20,2,30.5,9.3,104,43,27,29.3,-23,-7,-5,-40,-23,11
2/27/20,8,30.1,7.9,38,15,32.5,30.1,-19,-7,7,-39,-23,10
2/28/20,3,30.3,7.7,50,19,42.1,35.8,-16,-6,32,-37,-24,10
2/29/20,1,41.6,9,53,21,24.7,28.5,-24,-5,-12,-34,-20,8
3/1/20,35,93.1,6.6,,,,,-33,-9,-38,-40,-14,7
3/2/20,11,95.2,4.6,,,,,-26,-18,-53,-44,-20,11
3/3/20,26,,,63,21,22.9,7.4,-13,-1,16,-35,-19,9
3/4/20,41,65.7,7.8,46,16,29.3,27.3,-14,-1,46,-34,-19,8
3/5/20,28,71.6,6.2,38,13,18.8,26.4,-22,-6,-31,-42,-21,11
3/6/20,27,82.2,5.8,63,20,27,17.9,-20,-2,1,-40,-22,11
3/7/20,231,64.4,9,76,25,24.7,28.1,-25,-1,54,-31,-19,7
3/8/20,88,51.2,8.1,30,9,31.1,35.8,-48,-1,16,-42,-19,8
3/9/20,238,70.2,8.3,61,20,27.5,28.9,-42,-9,-35,-57,-31,16
3/10/20,51,57.8,8.4,82,33,29.3,23.6,-50,-8,-25,-61,-38,20
3/11/20,561,59.6,11.6,74,29,27.5,31.3,-57,-13,-23,-65,-43,22
3/12/20,247,72.6,12,117,50,25.2,24.4,-74,-26,-62,-74,-52,28
3/13/20,186,72.3,13.3,63,25,15.1,29.3,-78,-27,-57,-76,-58,31
3/14/20,338,73.3,10,72,23,13.3,26.4,-86,-46,-80,-80,-63,26
3/15/20,351,70.3,6.7,46,10,10.6,35,-91,-58,-78,-83,-57,22
3/16/20,445,58.6,8.3,59,18,23.8,34.6,-78,-35,-62,-79,-63,30
3/17/20,382,57.6,11.7,89,32,35.2,37.4,-80,-39,-59,-80,-65,32
3/18/20,484,52.8,14.3,99,40,29.8,41.1,-82,-42,-67,-81,-66,33
3/19/20,463,57,13,78,30,31.1,43.1,-82,-43,-72,-82,-67,34
3/20/20,401,59.1,14.3,93,39,16,45.9,-82,-40,-76,-82,-68,36
3/21/20,380,74.5,12.6,91,34,12.4,41.9,-88,-55,-84,-83,-67,27
3/22/20,289,57.2,10.5,61,20,5.1,38.2,-95,-80,-92,-89,-65,24
3/23/20,588,45.3,5.4,38,14,12.4,29.7,-84,-47,-82,-86,-74,35
3/24/20,393,35.5,6.8,46,15,10.6,32.9,-84,-48,-78,-85,-74,36
3/25/20,299,42.7,5.4,46,14,10.6,33.3,-86,-50,-82,-86,-75,37
3/26/20,334,60.1,6.1,61,21,16,26.4,-86,-51,-83,-86,-77,39
3/27/20,374,63.4,10.5,70,29,15.6,28.5,-86,-47,-82,-86,-77,40
3/28/20,373,50.1,13.5,104,69,16.5,37.8,-89,-59,-85,-85,-70,28
3/29/20,335,50.7,14.4,76,62,8.3,43.1,-95,-81,-91,-89,-65,24
3/30/20,200,57.4,13,55,29,7.4,37.4,-85,-48,-82,-85,-75,36
3/31/20,154,53.3,5.8,34,10,11.5,27.3,-92,-42,-78,-84,-76,37
4/1/20,231,50.3,5.5,50,15,11.5,33.3,-92,-40,-78,-84,-75,37
4/2/20,159,48.7,7.1,61,20,10.1,39.8,-92,-40,-78,-84,-75,38
4/3/20,257,52.7,9.3,85,30,16.5,46.8,-88,-39,-78,-84,-74,39
4/4/20,166,49.4,11.6,87,32,17,53.2,-91,-53,-84,-84,-68,28
4/5/20,160,37.6,12.8,63,20,9.6,47.2,-96,-77,-90,-88,-64,24
4/6/20,137,43.6,13.7,63,21,12.4,51.9,-86,-39,-77,-83,-71,34
4/7/20,117,30.9,14.2,68,27,21.5,52.6,-85,-39,-75,-83,-72,35
4/8/20,315,33.4,13.3,57,21,18.3,51.3,-85,-37,-77,-83,-71,35
4/9/20,213,35.8,14.8,63,25,24.7,57.1,-84,-33,-77,-83,-71,35
4/10/20,247,36.7,16.4,65,25,18.8,57.1,-84,-29,-77,-82,-73,38
4/11/20,230,37.5,15.5,57,21,22.9,57.8,-89,-47,-83,-82,-67,27
4/12/20,269,32.5,17.2,46,14,6.9,,-97,-95,-91,-90,-68,25
4/13/20,190,30.9,16.8,50,15,8.7,,-96,-84,-85,-92,-92,43
4/14/20,35,55,14.4,57,23,12.4,48.4,-83,-40,-74,-82,-68,34
