Date,Daily,Humidity,Temperature,pm25,pm10,co,no2,o3,NPI,Lag,day,sick,Mean_Humidity,Mean_Temp,Mean_PM25,Mean_PM10,Mean_co,Mean_no2,mean_o3
2020-03-05,1,60.6,4.1,24,12,3,8.5,24.1,23.07999992,0.00000185,5,,63.6,-10.8,34.6,28,3.2,11.2,25.62
2020-03-06,3,69,0.1,15,9,2.9,4.7,26.4,23.07999992,0.00000407,6,,61,-6.2,38.8,26,3.4,15.8,25.3
2020-03-07,3,54.3,3.6,26,12,3.3,8.5,25.6,23.07999992,0.00000443,7,,69,-5.6,35,22,3.5,18.6,28.52
2020-03-08,3,41,11.3,28,16,2.7,5.6,27.6,23.07999992,0.00000776,1,,81.2,-1.3,34.2,31,4.9,30.5,26.3
2020-03-09,5,81,11.6,40,21,3.3,12.1,25.6,23.07999992,0.00001220,2,,87.7,1.7,38.4,25,2.7,9.3,24.2
2020-03-10,11,85.5,2.2,25,10,2.3,4.7,17.6,23.07999992,0.00001146,3,,78.5,2.1,37,14,2.8,5.6,26.9
2020-03-11,12,86.7,4.1,54,21,3.8,15.8,12.1,24.04000092,0.00001478,4,,63,-0.7,29.6,15,3.3,14.1,25.78
2020-03-12,21,82.2,7,55,24,2.7,10.2,19.2,29.80999947,0.00002882,5,,65.1,3.4,45.6,27,3.5,23.2,24.84
2020-03-13,33,51.6,5,18,10,2.4,5.6,28.1,29.80999947,0.00003548,6,,88.2,6.6,40.8,17,3.3,14.9,24.2
2020-03-14,31,71.5,1.7,18,7,2.3,4.7,28.9,36.22000122,0.00006098,7,,87,10.8,32,15,2.9,8.1,24.96
2020-03-15,40,74,1.1,15,6,2.2,4.1,28.9,40.06000137,0.00006874,1,,84.8,2.7,28.6,9,2.8,7.5,27.72
2020-03-16,78,88.7,2.6,42,20,3.2,13.3,14.5,47.75999832,0.00005691,2,,69,0.1,27.8,9,2.7,7.4,30.58
2020-03-17,96,69,3,33,14,2.2,5.6,24.8,49.68000031,0.00004619,3,,71.4,1.1,32.4,16,3.3,13,26.1
2020-03-18,165,81,4.4,51,17,2.2,6.5,16,49.68000031,0.00006245,4,0.00018551,69.5,1.8,33.2,22,3.8,17.6,21.66
2020-03-19,186,96,6.1,40,15,2.3,6.5,11.2,58.00999832,0.00010791,5,0.00025388,61,4.4,30.8,18,4.4,20.1,26.42
2020-03-20,154,76.7,3.4,16,6,2.5,6.5,24.1,58.00999832,0.00013008,6,0.00030968,87,5,38.8,27,4,17.5,26.12
2020-03-21,125,69.2,-1.9,14,6,1.5,3.8,32,61.86000061,0.00013562,7,0.00035477,87,3.8,29.2,18,3.4,11.2,26.58
2020-03-22,169,79,0,36,10,1.5,2.8,26.4,61.86000061,0.00015373,1,0.00041611,75.8,2.7,26,10,3.5,12.1,30.58
2020-03-23,292,86.5,1.6,50,16,2.3,10.2,22.3,61.86000061,0.00015004,2,0.00052217,71.4,3.5,34.2,16,4.3,22.3,26.56
2020-03-24,352,85.2,2.6,60,20,1.9,11.2,20,61.86000061,0.00009350,3,0.00064819,72.5,6,35.8,23,4.2,12.1,26.42
2020-03-25,367,80,9,58,20,3.6,13.1,22.4,61.86000061,0.00010495,4,0.00077938,69,1.5,26.4,7,3.3,10.2,27.38
2020-03-26,416,89,5,35,12,2.7,4.7,22.4,61.86000061,0.00016297,5,0.00092535,42.6,2.1,34.6,12,3.8,15.5,22.94
2020-03-27,406,94.2,5.8,41,12,2.3,4.7,20,71.47000122,0.00018071,6,0.00106319,46.6,8,33.4,21,3.7,15.8,23.54
2020-03-28,253,96,8.7,31,10,2.4,3.8,21.2,71.47000122,0.00016999,7,0.00114523,70.9,9.4,31.8,16,3.2,8.4,27.38
2020-03-29,284,74.1,7.9,11,2,1.8,2.8,29.6,71.47000122,0.00016334,1,0.00123540,71.1,5.2,37.6,12,3.4,11.2,24.64
2020-03-30,441,76.2,5,16,7,1.9,3.8,30.4,71.47000122,0.00017369,2,0.00136955,76.7,2.8,22.6,9,3.5,8.3,27.2
2020-03-31,489,84.5,3.3,18,8,2.2,3.8,24.8,71.47000122,0.00012047,3,0.00151478,50,-0.8,22.4,7,2.8,5.6,30.08
2020-04-01,460,84,4,21,10,2,4,20,71.47000122,0.00010828,4,0.00162380,60.2,5,26,19,3,11.2,29
2020-04-02,442,68.2,7,26,11,2,8.4,17.6,71.47000122,0.00021693,5,0.00171840,67.4,6,32.2,15,3.4,9.6,26.58
2020-04-03,470,59,11.9,35,12,2,6.5,24.4,71.47000122,0.00020732,6,0.00183518,52,9.4,28.6,13,3.3,13.6,26.9
2020-04-04,326,85,4.7,21,9,1.7,2.8,14,71.47000122,0.00025942,7,0.00190946,87.3,5.3,26.4,16,2.7,8.3,28.66
2020-04-05,293,72.7,3.6,20,10,1.5,3.8,26.4,71.47000122,0.00021582,1,0.00195528,83.1,5.9,32.6,21,2.9,8.4,28.2
2020-04-06,587,71,10,40,19,2.2,8.4,24.8,71.47000122,0.00021064,2,0.00206430,82.5,9.6,40,29,3.8,10.7,26.9
2020-04-07,561,73.7,15.9,51,23,2.3,8.5,27.6,71.47000122,0.00014634,3,0.00214154,81.5,13.8,32.6,26,3.7,12.3,27.56
2020-04-08,702,87.2,10.5,46,18,2.5,8.4,24.1,71.47000122,0.00012602,4,0.00226534,50.2,16.5,31.4,15,3.3,12.1,29.46
2020-04-09,584,53.5,5.5,20,10,2,3.8,32,71.47000122,0.00025610,5,0.00232742,52.2,13.8,32,10,3.1,10,30.26
2020-04-10,570,58,3.8,20,8,2.3,5,28,71.47000122,0.00024427,6,0.00238803,84.5,2.7,27.6,5,2.6,3.3,28.66
2020-04-11,396,58.7,8.8,51,24,2.3,6.9,33.6,71.47000122,0.00023245,7,0.00244087,80.3,5.3,32.8,10,2.1,4,24.48
2020-04-12,341,82.3,11.9,43,18,1.8,3.8,29.8,71.47000122,0.00025203,1,0.00246194,56,7.4,30.8,13,2.7,6.5,28.98
2020-04-13,693,59.6,3.1,18,6,1.6,4,30.5,71.47000122,0.00028566,2,0.00255506,55.3,5,28.6,7,2.9,5,30.42
