date,state,positive,total
20200722,bologna,16,918
20200722,brescia,10,977
20200722,florence,3,1267
20200722,milan,19,1856
20200722,modena,13,746
20200722,parma,4,230
20200722,rome,13,2260
20200722,turin,1,137
20200721,bologna,7,1162
20200721,brescia,7,783
20200721,florence,3,505
20200721,milan,9,1007
20200721,modena,3,498
20200721,rome,3,536
20200721,turin,3,590
20200720,bologna,7,326
20200720,brescia,5,243
20200720,milan,11,535
20200720,modena,7,326
20200720,parma,7,326
20200720,rome,15,2320
20200719,bologna,3,117
20200719,brescia,6,750
20200719,florence,10,1083
20200719,milan,8,1000
20200719,modena,8,312
20200719,parma,6,234
20200719,rome,13,2120
20200719,turin,3,1162
20200718,bologna,8,642
20200718,brescia,9,537
20200718,milan,24,1433
20200718,modena,6,481
20200718,parma,3,241
20200718,rome,19,2498
20200718,turin,2,1006
20200717,bologna,21,1304
20200717,brescia,13,1376
20200717,florence,1,294
20200717,milan,9,953
20200717,modena,4,248
20200717,rome,11,2133
20200717,turin,8,1926
20200716,bologna,17,1012
20200716,brescia,5,407
20200716,florence,2,298
20200716,milan,20,1626
20200716,modena,13,774
20200716,parma,1,60
20200716,rome,6,1550
20200716,turin,1,262
20200715,brescia,8,810
20200715,florence,1,285
20200715,milan,18,1823
20200715,modena,1,141
20200715,parma,1,141
20200715,rome,18,1905
20200714,bologna,5,872
20200714,brescia,7,849
20200714,milan,7,849
20200714,modena,3,523
20200714,parma,7,1221
20200714,rome,18,2363
20200714,turin,1,606
20200713,brescia,13,574
20200713,milan,15,663
20200713,modena,2,106
20200713,parma,4,212
20200713,rome,21,2250
20200713,turin,4,146
20200712,bologna,19,592
20200712,brescia,6,494
20200712,florence,1,1855
20200712,milan,6,494
20200712,modena,20,623
20200712,parma,3,94
20200712,rome,19,2119
20200712,turin,3,851
20200711,bologna,20,1076
20200711,brescia,16,1054
20200711,florence,3,932
20200711,milan,26,1713
20200711,modena,4,215
20200711,parma,2,108
20200711,rome,12,1267
20200711,turin,1,196
20200710,bologna,23,1039
20200710,brescia,17,894
20200710,milan,17,894
20200710,modena,9,407
20200710,parma,3,136
20200710,rome,21,1848
20200710,turin,2,325
20200709,bologna,14,2999
20200709,brescia,14,915
20200709,milan,35,2288
20200709,modena,1,214
20200709,parma,3,643
20200709,rome,30,2316
20200709,turin,6,684
20200708,bologna,17,971
20200708,brescia,9,798
20200708,florence,5,1606
20200708,milan,16,1419
20200708,modena,3,171
20200708,parma,7,400
20200708,rome,7,898
20200708,turin,7,569
20200707,bologna,5,530
20200707,brescia,17,689
20200707,florence,7,596
20200707,milan,5,203
20200707,modena,3,318
20200707,parma,8,848
20200707,rome,6,2092
20200706,bologna,7,269
20200706,brescia,10,356
20200706,milan,12,427
20200706,modena,5,192
20200706,parma,12,461
20200706,rome,15,1437
20200706,turin,1,38
20200705,bologna,8,785
20200705,brescia,6,305
20200705,florence,6,1053
20200705,milan,16,813
20200705,modena,7,687
20200705,parma,2,196
20200705,rome,11,1553
20200705,turin,5,479
20200704,bologna,16,1071
20200704,brescia,13,808
20200704,florence,1,187
20200704,milan,19,1180
20200704,modena,3,201
20200704,parma,7,468
20200704,rome,29,1859
20200704,turin,4,593
20200703,bologna,17,1646
20200703,brescia,15,765
20200703,florence,7,881
20200703,milan,24,1224
20200703,modena,2,194
20200703,parma,3,290
20200703,rome,10,1788
20200703,turin,2,153
20200702,bologna,14,1425
20200702,brescia,9,532
20200702,milan,28,1656
20200702,modena,1,102
20200702,rome,6,1285
20200702,turin,9,1115
20200701,bologna,8,1364
20200701,brescia,18,883
20200701,milan,21,1030
20200701,modena,4,682
20200701,rome,8,2442
20200701,turin,5,736
20200630,bologna,8,1304
20200630,brescia,6,391
20200630,florence,2,1752
20200630,milan,23,1498
20200630,parma,3,489
20200630,rome,4,1549
20200630,turin,6,1004
20200629,bologna,6,679
20200629,brescia,9,499
20200629,florence,3,614
20200629,milan,36,1997
20200629,modena,3,339
20200629,parma,4,453
20200629,rome,8,1590
20200629,turin,1,265
20200628,bologna,4,442
20200628,brescia,27,1358
20200628,milan,16,805
20200628,parma,4,442
20200628,rome,14,1706
20200628,turin,2,225
20200627,bologna,28,2012
20200627,brescia,14,1022
20200627,florence,2,287
20200627,milan,4,292
20200627,modena,42,3018
20200627,parma,16,1150
20200627,rome,16,1796
20200627,turin,5,683
20200626,bologna,23,1849
