"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"1",2020-02-24,0,NA,NA,55,24,31.6,3,25,20,0,0,0,2020-02-24,1.70319449678629,1.6926710699073,1.50386225520362,1.8768520677969,19.9161071050836,4.69643994283219,0,0,0
"2",2020-02-25,1,71.8,13.7,57,21,24.7,0,12,32,-6,-1,1,2020-02-25,1.68578312454337,1.67937907470202,1.48644777877648,1.8405932964615,22.2483953908963,5.71846596727157,2.04778212127778,1,78
"3",2020-02-26,1,73.2,11.6,34,19,18.3,-11,-5,-19,-15,-2,3,2020-02-26,1.67063127904313,1.66385466828156,1.50622695328519,1.83707282681085,24.8270132466682,6.63057266852842,0,0,0
"4",2020-02-27,0,86.4,6.6,25,11,27,-10,-7,-17,-13,-1,3,2020-02-27,1.64640267936695,1.63609525616874,1.48515697788345,1.80228233311003,27.6524324440111,7.85278465976865,0,0,0
"5",2020-02-28,6,47,8.5,42,14,35.2,-2,-1,21,-8,0,1,2020-02-28,1.62057993009554,1.61168733400643,1.46553685625791,1.76594566625095,30.7373396595181,8.8056850222477,12.2866927276667,6,27
"6",2020-02-29,0,69.8,7.8,61,23,33.9,-5,-2,18,-7,1,1,2020-02-29,1.58995702690824,1.58564835989499,1.43815982211755,1.72861883577246,34.0771862850157,9.97555296606617,0,0,0
"7",2020-03-01,0,79.6,11.5,30,18,10.6,-22,-11,-58,-30,-4,6,2020-03-01,1.55890612582469,1.54855950894037,1.43573306049075,1.71354231951449,37.6530850398841,11.4166898111636,0,0,0
"8",2020-03-02,0,80.8,11.9,NA,NA,NA,-11,-6,-34,-14,0,3,2020-03-02,1.52249125063219,1.52109329249258,1.37652894647155,1.64538813253015,41.44350677542,12.7722563173133,0,0,0
"9",2020-03-03,3,NA,NA,21,17,23.8,-7,-3,-18,-14,0,2,2020-03-03,1.48347508551889,1.48337999628481,1.34381120823814,1.59642116975819,45.4234277323282,14.3719972735463,6.14334636383333,3,42
"10",2020-03-04,5,62.7,8.4,30,11,25.6,-4,1,0,-11,0,1,2020-03-04,1.44161439643954,1.43650684277888,1.31494720109072,1.55231585288621,49.5491718780485,16.1145914315578,10.2389106063889,5,21
"11",2020-03-05,8,89.2,7.6,42,12,30.2,-14,-1,-27,-26,-13,7,2020-03-05,1.39639192029865,1.39696981250603,1.28497037124087,1.50838683743086,53.7601472754436,18.1454548876485,0,0,0
