Date,Daily,Humidity,Temperature,pm25,pm10,no2,retail,grocery,parks,transit,work,home,date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,avg_pm25
2/24/20,0,NA,NA,55,24,31.6,3,25,20,0,0,0,02/24/0020,1.703194497,1.69267107,1.503862255,1.876852068,19.91610711,4.696439943,0,0,0,31
2/25/20,1,71.8,13.7,57,21,24.7,0,12,32,-6,-1,1,02/25/0020,1.685783125,1.679379075,1.486447779,1.840593296,22.24839539,5.718465967,2.047782121,1,78,35
2/26/20,1,73.2,11.6,34,19,18.3,-11,-5,-19,-15,-2,3,02/26/0020,1.670631279,1.663854668,1.506226953,1.837072827,24.82701325,6.630572669,0,0,0,51.33333333
2/27/20,0,86.4,6.6,25,11,27,-10,-7,-17,-13,-1,3,02/27/0020,1.646402679,1.636095256,1.485156978,1.802282333,27.65243244,7.85278466,0,0,0,64
2/28/20,6,47,8.5,42,14,35.2,-2,-1,21,-8,0,1,02/28/0020,1.62057993,1.611687334,1.465536856,1.765945666,30.73733966,8.805685022,12.28669273,6,27,62.66666667
2/29/20,0,69.8,7.8,61,23,33.9,-5,-2,18,-7,1,1,02/29/0020,1.589957027,1.58564836,1.438159822,1.728618836,34.07718629,9.975552966,0,0,0,
3/1/20,0,79.6,11.5,30,18,10.6,-22,-11,-58,-30,-4,6,03/01/0020,1.558906126,1.548559509,1.43573306,1.71354232,37.65308504,11.41668981,0,0,0,48.33333333
3/2/20,0,80.8,11.9,NA,NA,NA,-11,-6,-34,-14,0,3,03/02/0020,1.522491251,1.521093292,1.376528946,1.645388133,41.44350678,12.77225632,0,0,0,58.33333333
3/3/20,3,NA,NA,21,17,23.8,-7,-3,-18,-14,0,2,03/03/0020,1.483475086,1.483379996,1.343811208,1.59642117,45.42342773,14.37199727,6.143346364,3,42,55
3/4/20,5,62.7,8.4,30,11,25.6,-4,1,0,-11,0,1,03/04/0020,1.441614396,1.436506843,1.314947201,1.552315853,49.54917188,16.11459143,10.23891061,5,21,48.33333333
3/5/20,8,89.2,7.6,42,12,30.2,-14,-1,-27,-26,-13,7,03/05/0020,1.39639192,1.396969813,1.284970371,1.508386837,53.76014728,18.14545489,0,0,0,25.33333333
3/6/20,3,83.6,10.5,25,12,29.8,-13,1,-9,-26,-14,7,03/06/0020,1.351815542,1.350174112,1.248885454,1.460593478,57.94519945,20.21528474,6.143346364,3,54,40
3/7/20,4,71.4,9.4,25,9,20.2,-18,2,14,-23,-14,6,03/07/0020,1.303919007,1.299631635,1.20484366,1.41971118,62.10982049,22.52422668,8.191128485,4,28,39.66666667
3/8/20,12,66,9.5,50,14,23.4,-23,-3,13,-21,-8,5,03/08/0020,1.25959818,1.254020102,1.143144947,1.354142522,66.10598486,25.06282348,24.57338546,12,65,45.66666667
3/9/20,12,80,9.1,53,17,27,-28,-1,-34,-38,-19,10,03/09/0020,1.213669671,1.21520713,1.107136754,1.301308905,69.84503735,27.81554476,24.57338546,12,114,54
3/10/20,10,68.8,9,50,16,33.9,-42,-4,-26,-45,-27,15,03/10/0020,1.170624147,1.170816518,1.069873623,1.252359397,73.26303809,30.76522025,20.47782121,10,99,58
3/11/20,10,79.6,9.3,57,20,33.9,-51,-17,-31,-52,-34,18,03/11/0020,1.126189459,1.12713704,1.040248054,1.212370522,76.29122438,33.94038981,20.47782121,10,41,43
3/12/20,15,93.8,10.6,78,31,26.1,-70,-24,-68,-64,-44,25,03/12/0020,1.088384559,1.086004148,1.002457942,1.177264153,78.86136392,37.27172285,30.71673182,15,123,29.33333333
3/13/20,15,85.6,11.6,53,19,20.6,-74,-28,-65,-66,-50,28,03/13/0020,1.051683254,1.051052684,0.967408013,1.140930738,80.90912152,40.74248821,30.71673182,15,125,46.33333333
3/14/20,31,81.2,12.5,53,15,9.2,-84,-45,-74,-72,-57,25,03/14/0020,1.020505608,1.015326271,0.946331554,1.110563378,82.41586001,44.33858242,63.48124576,31,106,45
