Date,Daily,Humidity,Temperature,pm25,pm10,no2,retail,grocery,parks,transit,work,home
2/24/20,0,,,55,24,31.6,3,25,20,0,0,0
2/25/20,1,71.8,13.7,57,21,24.7,0,12,32,-6,-1,1
2/26/20,1,73.2,11.6,34,19,18.3,-11,-5,-19,-15,-2,3
2/27/20,0,86.4,6.6,25,11,27,-10,-7,-17,-13,-1,3
2/28/20,6,47,8.5,42,14,35.2,-2,-1,21,-8,0,1
2/29/20,0,69.8,7.8,61,23,33.9,-5,-2,18,-7,1,1
3/1/20,0,79.6,11.5,30,18,10.6,-22,-11,-58,-30,-4,6
3/2/20,0,80.8,11.9,,,,-11,-6,-34,-14,0,3
3/3/20,3,,,21,17,23.8,-7,-3,-18,-14,0,2
3/4/20,5,62.7,8.4,30,11,25.6,-4,1,0,-11,0,1
3/5/20,8,89.2,7.6,42,12,30.2,-14,-1,-27,-26,-13,7
3/6/20,3,83.6,10.5,25,12,29.8,-13,1,-9,-26,-14,7
3/7/20,4,71.4,9.4,25,9,20.2,-18,2,14,-23,-14,6
3/8/20,12,66,9.5,50,14,23.4,-23,-3,13,-21,-8,5
3/9/20,12,80,9.1,53,17,27,-28,-1,-34,-38,-19,10
3/10/20,10,68.8,9,50,16,33.9,-42,-4,-26,-45,-27,15
3/11/20,10,79.6,9.3,57,20,33.9,-51,-17,-31,-52,-34,18
3/12/20,15,93.8,10.6,78,31,26.1,-70,-24,-68,-64,-44,25
3/13/20,15,85.6,11.6,53,19,20.6,-74,-28,-65,-66,-50,28
3/14/20,31,81.2,12.5,53,15,9.2,-84,-45,-74,-72,-57,25
3/15/20,30,59.8,11.2,25,8,3.7,-90,-64,-82,-78,-54,23
3/16/20,24,54.9,10.9,34,11,22,-73,-37,-69,-69,-53,26
3/17/20,28,78.6,10.6,57,19,23.4,-76,-42,-69,-71,-57,28
3/18/20,81,68.6,13.7,59,19,13.8,-77,-44,-74,-72,-57,29
3/19/20,54,72.6,12.4,57,19,17,-78,-44,-75,-74,-59,31
3/20/20,52,77.2,13.3,65,23,18.8,-79,-42,-76,-74,-59,32
3/21/20,50,86.9,11.3,65,21,16.5,-86,-53,-84,-78,-61,27
3/22/20,63,67.7,12.6,53,16,8.3,-94,-84,-92,-85,-61,25
3/23/20,34,39.5,6.9,25,10,7.8,-78,-46,-82,-77,-65,32
3/24/20,74,50.6,5.3,38,10,17.4,-80,-48,-81,-77,-66,33
3/25/20,87,78,4.5,34,10,3.7,-82,-52,-84,-79,-68,34
3/26/20,55,68.6,6.6,30,10,2.8,-84,-53,-86,-81,-71,37
3/27/20,0,75.9,10.2,46,22,3.7,-82,-48,-83,-80,-70,37
3/28/20,91,70.7,11.8,97,,19.2,-87,-55,-84,-79,-65,28
3/29/20,102,83.8,11.1,57,,10.1,-94,-84,-91,-85,-62,25
3/30/20,65,89.7,11.7,53,25,15.1,-79,-47,-79,-77,-67,32
3/31/20,65,65.8,9.6,21,7,5.1,-90,-44,-79,-76,-69,34
4/1/20,71,41.5,7.7,42,12,5.1,-90,-41,-79,-74,-68,34
4/2/20,261,51.5,8.1,42,12,16,-89,-41,-78,-74,-68,35
4/3/20,124,62.7,9.3,50,13,17.9,-84,-40,-78,-76,-68,35
4/4/20,83,48.6,14.4,53,16,26.1,-89,-49,-84,-77,-63,28
4/5/20,89,46.9,14.7,50,15,7.8,-95,-81,-90,-84,-61,25
4/6/20,54,46.9,16.3,63,22,6.4,-81,-39,-78,-74,-65,31
4/7/20,36,56.6,16.5,61,21,14.2,-81,-40,-76,-74,-66,32
4/8/20,66,33.9,16.7,53,17,12.4,-81,-39,-78,-74,-65,32
4/9/20,90,44.6,13.2,55,17,17.9,-80,-33,-78,-73,-66,33
4/10/20,108,48.8,14.5,,19,,-80,-29,-76,-73,-66,34
4/11/20,85,57.6,13.3,,17,,-85,-44,-82,-75,-62,27
4/12/20,105,64,14.6,50,14,9.2,-96,-95,-92,-87,-66,26
4/13/20,10,65.9,13,53,15,10.1,-96,-95,-88,-89,-91,41
4/14/20,42,81.8,12.8,42,12,6.4,-79,-39,-76,-73,-64,31
4/15/20,61,48.7,12.7,25,9,3.7,-79,-39,-77,-72,-63,32
4/16/20,71,63.7,9.4,38,12,14.2,-78,-39,-76,-72,-63,32
4/17/20,51,73.6,14.5,42,17,12.4,-78,-37,-75,-72,-62,33
4/18/20,69,92.7,15.5,50,20,7.4,-84,-50,-81,-74,-57,26
4/19/20,46,93.9,16.8,55,22,4.6,-93,-81,-90,-83,-56,24
