Date,L'Aquila,Teramo,Pescara,Chieti,Potenza,Matera,In fase di definizione/aggiornamento,Cosenza,Catanzaro,Reggio di Calabria,Crotone,Vibo Valentia,Caserta,Benevento,Napoli,Avellino,Salerno,Piacenza,Parma,Reggio nell'Emilia,Modena,Bologna,Ferrara,Ravenna,Forlì-Cesena,Rimini,Udine,Gorizia,Trieste,Pordenone,Viterbo,Rieti,Roma,Latina,Frosinone,Imperia,Savona,Genova,La Spezia,Varese,Como,Sondrio,Milano,Bergamo,Brescia,Pavia,Cremona,Mantova,Lecco,Lodi,Monza e della Brianza,Pesaro e Urbino,Ancona,Macerata,Ascoli Piceno,Fermo,Campobasso,Isernia,Bolzano,Trento,Torino,Vercelli,Novara,Cuneo,Asti,Alessandria,Biella,Verbano-Cusio-Ossola,Foggia,Bari,Taranto,Brindisi,Lecce,Barletta-Andria-Trani,Sassari,Nuoro,Cagliari,Oristano,Sud Sardegna,Trapani,Palermo,Messina,Agrigento,Caltanissetta,Enna,Catania,Ragusa,Siracusa,Massa Carrara,Lucca,Pistoia,Firenze,Livorno,Pisa,Arezzo,Siena,Grosseto,Prato,Perugia,Terni,Aosta,Verona,Vicenza,Belluno,Treviso,Venezia,Padova,Rovigo
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,8,18,0,27,53,0,0,125,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,30,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,2,0,2,2,0,4,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0
2020-02-26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,35,2,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,52,8,9,34,0,0,31,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,20,6,19,0
2020-02-27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,26,17,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,31,3,13,32,0,0,23,1,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0
2020-02-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,49,8,3,4,2,0,0,0,6,0,0,0,0,0,0,3,0,0,0,23,0,0,1,1,0,1,7,1,6,13,1,0,55,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,4,13,0
2020-02-29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,36,24,3,2,0,0,1,1,1,0,0,6,0,0,0,0,0,0,1,0,1,0,0,1,0,16,99,35,23,78,3,2,107,0,13,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,8,5,24,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,1,5,1,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,12,34,11,5,9,1,1,40,2,9,1,0,0,0,0,0,0,0,0,1,3,0,37,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,3,29,24,30,0
2020-03-02,1,0,1,0,1,0,0,0,0,0,0,0,0,0,13,0,0,44,23,6,4,3,0,0,0,5,8,3,0,0,0,0,7,0,0,1,4,0,0,3,2,0,35,129,26,39,64,10,1,98,1,22,3,1,0,0,3,0,0,4,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,9,2,2,10,0,9,1
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,31,6,8,5,0,0,1,9,0,2,3,0,0,0,15,0,1,0,0,0,0,4,1,1,52,51,41,4,46,7,1,77,2,17,4,1,0,1,0,0,0,1,4,2,0,0,1,15,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,2,0,7,0,1,5,2,0,4,5,2,4,11,18,3
2020-03-04,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,59,35,11,4,8,0,1,2,35,3,0,0,0,0,0,13,0,0,0,1,0,0,6,6,0,52,114,28,25,73,4,3,99,8,28,10,0,0,2,4,0,0,2,8,5,0,0,2,6,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,8,0,3,3,2,2,0,0,0,2,4,9,0,3,14,13,1
2020-03-05,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,48,31,13,28,22,1,5,0,25,7,1,2,0,2,0,7,2,0,1,0,8,0,6,0,0,70,86,27,29,46,6,3,81,1,26,4,5,0,0,5,0,3,3,15,0,1,1,4,10,1,4,0,1,0,0,2,0,0,2,1,0,0,0,2,0,0,0,1,14,1,2,4,2,0,3,2,3,2,2,0,0,4,3,5,17,5,0,14,12,23,0
2020-03-06,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,48,4,9,8,1,2,4,11,5,0,4,2,0,0,22,0,0,4,4,6,4,4,12,2,94,138,231,41,110,14,24,72,41,33,15,0,0,0,2,0,5,4,21,3,1,0,3,8,3,1,2,2,0,3,1,1,0,0,0,0,0,0,1,2,1,0,0,8,0,0,6,7,5,4,1,3,1,5,0,2,5,3,1,10,13,4,7,15,18,0
2020-03-07,0,0,6,0,0,1,0,0,0,0,0,0,28,4,28,3,15,49,47,22,15,13,4,3,8,9,1,0,14,0,0,0,6,4,1,3,6,10,6,5,4,0,45,236,88,22,103,10,18,42,0,45,16,2,0,2,0,0,0,9,34,5,8,4,8,20,13,3,7,0,0,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,11,7,12,4,6,1,5,2,0,0,2,1,11,13,12,16,26,39,0
2020-03-08,4,0,6,3,0,1,0,3,1,1,0,2,4,0,10,0,2,74,3,33,19,18,1,6,1,51,0,0,0,0,0,0,14,0,0,1,10,13,4,12,13,1,100,248,238,53,251,46,13,75,5,42,9,0,0,0,0,0,0,10,0,0,1,6,0,3,0,0,7,1,0,2,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,7,5,3,12,0,3,3,5,2,2,0,5,6,10,3,6,10,4,18,2
2020-03-09,1,1,4,2,2,0,0,2,0,1,0,0,2,0,6,0,0,31,46,1,11,6,1,5,4,42,2,4,28,2,3,1,0,5,4,4,3,4,0,6,6,0,86,227,51,28,41,17,23,35,1,50,18,2,0,1,1,0,29,19,24,7,8,3,0,2,2,0,0,9,0,0,0,0,0,0,1,0,0,0,4,0,10,0,1,12,0,0,9,6,5,10,4,11,1,4,4,2,1,8,2,23,20,0,22,22,23,3
2020-03-10,0,0,0,0,1,0,0,0,0,3,1,4,0,0,35,4,0,31,53,10,36,22,4,7,4,39,18,2,4,9,5,2,23,0,2,3,4,21,4,25,31,6,333,343,561,79,104,18,24,72,20,46,29,6,1,2,1,0,37,25,48,6,5,3,10,40,16,2,1,3,1,10,2,1,1,15,0,1,0,2,5,2,5,0,0,6,0,1,3,6,11,10,2,3,1,4,2,14,13,0,3,14,19,1,27,27,77,4
