Date,NPI,Daily,Humidity,Temperature,pm25,pm10,no2,o3,npi,City,Population
2/23/20,58.65000153,0,NA,NA,93,42,27.9,17.1,60,bologna,366133
2/24/20,58.65000153,0,NA,NA,93,45,22.4,20.4,60,bologna,366133
2/25/20,58.65000153,0,61.5,14.4,61,32,27,18.3,60,bologna,366133
2/26/20,61.22000122,0,54.1,9.5,13,13,24.7,26,60,bologna,366133
2/27/20,61.22000122,0,36.5,9.4,13,3,8.3,28.1,60,bologna,366133
2/28/20,61.22000122,2,35,8.8,38,10,30.2,25.2,60,bologna,366133
2/29/20,61.22000122,0,38.7,12.2,46,16,30.7,23.6,60,bologna,366133
3/1/20,61.22000122,1,81.9,7.2,74,29,12.8,22.8,60,bologna,366133
3/2/20,61.22000122,3,84.6,8.6,17,11,23.4,24,60,bologna,366133
3/3/20,61.22000122,5,85.3,8,13,5,18.8,17.9,60,bologna,366133
3/4/20,64.41999817,8,83.5,7.2,25,10,22,15.5,60,bologna,366133
3/5/20,64.41999817,22,76,8.5,25,11,28.8,15.5,60,bologna,366133
3/6/20,64.41999817,8,84.2,7.7,55,16,19.2,20.4,60,bologna,366133
3/7/20,64.41999817,13,84,7.7,65,24,22.4,17.1,60,bologna,366133
3/8/20,64.41999817,18,69.1,6.9,30,11,22.4,24.4,60,bologna,366133
3/9/20,64.41999817,6,71.4,7.7,55,20,26.6,19.1,60,bologna,366133
3/10/20,69.87000275,22,65.5,9.5,59,21,28.8,21.6,70,bologna,366133
3/11/20,71.79000092,14,57.5,11.5,53,17,25.6,26.4,70,bologna,366133
3/12/20,71.79000092,33,74.5,13,70,26,25.6,22.8,70,bologna,366133
3/13/20,71.79000092,40,75.3,14.1,42,18,22,18.3,70,bologna,366133
3/14/20,71.79000092,35,77,11,63,25,11.9,19.1,70,bologna,366133
3/15/20,71.79000092,61,67.5,7.2,30,10,9.2,24.4,70,bologna,366133
3/16/20,71.79000092,42,61.3,8.4,46,16,20.6,26.9,70,bologna,366133
3/17/20,77.55999756,62,61,9,59,24,23.8,27.3,80,bologna,366133
3/18/20,77.55999756,70,60,12.2,65,28,29.3,31.3,80,bologna,366133
3/19/20,77.55999756,87,64,13.5,63,24,15.1,34.2,80,bologna,366133
3/20/20,82.05000305,58,71.3,14,68,28,21.1,29.7,80,bologna,366133
3/21/20,82.05000305,64,69.2,12,59,21,11.9,31.7,80,bologna,366133
3/22/20,82.05000305,159,73.5,11,42,19,4.6,21.6,80,bologna,366133
3/23/20,82.05000305,135,41.5,5.6,34,14,10.6,28.1,80,bologna,366133
3/24/20,82.05000305,139,48,5.9,50,16,14.7,25.6,80,bologna,366133
3/25/20,82.05000305,146,54.5,5.5,50,20,7.4,22.4,80,bologna,366133
3/26/20,82.05000305,160,93,3.1,38,14,13.3,18.3,80,bologna,366133
3/27/20,83.97000122,173,81.3,7.2,57,29,9.6,15.1,80,bologna,366133
3/28/20,83.97000122,157,68.3,10.5,68,71,12.8,26,80,bologna,366133
3/29/20,83.97000122,129,61.5,12.5,55,65,11,30.9,80,bologna,366133
3/30/20,83.97000122,68,76,9.7,55,36,14.2,24,80,bologna,366133
3/31/20,83.97000122,144,61,6,17,10,15.6,25.2,80,bologna,366133
4/1/20,83.97000122,141,55.5,4.5,38,14,19.2,28.9,80,bologna,366133
4/2/20,83.97000122,114,53,6.6,55,17,13.3,30.1,80,bologna,366133
4/3/20,83.97000122,90,58.4,8.7,55,19,18.3,32.5,80,bologna,366133
4/4/20,83.97000122,92,57,9.7,59,20,12.4,35.4,80,bologna,366133
4/5/20,83.97000122,96,54.3,10.6,50,17,10.1,32.1,80,bologna,366133
4/6/20,83.97000122,39,52,12.5,65,25,12.8,34.6,80,bologna,366133
4/7/20,83.97000122,102,46,12.5,63,26,20.2,34.2,80,bologna,366133
4/8/20,83.97000122,98,32,14.8,46,17,12.4,33.8,80,bologna,366133
