Date,Daily,Humidity,Temperature,pm25,pm10,co,no2,o3,NPI,Lag,day,sick,Mean_Humidity,Mean_Temp,Mean_PM25,Mean_PM10,Mean_co,Mean_no2,mean_o3
2020-03-06,112,49.8,8.7,13,6,0.1,8.7,30.5,21.7900009,0.000076031,6,,77,10.6,21,9.2,0.1,13.44,22.78
2020-03-07,204,53,9.6,21,8,0.1,12.4,24.8,21.7900009,0.000106143,7,,65.2,8.3,26.2,10.8,0.1,15.68,21.6
2020-03-08,223,62.2,10.4,38,12,0.1,17,15.2,21.7900009,0.000109907,1,,56,10.8,34.4,13.6,0.1,21.44,16.92
2020-03-09,265,52,12.5,30,11,0.1,11.9,28.3,31.4099999,0.000118790,2,,50,13,39.4,15,0.1,23.98,12.4
2020-03-10,505,48.7,15.2,50,20,0.1,30.7,11,45.8300018,0.000141524,3,,51.3,15.6,37.2,14.8,0.1,21.54,14.84
2020-03-11,705,53.5,16.9,55,24,0.1,27.9,6.1,45.8300018,0.000136104,4,,52.4,15,39.2,16.4,0.1,19.62,17.94
2020-03-12,730,50,18.1,50,21,0.1,25.2,5.3,45.8300018,0.000122855,5,,45.2,14.3,35.2,14,0.1,17.42,19.38
2020-03-13,789,56.6,16.9,55,22,0.1,18.3,13.5,45.8300018,0.000189853,6,,42.7,11.1,35,14.4,0.1,13.1,23.22
2020-03-14,940,59.1,15.9,42,15,0.1,7.4,21.2,60.5800018,0.000293285,7,,40,10.8,32.8,12.2,0.1,15.22,24.62
2020-03-15,904,56.3,13.6,38,14,0.1,6,23.6,60.5800018,0.000264228,1,,31.5,14.8,39.8,14.6,0.1,17.32,23.36
2020-03-16,816,76.6,6.2,17,6,0.1,6.9,25.2,61.8600006,0.000307588,2,,30.6,17.2,47.6,17.6,0.1,19.34,19.54
2020-03-17,1261,81.5,7.7,21,7,0.1,6.4,24,63.7799988,0.000349744,3,,37.5,14.6,41.2,16.6,0.1,17.06,22.4
2020-03-18,1948,65.9,14,50,20,0.1,13.3,16.9,69.5500031,0.000252183,4,,41.2,8.9,36.4,13.4,0.1,15.5,23.12
2020-03-19,1755,66,12,46,17,0.1,7.4,26.1,69.5500031,0.000226287,5,,45.3,9.6,28.6,9.8,0.1,13.2,23.7
2020-03-20,2043,71,11.1,46,30,0.1,5.5,27.3,69.5500031,0.000401837,6,0.001679765,37.8,9.5,30.6,10.8,0.1,11.66,24.4
2020-03-21,2323,81,8.8,34,13,0.1,5.5,26.1,69.5500031,0.000437519,7,0.001970491,38.5,10,30,10.2,0.1,13.22,25
2020-03-22,1675,78.5,9.6,17,6,0.1,4.2,29.3,69.5500031,0.000443692,1,0.002289521,38.5,12.1,27.6,10.4,0.1,14.48,25.88
2020-03-23,1503,83,10,17,6,0.1,7.4,23.7,69.5500031,0.000507980,2,0.002508130,42.1,13.6,36.2,12.8,0.1,19.58,18.12
2020-03-24,2669,71,11,25,9,0.1,5.1,23.6,69.5500031,0.000356218,3,0.002694520,31.5,15.8,34.2,11.8,0.1,12,24.3
2020-03-25,2906,67,10.5,38,14,0.1,5.5,28.5,69.5500031,0.000154622,4,0.003020325,32.9,14.5,32.6,11.6,0.1,14.4,24.08
2020-03-26,2947,38,10,30,10,0.1,9.2,28.9,69.5500031,0.000131286,5,0.003351701,34,12.5,30.4,11.6,0.1,12.2,25.14
2020-03-27,3374,65,6.6,38,11,0.1,5.5,32.1,69.5500031,0.000383318,6,0.003685486,28.1,11.1,23.6,10.2,0.1,12.76,25.78
2020-03-28,2366,51.5,10,25,8,0.1,6,24,69.5500031,0.000271304,7,0.004074676,26.6,13,35.8,13.6,0.1,15.68,18.92
2020-03-29,1027,47.6,13.5,34,10,0.1,7.4,28.9,69.5500031,0.000026950,1,0.004289371,34.5,12.5,33.4,13.2,0.1,13.86,22.38
2020-03-30,872,63.2,6.8,25,8,0.1,4.2,26.9,78.8499985,0.000276874,2,0.004307889,39.8,13,36.8,14.6,0.1,16.78,24.64
2020-03-31,2546,92,4,21,5,0.1,7.8,21.6,78.8499985,0.000262120,3,0.004316320,59.5,10.9,33.6,13.8,0.1,14.54,24.68
2020-04-01,1802,87,9,21,7,0.1,7.8,24.4,78.8499985,0.000134297,1,0.004509786,73.8,11,21.4,8.8,0.1,11.94,26.38
2020-04-02,179,65.2,10.5,25,8,0.1,7.8,23.2,78.8499985,0.000079193,2,0.004487805,62.5,13.1,26.2,10.2,0.1,12.84,25.92
2020-04-03,1839,55.9,11,30,9,0.1,7.4,26.5,78.8499985,0.000235772,3,0.004250527,48.5,11.4,24.8,10.4,0.1,11.28,27.08
2020-04-04,1741,57.4,12.9,30,10,0.1,5.5,29,78.8499985,0.000210328,4,0.004219813,36,8.5,21.8,9.4,0.1,13.38,23.7
2020-04-05,892,63,12.8,30,10,0.1,3.2,28.9,81.4100037,0.000213791,5,0.004132189,81.3,5.8,20.6,9,0.1,13.42,25.4
2020-04-06,526,71.3,15,25,9,0.1,5.5,23.6,81.4100037,0.000143782,6,0.004014303,82,5.3,28.2,11,0.1,14.4,25.22
2020-04-07,1566,86.3,13.8,30,9,0.1,6.9,21,81.4100037,0.000130232,7,0.003867209,75,8.1,30,11.4,0.1,12.1,28.28
2020-04-08,1397,69.3,15.5,46,13,0.1,7.8,22.5,81.4100037,0.000081903,1,0.003701144,74.8,9.6,26.2,10.4,0.1,10.76,28.96
2020-04-09,1420,66.2,14.1,42,12,0.1,5.5,27.7,81.4100037,0.000051340,2,0.003473954,74.1,8.3,25.2,9.6,0.1,11.74,27.1
2020-04-10,955,89,11.6,42,10,0.1,4.2,21.2,81.4100037,0.000150858,3,0.003244053,53,10,28.4,10.6,0.1,12.86,26.82
2020-04-11,865,70.8,14.8,38,11,0.1,3.7,24.8,78.8499985,0.000167269,4,0.002879855,46,10.8,27.2,10.2,0.1,15.5,24.38
2020-04-12,544,49.5,15,42,12,0.1,2.8,35.8,78.8499985,0.000136405,5,0.002653869,45.7,11.3,33,14.2,0.1,15.5,23.86
2020-04-13,341,63.4,13,46,13,0.1,5.5,33.1,78.8499985,0.000128425,6,0.002581150,36,15.9,39.6,17.4,0.1,15.88,26.04
2020-04-14,1002,76,13.3,42,11,0.1,7.8,21.2,78.8499985,0.000123607,7,0.002501204,,,45.25,22.75,0.1,16.075,22.8
2020-04-15,1111,81,12.7,25,8,0.1,6,28.3,78.8499985,0.000073472,1,0.002268744,62.3,16.6,39.4,15.4,0.1,14.04,20.42
2020-04-16,906,84.1,13.1,25,9,0.1,5.5,23.7,78.8499985,0.000031165,2,0.002164709,49,16.1,27.8,10.6,0.1,10.66,27
2020-04-17,853,75,14,25,9,0.1,5.5,24.4,78.8499985,0.000094399,3,0.002274164,60.7,15.2,34.6,14,0.1,14.68,24.36
2020-04-18,821,67.9,15.4,30,10,0.1,5.5,23.2,78.8499985,0.000097862,4,0.002125715,87,10,37.2,16,0.1,15.32,24.76
2020-04-19,488,76.1,13,21,6,0.1,3.2,28.1,78.8499985,0.000106444,5,0.001987203,87,9.6,28.4,12.2,0.1,11.48,28.54
2020-04-20,207,68.5,13.3,25,9,0.1,5.5,24,78.8499985,0.000066546,6,0.001926378,59.2,12.4,33.2,14,0.1,11.92,28.54
2020-04-21,627,79.7,11,17,6,0.1,4.6,26.9,78.8499985,0.000078290,7,0.001878350,66,10.8,31.8,14.4,0.1,10.46,31.84
2020-04-22,650,60.5,15.5,21,8,0.1,6.4,25.2,78.8499985,0.000035532,1,0.001736977,58.2,13,35.2,15,0.1,13.84,28.8
2020-04-23,707,70.1,15,30,10,0.1,6.9,19.5,78.8499985,0.000019572,2,0.001624511,66.6,10,41.4,17,0.1,16.84,20.86
2020-04-24,442,65,17,34,10,0.1,6,24,78.8499985,0.000089431,3,0.001517164,88.3,7,35,16.6,0.1,17.12,20.12
2020-04-25,520,64,16.5,34,11,0.1,4.2,28.5,78.8499985,0.000075279,4,0.001439928,64.3,9.6,35.2,17.6,0.1,13.38,26.88
2020-04-26,236,70.2,14.6,34,12,0.1,2.8,26.2,78.8499985,0.000056459,5,0.001387986,35.6,11.9,32,14.4,0.1,14.2,23.38
2020-04-27,130,66.5,12.5,25,10,0.1,3.7,32.1,78.8499985,0.000044113,6,0.001341614,43.9,15,29.6,12.2,0.1,13.58,24.82
2020-04-28,594,68.3,12,21,8,0.1,4.2,28.5,78.8499985,0.000021831,7,0.001309846,46,17.5,25.8,10.6,0.1,10.46,26.8
2020-04-29,500,66.8,13.2,21,8,0.1,4.2,26.9,78.8499985,0.000017615,1,0.001248419,40.9,18.9,27,9.6,0.1,11.28,24.72
2020-04-30,375,71.5,13.7,25,10,0.1,3.2,29.3,78.8499985,0.000016862,2,0.001156429,35.6,22.3,28,10.8,0.1,13.02,24.5
2020-05-01,293,77.2,15.1,21,8,0.1,1.9,22.4,78.8499985,0.000049834,1,0.001076483,39.8,19.4,20.8,8.8,0.1,6.98,29.86
2020-05-02,145,70.3,18,25,9,0.1,3.2,17.9,78.8499985,0.000049533,2,0.000992171,51.7,18.4,25.4,9.2,0.1,9.46,25.46
2020-05-03,117,57.9,21,34,10,0.1,5.1,19.5,78.8499985,0.000041253,3,0.000890394,48.2,16.3,29.4,11.2,0.1,13.94,24.52
2020-05-04,112,53,21.1,46,19,0.1,8.7,21.6,74.6800003,0.000035682,4,0.000834538,36.5,14,34.4,14.8,0.1,15.28,25.24
2020-05-05,331,45.8,18.6,17,9,0.1,4.6,29.7,74.6800003,0.000033273,5,0.000820235,40,15.5,29.6,13.2,0.1,11.54,29.38
2020-05-06,329,37,17.5,30,11,0.1,9.2,27.2,74.6800003,0.000012797,6,0.000775670,28.3,17.9,29.2,10.2,0.1,11.48,29.64
2020-05-07,274,45.8,20.5,38,20,0.1,6,31.7,74.6800003,0.000007829,7,0.000727341,55.5,17.4,33.4,13.6,0.1,14.22,22.92
2020-05-08,237,48.6,20,34,15,0.1,5.1,33.8,74.6800003,0.000028455,1,0.000662150,70.7,15.8,30.2,11.8,0.1,13.3,23.46
2020-05-09,221,57.8,18.5,42,17,0.1,2.8,32,74.6800003,0.000032972,2,0.000631286,60.2,15.9,31.4,12.6,0.1,15.22,21.22
2020-05-10,85,64.7,14,17,7,0.1,1.9,28.7,74.6800003,0.000030714,3,0.000586269,61,18.9,26.75,10.5,0.1,11.475,21.475
2020-05-11,52,70.7,14,17,6,0.1,4.2,26.4,76.5999985,0.000031165,4,0.000563535,32.8,19.3,26,10.25,0.1,13.075,26.275
2020-05-12,189,87,12.2,25,9,0.1,6.9,23.2,76.5999985,0.000015658,5,0.000551792,23.1,17.6,31.8,14.6,0.1,13.2,28.68
2020-05-13,219,75.2,14,21,9,0.1,5.5,29.3,80.1299973,0.000003613,6,0.000490816,18.6,21.7,31.6,16.6,0.1,15.22,23.6
2020-05-14,204,76.4,12.7,21,7,0.1,7.4,29.3,80.1299973,0.000004216,7,0.000448509,26.7,20.7,31.2,16.2,0.1,12.74,26.92
2020-05-15,207,82.6,12.3,17,7,0.1,5.5,24,80.1299973,0.000018519,1,0.000422764,16.8,24.2,28.2,12.8,0.1,10.74,26.42
2020-05-16,104,71.6,14.4,21,8,0.1,3.7,27.1,80.1299973,0.000034026,2,0.000409816,40.1,19.95,31.8,12.2,0.1,11.04,29.14
2020-05-17,24,54.4,15.5,34,10,0.1,2.8,34.2,77.2399979,0.000011292,3,0.000403643,44.35,16,32.8,13.4,0.1,11.54,32.8
2020-05-18,28,41.6,20,34,11,0.1,7.8,28.9,77.2399979,0.000056610,4,0.000389642,51.65,14.45,34.4,13.4,0.1,14.48,26.32
2020-05-19,123,42,22.2,30,10,0.1,8.3,30.1,77.2399979,0.000027853,5,0.000376995,47.75,16.6,28.8,11.8,0.1,10.82,28.46
2020-05-20,226,36,23.7,30,10,0.1,9.2,27.1,77.2399979,0.000039295,6,0.000345679,46.25,17.05,26.2,10.2,0.1,11.56,29.36
2020-05-21,75,35.7,23.8,38,12,0.1,10.1,28.5,77.2399979,0.000009184,7,0.000330172,49.55,17.6,33.2,13,0.1,13.84,27.76
