date,med_temp,med_hum,pm25,pm10,o3,no2
2020-01-01,22.2,48.4978964450882,NaN,46,20,9
2020-01-02,17.7,63.1463661411408,50,25,18,11
2020-01-03,17.2,56.8080823385365,28,27,33,26
2020-01-04,16.75,59.6394165682524,33,57,40,36
2020-01-05,12.75,68.3099017216546,100,41,50,38
2020-01-06,19.35,52.4404382774225,74,60,61,55
2020-01-07,14.6,57.557961169309,104,54,35,37
2020-01-08,16.2,61.7598621546105,71,52,49,39
2020-01-09,14.5,57.2732052562188,81,60,56,48
2020-01-10,20,58.2188208398261,90,52,39,32
2020-01-11,19.8,56.6568297369363,70,49,57,37
2020-01-12,18.3,58.6077024473036,75,47,47,30
2020-01-13,13.9,66.9072506056044,80,49,54,34
2020-01-14,20.95,61.5448768737298,75,49,47,30
2020-01-15,17.35,69.9271702341283,67,52,51,29
2020-01-16,18,62.6638019060897,75,57,48,24
2020-01-17,17.2,66.6902154671367,89,38,12,24
2020-01-18,20.6,52.8750782673752,55,NaN,NaN,NaN
2020-01-19,13.4,86.0631749316727,NaN,NaN,NaN,NaN
2020-01-20,11.2,90.5562103417286,NaN,31,11,25
2020-01-21,11,80.3924868343216,48,37,33,30
2020-01-22,17.6,61.7381994315986,70,47,62,35
2020-01-23,16.6,64.3559111201819,92,42,22,32
2020-01-24,16.6,69.701796701541,67,33,30,26
2020-01-25,12.75,75.561079395843,54,39,34,21
2020-01-26,16,60.0759878317096,60,35,33,25
2020-01-27,16.2,66.470144779791,54,35,25,27
2020-01-28,20.8,45.0535455862556,52,33,42,31
2020-01-29,16.1,59.8994360189281,46,41,39,28
2020-01-30,20.1,51.7296664453644,48,33,24,24
2020-01-31,16,57.6383913910828,42,27,35,25
2020-02-01,18.8,55.8085253382313,35,46,34,30
2020-02-02,15.25,68.9423742459264,72,43,36,31
2020-02-03,20,55.8222649145906,79,32,26,16
2020-02-04,14.4,74.0780088314713,39,21,11,19
2020-02-05,18,73.6914455973148,28,NaN,NaN,NaN
2020-02-06,15.7,65.4187029750813,NaN,NaN,NaN,NaN
2020-02-07,18.9,53.1866151771356,NaN,NaN,23,NaN
2020-02-08,17.2,60.4304649788483,NaN,41,47,NaN
2020-02-09,22.9,54.8167328606066,67,33,58,NaN
