date,med_temp,med_hum,pm25,pm10,o3,no2
2020-01-01,17,48.3995986846566,NaN,NaN,NaN,NaN
2020-01-02,17,47.1744907647071,NaN,45,17,13
2020-01-03,16,41.4149089954164,43,33,19,10
2020-01-04,13.5,47.7138381281436,37,52,28,21
2020-01-05,11,47.2005972471017,92,40,37,24
2020-01-06,14.5,25.6122750343122,76,62,46,28
2020-01-07,14,32.3172920251553,107,66,55,40
2020-01-08,11.5,47.3063541627858,93,48,34,29
2020-01-09,15.5,45.1238303748287,83,63,51,25
2020-01-10,16,35.2711293111296,101,60,57,32
2020-01-11,17,36.678437026906,82,58,36,31
2020-01-12,16,43.5463776696039,92,47,53,31
2020-01-13,16,43.072331963147,83,53,51,24
2020-01-14,16.5,53.676219566616,85,47,45,23
2020-01-15,17.75,53.0705188234919,73,56,40,22
2020-01-16,15.25,63.2357558379915,97,54,49,23
2020-01-17,15.5,61.226407152809,92,35,48,19
2020-01-18,17,51.0202875022809,64,NaN,15,17
2020-01-19,14,72.0617987822661,NaN,NaN,NaN,NaN
2020-01-20,12,71.7092844904518,NaN,22,NaN,NaN
2020-01-21,10.5,69.0632709512219,42,43,18,16
2020-01-22,13,54.9009237589138,83,58,34,27
2020-01-23,15.5,53.4287473850851,108,47,70,31
2020-01-24,14.5,53.1731109078527,79,34,25,29
2020-01-25,14,58.8090365836794,54,55,31,22
2020-01-26,16,48.2691753240203,84,36,29,20
2020-01-27,17,43.7661655638819,60,41,34,18
2020-01-28,16.1666666666667,28.9003980344704,56,42,40,20
2020-01-29,16.1666666666667,31.7670488081407,55,55,45,25
2020-01-30,16,29.9518730501661,67,34,34,26
2020-01-31,16,32.0394767078358,38,33,26,17
2020-02-01,17,42.6465471013175,43,46,31,21
2020-02-02,14,58.8090365836794,71,43,32,18
2020-02-03,17,43.9014563227206,81,41,37,26
2020-02-04,16,51.5914790578399,55,35,19,16
2020-02-05,16.75,51.9704967179289,48,39,14,14
2020-02-06,15.1666666666667,54.891875125493,48,28,34,14
2020-02-07,16,42.1088526784354,48,53,38,28
2020-02-08,17,31.7670488081407,85,53,41,25
2020-02-09,17,32.9562983399962,83,47,50,26
2020-02-10,18.5,42.6465471013175,77,51,46,25
2020-02-11,19.5,38.7102975372591,73,61,51,34
2020-02-12,18.5,41.2144994098394,82,49,37,21
2020-02-13,17.5,42.2418192521647,65,56,34,24
2020-02-14,16.5,57.3317249732954,88,59,80,14
2020-02-15,14.125,74.3178519495765,89,NaN,NaN,NaN
2020-02-16,18.5,47.1744162837804,NaN,NaN,NaN,NaN
2020-02-17,19.3333333333333,28.1587727683755,NaN,52,30,30
2020-02-18,20.25,22.9454271398038,57,61,53,28
2020-02-19,20.5,15.5999214653259,72,56,39,28
2020-02-20,18.1666666666667,45.6999406680437,72,59,41,21
2020-02-21,15,55.1388363302077,87,45,44,13
2020-02-22,13.75,55.8135277333367,54,44,51,19
2020-02-23,18.5,41.4604530469226,66,53,64,23
2020-02-24,20.5,32.860382942065,78,63,41,25
2020-02-25,20.5,36.5049761783664,73,41,33,21
2020-02-26,18,33.7797172099741,57,57,39,19
2020-02-27,11.5,56.124755951647,64,52,40,21
2020-02-28,17,39.2360849167604,86,49,47,21
2020-02-29,16,36.6208152323582,69,45,42,26
2020-03-01,18.5,35.8257040745678,72,54,50,25
2020-03-02,21,40.1899157109373,86,51,29,26
2020-03-03,21,34.0494867735025,77,51,24,24
2020-03-04,20,34.9697068975195,58,43,44,23
2020-03-05,20,34.6969181241975,57,59,46,24
2020-03-06,13,62.7938592578904,74,53,31,16
2020-03-07,12,60.4403473624862,77,62,36,20
2020-03-08,16.5,39.5302031116455,108,47,42,21
2020-03-09,17.5,36.1670716625754,77,53,48,24
2020-03-10,19.25,42.6063113858379,89,54,44,18
2020-03-11,19.25,41.3504440724669,87,48,37,23
2020-03-12,20.5,28.3847499227824,85,61,51,26
2020-03-13,23.75,27.1946219856092,79,49,39,22
2020-03-14,24,27.3259321645965,59,49,48,23
2020-03-15,20,37.4718603679702,71,37,34,15
2020-03-16,18.25,54.6496149928487,67,29,34,15
2020-03-17,16,53.5503004276328,52,37,34,22
2020-03-18,17.875,58.2189073761628,62,NaN,NaN,NaN
2020-03-19,19,45.8189594841214,NaN,37,26,11
2020-03-20,20,43.2222426857438,59,44,40,17
2020-03-21,19,54.1636902301541,69,37,38,14
2020-03-22,17.75,63.8276888033255,67,38,49,17
2020-03-23,20,21.8696902980112,68,41,52,19
2020-03-24,20,32.7372741198303,60,53,47,25
2020-03-25,22.5,18.5942494086369,78,52,66,23
2020-03-26,23.25,25.3315810224699,72,60,58,23
2020-03-27,23,17.3565998598397,86,68,40,25
2020-03-28,21.75,28.7809227891673,93,55,53,17
2020-03-29,21,34.5100943780692,85,58,62,10
2020-03-30,19.5,52.6971195255097,94,56,55,14
2020-03-31,22,24.711519163299,84,55,41,16
2020-04-01,19,44.1683067871877,67,54,64,16
2020-04-02,20.75,43.2685727569818,94,49,53,15
2020-04-03,18.3333333333333,50.0875628171476,80,36,50,16
2020-04-04,16,59.2702866354825,76,35,49,17
2020-04-05,21.5,39.9610770508024,70,25,43,13
2020-04-06,20,49.2979514395833,48,43,39,20
2020-04-07,21,37.7702896480056,80,46,52,17
2020-04-08,22,37.7702896480056,80,47,51,19
2020-04-09,20.5,43.046721,72,41,63,15
2020-04-10,21.5,36.9354454655761,77,39,56,14
2020-04-11,23.5,22.0591792960911,70,52,46,15
2020-04-12,21.75,22.3165804630948,79,42,37,8
2020-04-13,21.5,22.4647176363579,69,54,61,17
2020-04-14,23,25.3315810224699,80,57,35,21
2020-04-15,22.5,26.8040433098522,82,60,56,14
2020-04-16,22.5,32.2748079305251,107,52,57,12
2020-04-17,21.5,43.441291063152,84,51,65,16
2020-04-18,22.3333333333333,40.6274509878982,85,56,62,19
2020-04-19,20.75,43.046721,98,57,80,14
2020-04-20,23.5,41.2475133813725,113,54,56,16
2020-04-21,22.25,43.1804019989351,93,57,61,16
2020-04-22,18,59.7332941637568,84,49,78,20
2020-04-23,22.75,38.3694868696104,88,43,64,21
2020-04-24,22,36.7204396362425,74,52,69,20
2020-04-25,19.5,48.3665918350526,96,46,52,17
2020-04-26,18.5,52.3432988876841,86,28,47,8
2020-04-27,18.5,52.3432988876841,57,29,57,10
2020-04-28,22,26.2729940758496,52,41,48,17
2020-04-29,18.3125,50.3512498336287,60,57,50,18
2020-04-30,18,46.7808808195377,72,32,48,11
2020-05-01,14.5,63.8462709443114,55,26,50,12
2020-05-02,16,51.9704967179289,58,35,59,14
2020-05-03,19.5,44.805071796934,68,33,55,13
2020-05-04,21.25,28.3847499227824,66,40,52,16
2020-05-05,22.5,28.7809227891673,61,41,46,13
2020-05-06,16.8333333333333,61.5294912147995,58,29,45,13
