date,med_temp,med_hum,pm25,o3
2020-01-01,19,56.8479856591678,NaN,10
2020-01-02,14,75.5058637654225,106,22
2020-01-03,13.9,66.0611987141165,47,30
2020-01-04,13.35,40.9469817394747,73,NaN
2020-01-05,11.2,37.4619534777072,110,NaN
2020-01-06,7,69.3026099991528,NaN,NaN
2020-01-07,11.8,55.1135208046955,NaN,NaN
2020-01-08,18.9,34.181710524124,NaN,36
2020-01-09,17.5,56.4491310394817,102,41
2020-01-10,22.15,44.7982666036136,104,21
2020-01-11,20.2,35.2701832452947,73,33
2020-01-12,12.1,69.3482439196326,83,32
2020-01-13,12.8,69.2205482292823,91,39
2020-01-14,18.5,47.4256992455266,85,43
2020-01-15,22.3,41.38618057531,103,43
2020-01-16,22,43.8314482268878,98,35
2020-01-17,19.95,55.5844202779082,92,34
2020-01-18,18.7,61.1758648418514,82,30
2020-01-19,18.7,59.0889902090637,87,26
2020-01-20,18.8,62.2042113423009,74,25
2020-01-21,18.2,56.7593456992303,56,34
2020-01-22,21.1,52.977404430061,80,22
2020-01-23,18,55.9938576525386,67,18
2020-01-24,16.45,65.9660348230687,96,NaN
2020-01-25,18.95,55.8806329351417,149,18
2020-01-26,17.25,59.7049851122301,71,18
2020-01-27,14.95,68.9727885140178,49,28
2020-01-28,12.2,61.0780866349994,69,34
2020-01-29,13.4,53.2403969559012,89,31
2020-01-30,17.2,53.1773814901577,95,20
2020-01-31,16.1,60.981926347855,65,12
2020-02-01,15.3,42.6741260608174,38,24
2020-02-02,15.9,45.3489646379723,81,23
2020-02-03,13.4,94.9561488423209,61,4
2020-02-04,12.9,98.0720387960102,36,9
2020-02-05,19.3,60.0098015169139,45,11
2020-02-06,15.1,72.7557994022511,46,25
2020-02-07,16.7,46.8710997266485,65,NaN
2020-02-08,17.1,51.9362120481579,148,32
2020-02-09,12.7,77.348077570195,70,22
2020-02-10,17.5,70.3240172699513,59,13
2020-02-11,18.6,70.5188918073865,71,24
2020-02-12,20.3,54.9161707833324,77,17
2020-02-13,18.5,52.4356401391813,73,25
2020-02-14,22.5,43.1191064310432,89,2
2020-02-15,21.15,51.3169242868902,94,45
2020-02-16,18.05,56.1961785923193,91,36
2020-02-17,19.3,45.9246916269259,75,44
2020-02-18,23.2,38.8806753815139,85,51
2020-02-19,24.3,41.9699472306872,103,41
2020-02-20,24.4,32.5328120860084,96,49
2020-02-21,23.5,38.5378512658412,99,6
2020-02-22,21.45,53.009790667862,93,57
2020-02-23,23.6,43.9334524267852,107,28
2020-02-24,20.8,42.6734689909566,73,29
2020-02-25,17.7,56.5622554454608,94,28
2020-02-26,21.5,31.539857447748,94,50
2020-02-27,18.4,41.9266660162562,101,37
2020-02-28,20.6,44.9529176193163,101,12
2020-02-29,23.2,38.6180356493296,74,60
2020-03-01,22.8,39.8226524853956,112,30
2020-03-02,16.6,64.8042947727511,78,21
2020-03-03,20.7,42.0694374886423,91,28
2020-03-04,22.15,38.254090446733,99,23
2020-03-05,21.05,41.1858240167931,77,42
2020-03-06,24.95,35.3580305597508,115,NaN
2020-03-07,21.3,46.8627197392334,NaN,45
2020-03-08,21.8,48.4438552007918,120,61
2020-03-09,21.7,53.8247988167469,97,37
2020-03-10,21.7,50.0546076649157,86,47
2020-03-11,27.6,32.4485499114021,101,49
2020-03-12,22.45,48.5388847963115,104,39
2020-03-13,27.7,29.861270864008,110,11
2020-03-14,27.5,32.9925981899664,81,NaN
2020-03-15,24.6,37.9520053890082,NaN,NaN
2020-03-16,21,58.5938146430006,NaN,45
2020-03-17,23.75,40.9740299828745,101,50
2020-03-18,23.6,44.8027218466868,80,NaN
2020-03-19,24.05,39.1122127830715,NaN,NaN
2020-03-20,24,38.63053170277,NaN,NaN
2020-03-21,27.1,29.0869282079393,NaN,NaN
2020-03-22,29.9,26.4617437847191,NaN,NaN
2020-03-23,24.2,34.6496152403319,NaN,NaN
2020-03-24,25.1,35.844111488974,NaN,NaN
2020-03-25,29.4,19.9043908964884,NaN,71
2020-03-26,26.25,36.2824078445689,108,59
2020-03-27,23.55,44.7707403416849,114,21
2020-03-28,16.2,39.4324694751834,55,43
2020-03-29,29.7,21.5769967195792,93,56
2020-03-30,18.3,52.2941748524411,94,36
2020-03-31,28.7,25.2971690718481,97,44
2020-04-01,28.6,29.6873812873229,108,38
2020-04-02,20.5,54.6523368567711,101,40
2020-04-03,29.3,20.3733029321089,100,23
2020-04-04,25.75,28.4671410500878,65,NaN
2020-04-05,21.9,37.7516871026898,NaN,33
2020-04-06,22.6,27.1542400545139,88,30
2020-04-07,20.95,42.5699808941799,92,35
2020-04-08,24,33.4584304337465,92,39
2020-04-11,23.4,34.8852047843284,80,19
2020-04-12,24.95,26.0077318563904,56,26
2020-04-13,29,21.4031209336582,105,40
2020-04-14,26.25,18.5448028659344,84,51
2020-04-15,26.4,16.1950582905404,106,35
2020-04-16,24.4,18.6726383049636,87,43
2020-04-17,27.25,25.92807386316,107,43
2020-04-18,26.7,32.566307657122,102,16
2020-04-19,22.1,51.3831154099707,103,NaN
2020-04-20,26.65,33.2488387135157,NaN,32
2020-04-21,24.6,25.6131491921397,90,65
2020-04-22,28.2,21.5716163308084,103,49
2020-04-23,27.55,22.7578557207474,99,44
2020-04-24,27.75,16.5597047117017,101,51
2020-04-25,27.5,15.5779678507322,83,58
2020-04-26,26.1,21.5192824543651,117,45
2020-04-27,26.9,33.1729846565217,105,54
2020-04-28,27.2,24.510254868782,95,40
2020-04-29,27.75,20.1755015019908,105,66
2020-04-30,21.7,26.4297649446828,100,45
2020-05-01,23.4,43.5406075353965,129,24
2020-05-02,27.95,28.3780156775278,60,47
2020-05-03,25.7,33.64962077715,103,58
2020-05-04,24.95,42.0328328916526,88,59
2020-05-05,23.6,47.3409027924829,96,50
2020-05-06,28.4,35.0697493543006,75,46
2020-05-07,17.7,80.1106606408514,56,44
2020-05-08,17.8,80.6267942559631,56,51
2020-05-09,21.45,55.4038975795112,77,49
2020-05-10,24.9,29.9578444007975,70,43
2020-05-11,23.5,32.0513907882689,72,45
2020-05-12,19.3,36.2790378760036,81,44
2020-05-13,27.35,21.787399495922,86,52
2020-05-14,19.2,38.6081521299065,86,52
2020-05-15,22.05,23.9911444240377,89,28
2020-05-16,24.7,21.9142189775702,117,35
2020-05-17,21.05,23.3053672061088,83,44
2020-05-18,30,19.2124361580145,86,62
2020-05-19,21.6,39.8573644941596,107,52
2020-05-20,25.2,33.8306991643677,110,29
2020-05-21,21.3,47.996125459448,75,23
2020-05-22,22.95,39.3944526717362,84,32
2020-05-23,25.6,35.01771110514,81,33
2020-05-24,19.4,36.5617402905406,68,45
2020-05-25,28.7,10.5206627378759,70,51
2020-05-26,23.05,33.6763469686197,84,58
2020-05-27,27.95,18.0470768220335,93,65
2020-05-28,19.95,41.9227780516513,124,61
2020-05-29,28.15,21.07521073887,122,29
2020-05-30,22,48.9169512948651,74,35
2020-05-31,21.7,50.0546076649157,114,49
2020-06-01,23.65,46.08229116543,67,34
2020-06-02,21.2,68.5381840108975,58,67
2020-06-03,27.65,43.5255604788137,77,38
2020-06-04,30.1,32.3084559938196,87,34
2020-06-05,31.2,23.5714421740793,91,36
2020-06-06,28.8,47.6669090288386,76,58
2020-06-07,26.2,51.1457218272473,105,33
2020-06-08,23.5,60.5893015632031,78,35
2020-06-09,25.4,39.9856677808317,80,72
2020-06-10,26.5,42.7997375048839,78,35
2020-06-11,25.5,45.3531891492852,98,34
2020-06-12,28.3,35.7178011832027,82,24
2020-06-13,24.8,39.5233821466196,60,37
2020-06-14,21.4,69.9474307324633,92,50
2020-06-15,20,77.1598657143312,76,58
2020-06-16,20.05,71.2141038026104,72,60
2020-06-17,26.8,47.5581089548936,78,76
2020-06-18,23.75,54.2190483291456,82,67
2020-06-19,27.2,42.7053420814498,83,52
2020-06-20,22.3,72.2844335296582,66,59
2020-06-21,21.7,65.8192915127966,97,72
2020-06-22,18.35,92.1883430882056,55,60
2020-06-23,19.8,77.3574491297402,54,41
2020-06-24,24.1,57.9782386614273,53,32
2020-06-25,24.4,54.1069562512119,54,24
2020-06-26,21,79.2539701640954,54,17
2020-06-27,21,75.514909661221,50,31
2020-06-28,20.2,82.5010592613164,77,31
2020-06-29,22.4,65.1176949810315,64,42
2020-06-30,21.75,73.4541216850108,54,49
2020-07-01,22.7,69.0096891406728,83,35
2020-07-02,18.75,92.1988775211887,58,46
2020-07-03,23.1,65.7105496461951,48,36
2020-07-04,21.7,72.7611583714917,64,40
2020-07-05,20.5,73.6175006584499,80,51
2020-07-06,28,49.9588275788138,56,69
2020-07-07,21.1,86.2486753015068,70,45
2020-07-08,21.35,77.0781987718718,60,28
2020-07-09,19.85,78.6035000974317,43,24
2020-07-10,21,70.7436197145886,56,25
2020-07-11,23.4,64.0798765505344,38,13
2020-07-12,23.8,57.1944760078048,36,NaN
