date,med_temp,med_hum,pm25,pm10,o3,no2
2020-01-01,17,48.3995986846566,NaN,46,20,9
2020-01-02,17,47.1744907647071,50,25,18,11
2020-01-03,16,41.4149089954164,28,27,33,26
2020-01-04,13.5,47.7138381281436,33,57,40,36
2020-01-05,11,47.2005972471017,100,41,50,38
2020-01-06,14.5,25.6122750343122,74,60,61,55
2020-01-07,14,32.3172920251553,104,54,35,37
2020-01-08,11.5,47.3063541627858,71,52,49,39
2020-01-09,15.5,45.1238303748287,81,60,56,48
2020-01-10,16,35.2711293111296,90,52,39,32
2020-01-11,17,36.678437026906,70,49,57,37
2020-01-12,16,43.5463776696039,75,47,47,30
2020-01-13,16,43.072331963147,80,49,54,34
2020-01-14,16.5,53.676219566616,75,49,47,30
2020-01-15,17.75,53.0705188234919,67,52,51,29
2020-01-16,15.25,63.2357558379915,75,57,48,24
2020-01-17,15.5,61.226407152809,89,38,12,24
2020-01-18,17,51.0202875022809,55,NaN,NaN,NaN
2020-01-19,14,72.0617987822661,NaN,NaN,NaN,NaN
2020-01-20,12,71.7092844904518,NaN,31,11,25
2020-01-21,10.5,69.0632709512219,48,37,33,30
2020-01-22,13,54.9009237589138,70,47,62,35
2020-01-23,15.5,53.4287473850851,92,42,22,32
2020-01-24,14.5,53.1731109078527,67,33,30,26
2020-01-25,14,58.8090365836794,54,39,34,21
2020-01-26,16,48.2691753240203,60,35,33,25
2020-01-27,17,43.7661655638819,54,35,25,27
2020-01-28,16.1666666666667,28.9003980344704,52,33,42,31
2020-01-29,16.1666666666667,31.7670488081407,46,41,39,28
2020-01-30,16,29.9518730501661,48,33,24,24
2020-01-31,16,32.0394767078358,42,27,35,25
2020-02-01,17,42.6465471013175,35,46,34,30
2020-02-02,14,58.8090365836794,72,43,36,31
2020-02-03,17,43.9014563227206,79,32,26,16
2020-02-04,16,51.5914790578399,39,21,11,19
2020-02-05,16.75,51.9704967179289,28,NaN,NaN,NaN
2020-02-06,15.1666666666667,54.891875125493,NaN,NaN,NaN,NaN
2020-02-07,16,42.1088526784354,NaN,NaN,23,NaN
2020-02-08,17,31.7670488081407,NaN,41,47,NaN
2020-02-09,17,32.9562983399962,67,33,58,NaN
2020-02-10,18.5,42.6465471013175,57,43,53,NaN
2020-02-11,19.5,38.7102975372591,63,53,63,NaN
2020-02-12,18.5,41.2144994098394,80,40,33,NaN
2020-02-13,17.5,42.2418192521647,59,43,4,NaN
2020-02-14,16.5,57.3317249732954,76,NaN,NaN,NaN
2020-02-15,14.125,74.3178519495765,NaN,NaN,NaN,NaN
2020-02-16,18.5,47.1744162837804,NaN,NaN,NaN,NaN
2020-02-17,19.3333333333333,28.1587727683755,NaN,42,30,31
2020-02-18,20.25,22.9454271398038,54,48,53,44
2020-02-19,20.5,15.5999214653259,66,57,59,45
2020-02-20,18.1666666666667,45.6999406680437,79,57,40,32
2020-02-21,15,55.1388363302077,84,29,55,21
2020-02-22,13.75,55.8135277333367,44,15,84,28
2020-02-23,18.5,41.4604530469226,36,53,87,34
2020-02-24,20.5,32.860382942065,79,49,55,30
2020-02-25,20.5,36.5049761783664,64,36,34,25
2020-02-26,18,33.7797172099741,44,48,55,30
2020-02-27,11.5,56.124755951647,63,48,48,29
2020-02-28,17,39.2360849167604,71,47,61,33
2020-02-29,16,36.6208152323582,65,46,60,36
2020-03-01,18.5,35.8257040745678,70,51,74,35
2020-03-02,21,40.1899157109373,85,51,23,41
2020-03-03,21,34.0494867735025,83,48,34,22
2020-03-04,20,34.9697068975195,51,42,33,28
2020-03-05,20,34.6969181241975,54,58,65,31
2020-03-06,13,62.7938592578904,71,65,36,32
2020-03-07,12,60.4403473624862,104,63,59,32
2020-03-08,16.5,39.5302031116455,113,49,71,26
2020-03-09,17.5,36.1670716625754,81,46,53,28
2020-03-10,19.25,42.6063113858379,75,55,73,31
2020-03-11,19.25,41.3504440724669,89,52,38,36
2020-03-12,20.5,28.3847499227824,92,55,66,36
2020-03-13,23.75,27.1946219856092,71,48,47,31
2020-03-14,24,27.3259321645965,70,54,65,28
2020-03-15,20,37.4718603679702,67,32,51,21
2020-03-16,18.25,54.6496149928487,57,34,35,22
2020-03-17,16,53.5503004276328,65,37,41,34
2020-03-18,17.875,58.2189073761628,73,NaN,NaN,NaN
2020-03-19,19,45.8189594841214,NaN,NaN,18,23
2020-03-20,20,43.2222426857438,NaN,NaN,45,27
2020-03-21,19,54.1636902301541,NaN,NaN,52,22
2020-03-22,17.75,63.8276888033255,NaN,NaN,59,20
2020-03-23,20,21.8696902980112,NaN,NaN,63,31
2020-03-24,20,32.7372741198303,NaN,NaN,59,36
2020-03-25,22.5,18.5942494086369,NaN,NaN,87,31
2020-03-26,23.25,25.3315810224699,NaN,NaN,57,33
2020-03-27,23,17.3565998598397,NaN,50,38,28
2020-03-28,21.75,28.7809227891673,70,52,71,22
2020-03-29,21,34.5100943780692,89,62,89,20
2020-03-30,19.5,52.6971195255097,92,59,80,NaN
2020-03-31,22,24.711519163299,94,57,46,NaN
2020-04-01,19,44.1683067871877,70,50,73,NaN
2020-04-02,20.75,43.2685727569818,82,47,70,NaN
2020-04-03,18.3333333333333,50.0875628171476,82,38,48,NaN
2020-04-04,16,59.2702866354825,71,32,74,21
2020-04-05,21.5,39.9610770508024,66,30,61,15
2020-04-06,20,49.2979514395833,59,42,52,22
2020-04-07,21,37.7702896480056,75,39,61,20
2020-04-08,22,37.7702896480056,69,47,74,23
2020-04-09,20.5,43.046721,84,41,86,23
2020-04-10,21.5,36.9354454655761,79,40,78,18
2020-04-11,23.5,22.0591792960911,77,41,57,16
2020-04-12,21.75,22.3165804630948,71,39,41,13
2020-04-13,21.5,22.4647176363579,63,45,85,22
