date,med_temp,med_hum,pm25,pm10,o3,no2
2020-01-01,17,48.3995986846566,NaN,34,19,6
2020-01-02,17,47.1744907647071,54,18,16,7
2020-01-03,16,41.4149089954164,34,32,30,19
2020-01-04,13.5,47.7138381281436,45,46,37,28
2020-01-05,11,47.2005972471017,86,41,44,37
2020-01-06,14.5,25.6122750343122,84,59,55,43
2020-01-07,14,32.3172920251553,97,59,31,38
2020-01-08,11.5,47.3063541627858,85,53,47,30
2020-01-09,15.5,45.1238303748287,91,62,4,56
2020-01-10,16,35.2711293111296,97,NaN,NaN,NaN
2020-01-11,17,36.678437026906,NaN,NaN,NaN,NaN
2020-01-12,16,43.5463776696039,NaN,45,37,27
2020-01-13,16,43.072331963147,76,46,36,31
2020-01-14,16.5,53.676219566616,73,45,33,25
2020-01-15,17.75,53.0705188234919,67,58,6,32
2020-01-16,15.25,63.2357558379915,102,52,36,21
2020-01-17,15.5,61.226407152809,75,33,9,26
2020-01-18,17,51.0202875022809,60,NaN,NaN,NaN
2020-01-19,14,72.0617987822661,NaN,NaN,NaN,NaN
2020-01-20,12,71.7092844904518,NaN,28,9,27
2020-01-21,10.5,69.0632709512219,51,41,28,36
2020-01-22,13,54.9009237589138,84,48,50,33
2020-01-23,15.5,53.4287473850851,99,35,21,29
2020-01-24,14.5,53.1731109078527,64,30,26,22
2020-01-25,14,58.8090365836794,58,38,24,20
2020-01-26,16,48.2691753240203,72,25,29,20
2020-01-27,17,43.7661655638819,50,34,33,22
2020-01-28,16.1666666666667,28.9003980344704,55,35,36,23
2020-01-29,16.1666666666667,31.7670488081407,43,37,30,22
2020-01-30,16,29.9518730501661,48,25,23,15
2020-01-31,16,32.0394767078358,24,28,29,19
2020-02-01,17,42.6465471013175,37,40,27,22
2020-02-02,14,58.8090365836794,71,36,30,23
2020-02-03,17,43.9014563227206,70,32,20,13
2020-02-04,16,51.5914790578399,41,21,18,9
2020-02-05,16.75,51.9704967179289,27,17,13,8
2020-02-06,15.1666666666667,54.891875125493,20,17,27,16
2020-02-07,16,42.1088526784354,24,40,32,27
2020-02-08,17,31.7670488081407,55,37,35,24
2020-02-09,17,32.9562983399962,58,30,36,19
2020-02-10,18.5,42.6465471013175,60,39,33,25
2020-02-11,19.5,38.7102975372591,63,52,41,32
2020-02-12,18.5,41.2144994098394,80,36,30,17
2020-02-13,17.5,42.2418192521647,53,41,9,33
2020-02-14,16.5,57.3317249732954,71,57,116,13
2020-02-15,14.125,74.3178519495765,99,NaN,NaN,NaN
2020-02-16,18.5,47.1744162837804,NaN,NaN,NaN,NaN
2020-02-17,19.3333333333333,28.1587727683755,NaN,40,39,27
2020-02-18,20.25,22.9454271398038,60,50,66,38
2020-02-19,20.5,15.5999214653259,78,58,69,32
2020-02-20,18.1666666666667,45.6999406680437,87,58,53,23
2020-02-21,15,55.1388363302077,89,43,56,21
2020-02-22,13.75,55.8135277333367,59,47,81,22
2020-02-23,18.5,41.4604530469226,71,49,80,22
2020-02-24,20.5,32.860382942065,75,53,56,23
2020-02-25,20.5,36.5049761783664,68,39,38,17
2020-02-26,18,33.7797172099741,51,46,60,23
2020-02-27,11.5,56.124755951647,66,48,47,19
2020-02-28,17,39.2360849167604,75,50,82,30
2020-02-29,16,36.6208152323582,72,47,66,26
2020-03-01,18.5,35.8257040745678,76,47,79,22
2020-03-02,21,40.1899157109373,80,47,30,27
2020-03-03,21,34.0494867735025,80,43,36,14
2020-03-04,20,34.9697068975195,51,38,52,16
2020-03-05,20,34.6969181241975,51,57,69,27
2020-03-06,13,62.7938592578904,83,55,47,23
2020-03-07,12,60.4403473624862,89,55,60,22
2020-03-08,16.5,39.5302031116455,97,47,81,21
2020-03-09,17.5,36.1670716625754,80,46,71,21
2020-03-10,19.25,42.6063113858379,73,51,85,21
2020-03-11,19.25,41.3504440724669,79,42,44,24
2020-03-12,20.5,28.3847499227824,66,54,76,28
2020-03-13,23.75,27.1946219856092,77,49,65,27
2020-03-14,24,27.3259321645965,66,45,80,24
2020-03-15,20,37.4718603679702,67,38,63,20
2020-03-16,18.25,54.6496149928487,69,34,45,18
2020-03-17,16,53.5503004276328,65,39,48,31
2020-03-18,17.875,58.2189073761628,73,NaN,NaN,NaN
2020-03-19,19,45.8189594841214,NaN,45,15,28
2020-03-20,20,43.2222426857438,89,43,57,21
2020-03-21,19,54.1636902301541,79,42,70,23
2020-03-22,17.75,63.8276888033255,85,36,68,18
2020-03-23,20,21.8696902980112,66,46,73,27
2020-03-24,20,32.7372741198303,70,51,78,29
