date,med_temp,med_hum,pm25,pm10,o3
2020-01-01,8,33.8006159980778,NaN,14,27
2020-01-02,7.25,70.4999868245435,28,14,27
2020-01-03,4.5,52.4270614133435,31,11,26
2020-01-04,7,44.0095479383418,26,12,23
2020-01-05,8.5,42.9345888903548,27,24,23
2020-01-06,10.5,37.6278464650352,47,24,27
2020-01-07,9.5,19.1688938076215,37,18,24
2020-01-08,10,25.7798854523253,31,16,22
2020-01-09,13.5,27.3780694035502,32,21,28
2020-01-10,8,49.6102098066689,23,20,29
2020-01-11,7,28.6104657126536,26,14,28
2020-01-12,9,27.3498407168626,28,25,27
2020-01-13,10,27.2810999978877,45,24,22
2020-01-14,13.5,18.6721728597716,38,26,22
2020-01-15,15,20.1802274689229,34,48,5
2020-01-16,11,46.9269927813371,58,25,15
2020-01-17,7.5,78.6996631788904,41,16,24
2020-01-18,13.5,32.1159892098423,29,12,30
2020-01-19,11.5,37.0466664249678,23,13,33
2020-01-20,11,35.8376971090535,24,12,27
2020-01-21,8.5,53.0986327629818,19,14,21
2020-01-22,10.5,73.9745804454486,29,11,18
2020-01-23,12.5,47.1992888349233,22,17,28
2020-01-24,11.5,33.9985364872063,29,31,30
2020-01-25,14,30.9272303960258,45,23,29
2020-01-26,15,28.8416891326385,38,17,28
2020-01-27,14,41.3716494076216,27,20,66
2020-01-28,12.5,27.6370242038366,24,14,30
2020-01-29,11,23.8431607670587,25,22,30
2020-01-30,12,31.6888314868429,32,18,32
2020-01-31,11,30.0728273235681,29,19,30
2020-02-01,10.5,26.6746137731523,32,16,31
2020-02-02,11.5,21.0548133284263,28,28,27
2020-02-03,14.5,30.3527023385798,45,34,30
2020-02-04,11,50.6857483168904,27,12,30
2020-02-05,0.333333333333333,74.6663448323818,24,10,26
2020-02-06,3,32.5877160359045,22,18,28
2020-02-07,10.5,32.2990036527417,28,16,27
2020-02-08,14,33.381398722921,27,17,29
2020-02-09,16.75,27.1672571005686,30,19,28
2020-02-10,15,55.3797899066407,29,15,25
2020-02-11,6,76.6481544120048,26,13,19
2020-02-12,3,83.9025413590161,25,15,24
2020-02-13,8.5,55.7472830593052,34,39,31
2020-02-14,11,50.4209526885247,59,33,27
2020-02-15,15,34.8523200060664,43,17,32
2020-02-16,16,28.7020752643913,31,12,33
2020-02-17,16.5,25.3100077970102,21,15,31
2020-02-18,17,29.9453948434967,24,25,29
2020-02-19,12,47.8729151284837,35,27,26
2020-02-20,11,54.0123131397789,38,33,23
2020-02-21,5,60.7913238329765,40,16,21
2020-02-22,9.5,57.6103934880834,30,23,29
2020-02-23,16,41.8289604671705,37,23,35
2020-02-24,13,35.2665642992084,29,11,30
2020-02-25,11,18.5284659331932,23,15,34
2020-02-26,6,20.9423187351372,29,17,29
2020-02-27,8,19.281123658873,32,17,31
2020-02-28,14,15.6111479423269,23,20,18
2020-02-29,16,15.3095671846112,30,NaN,NaN
2020-03-01,18,26.0128577825414,NaN,23,15
2020-03-02,16,29.2588778636041,34,34,6
2020-03-03,10.5,76.5729066946311,40,13,27
2020-03-04,8.5,76.3863113145613,25,13,37
2020-03-05,11,58.0978616024747,22,21,31
2020-03-06,15,41.6925133232777,42,19,34
2020-03-07,16.5,34.7721087736834,22,23,34
2020-03-08,17,67.9609087860558,29,10,22
2020-03-09,14,62.9671787790499,20,17,27
2020-03-10,18.5,50.4983854568812,28,23,22
2020-03-11,20,43.3105070669775,31,23,19
2020-03-12,19,56.0962876114362,28,12,26
2020-03-13,17,77.3169566342607,20,13,28
2020-03-14,18,36.9544900249381,24,21,37
2020-03-15,18,52.7112299353993,33,24,34
2020-03-16,21,37.7702896480056,40,24,38
2020-03-17,19,39.9201947121411,34,25,26
2020-03-18,13,67.1821820919712,31,16,23
2020-03-19,12,43.2212799001176,33,10,35
2020-03-20,14.5,36.1189973872516,26,22,33
2020-03-21,14,41.4161016821763,31,18,34
2020-03-22,20,21.0631539992218,27,18,41
2020-03-23,21,17.0093114401469,30,29,42
2020-03-24,21.5,14.9087906306332,33,16,39
2020-03-25,21.5,17.7921319316917,24,16,38
2020-03-26,26,15.6705751370508,24,28,27
2020-03-27,22,27.0659917717837,31,82,38
2020-03-28,13.5,22.304094062573,53,16,38
2020-03-29,16,17.2728094561559,31,20,38
2020-03-30,19,14.7242827972951,36,16,42
2020-03-31,19.5,14.8334975194652,32,23,46
2020-04-01,24.5,15.1022636444779,38,21,40
2020-04-02,24,14.4593603042054,33,17,37
2020-04-03,23,17.4722152944897,24,21,36
2020-04-04,22,17.2409844251896,27,23,38
2020-04-05,21.5,17.6765164970416,29,17,39
2020-04-06,22,26.8047120603421,27,17,35
2020-04-07,21.5,23.5800084723459,26,15,33
2020-04-08,23.5,22.7588511872129,24,17,35
2020-04-09,23.5,21.0431709348484,25,16,35
2020-04-10,23,16.2043836010529,23,16,40
2020-04-11,22,14.3633107205517,25,18,42
2020-04-12,19,30.0817109163462,24,29,35
2020-04-13,20,22.6143222168182,34,23,39
2020-04-14,20.5,18.2313293492728,30,14,39
2020-04-15,19,19.5388997067188,25,20,43
2020-04-16,22,13.6968795060578,31,18,43
2020-04-17,24,14.257098412935,29,21,41
2020-04-18,23.5,16.831097383308,31,23,NaN
2020-04-19,22,14.1189308479465,32,14,NaN
2020-04-20,23,12.5829874206127,26,19,41
2020-04-21,25.5,12.4926529280594,31,21,41
2020-04-22,25,15.4532057672938,32,18,43
2020-04-23,25,16.2043836010529,29,19,40
2020-04-24,27,13.2822497413738,29,19,41
2020-04-25,25.5,19.4589684683903,31,24,45
2020-04-26,27,16.5373313514375,40,20,44
2020-04-27,32,10.1639870524162,32,21,42
2020-04-28,31,9.99222465277476,33,19,43
2020-04-29,26,20.9957895942197,30,39,41
2020-04-30,27,19.7694445783048,47,NaN,NaN
2020-05-01,32,10.958441235921,NaN,NaN,NaN
2020-05-02,32,13.8746541074885,NaN,NaN,NaN
2020-05-03,32,12.7118840967948,NaN,24,34
2020-05-04,31,10.2500417533638,45,18,42
2020-05-05,27,20.9957895942197,30,34,44
2020-05-06,28,20.4701209458237,40,28,65
2020-05-07,33,9.75217381945642,30,27,51
2020-05-08,24,14.1189308479465,29,49,42
2020-05-09,23,17.0093114401469,38,35,65
2020-05-10,27,21.4752646152092,41,26,45
2020-05-11,25,37.5672737950175,38,24,56
2020-05-12,28,17.6315023841885,32,20,42
2020-05-13,29,15.172200598708,28,18,39
2020-05-14,28,12.887338711027,27,18,39
2020-05-15,28,10.9770974156041,27,17,43
2020-05-16,30,10.5117564583523,26,18,42
2020-05-17,31,10.4245281746421,28,19,43
2020-05-18,32,10.1639870524162,30,27,47
2020-05-19,32.5,12.5207822503489,40,24,37
2020-05-20,30,11.4374318697313,32,19,39
2020-05-21,28,9.30912187674804,27,20,45
2020-05-22,29,7.03136766156312,25,21,46
2020-05-23,29,9.28479059810754,29,18,41
2020-05-24,29,13.2804212063758,25,17,40
2020-05-25,28,11.9479398506794,28,21,42
2020-05-26,25,29.3106382817349,32,23,54
2020-05-27,32,9.42039303606916,37,23,40
2020-05-28,34,12.8207470421774,37,26,51
2020-05-29,31,20.4701209458237,41,20,46
2020-05-30,30,20.2372459934251,27,16,43
2020-05-31,31,16.277643809403,24,15,NaN
2020-06-01,29,20.7022959888104,26,17,40
2020-06-02,31,17.3988577304734,31,19,54
2020-06-03,34,16.5662722206037,32,23,48
2020-06-04,35,17.1840257784334,31,39,53
2020-06-05,38,14.0508050202268,44,36,40
2020-06-06,36,18.0409408469588,42,24,52
2020-06-07,33.5,9.83652446097237,33,19,40
2020-06-08,32,19.7564117851917,28,32,40
2020-06-09,26.5,7.96839761900963,37,21,43
2020-06-10,29,5.70731316537415,28,38,38
2020-06-11,32,21.3945112580732,49,46,40
2020-06-12,29.5,32.7178017069826,50,22,42
2020-06-13,31.5,19.9193496387589,34,19,43
2020-06-14,32,14.2986021219191,31,31,48
2020-06-15,32,19.5305226765038,39,24,59
2020-06-16,33,18.4646902034886,35,16,43
2020-06-17,34,16.1542390055007,26,16,36
2020-06-18,34,11.3157253493689,24,17,37
2020-06-19,33,11.9479398506794,29,21,33
2020-06-20,34,6.91236661813246,29,26,41
2020-06-21,35,10.085483233913,45,16,41
2020-06-22,35.5,8.37668684680067,34,22,50
2020-06-23,33.5,22.8204468104432,44,58,47
2020-06-24,33,22.6596345185612,54,25,57
2020-06-25,32.25,22.3054496495897,37,23,65
2020-06-26,35,14.9899845390428,39,33,47
2020-06-27,34,21.3945112580732,40,34,43
2020-06-28,31.5,21.4391481490312,39,25,38
2020-06-29,32,20.3450857936187,34,27,32
2020-06-30,32,19.5305226765038,52,22,33
2020-07-01,32,16.9688167140277,41,21,33
2020-07-02,30,26.7242626830388,32,17,31
2020-07-03,34,21.9120680737822,27,20,33
2020-07-04,35,21.6237790042391,28,23,38
2020-07-05,33.5,24.9665995340893,32,24,41
2020-07-06,34,19.0900571886209,34,23,46
2020-07-07,34,22.1442458665726,32,57,70
2020-07-08,35.5,18.3491057532231,68,21,42
2020-07-09,38,13.0988846675009,34,24,42
2020-07-10,37,13.1033932066299,38,31,46
2020-07-11,38.5,11.7907205180729,45,33,46
2020-07-12,39,11.3747934423047,47,23,44
2020-07-13,39,12.1226632944839,34,27,39
2020-07-14,37,17.0546147103336,36,25,NaN
2020-07-15,35.5,19.8695314386562,43,29,NaN
2020-07-16,33,24.2463823628132,40,25,NaN
2020-07-17,36,18.0409408469588,43,17,44
2020-07-18,35,23.1274650705602,34,20,44
2020-07-19,34.5,24.6492910143326,34,17,54
2020-07-20,33,26.171116958105,29,26,50
2020-07-21,31.4166666666667,30.9931862676961,41,30,52
2020-07-22,29.5,36.5326675903815,46,20,37
2020-07-23,29.5,40.058716446319,39,18,50
2020-07-24,28,49.9725398245539,34,17,49
2020-07-25,25.5,63.3209845729342,31,14,76
2020-07-26,30,45.5875191658818,29,14,37
2020-07-27,31.5,32.2926920251944,26,15,40
2020-07-28,32,28.2881775052997,24,19,46
2020-07-29,34.5,20.5420495885311,29,23,44
2020-07-30,35.75,19.8352865386371,30,33,54
2020-07-31,34.5,23.8060387273208,41,29,48
2020-08-01,33,27.7140093276022,39,24,73
2020-08-02,33,24.0071764868677,38,18,47
2020-08-03,33.5,24.4117479677177,30,19,57
2020-08-04,33,24.1267794248405,31,26,48
