date,med_temp,med_hum,pm25,pm10,o3,so2
2020-01-01,18,43.046721,NaN,NaN,NaN,NaN
2020-01-02,15.5,63.0748532245927,NaN,53,29,15
2020-01-03,14,65.0820862279731,36,37,53,15
2020-01-04,12,34.9777602585064,44,47,53,15
2020-01-05,12,20.6109173813996,46,42,107,25
2020-01-06,14,14.1727524895504,53,67,126,25
2020-01-07,16,21.0631539992218,81,60,45,17
2020-01-08,13.5,34.5667536011439,65,56,77,21
2020-01-09,14,47.7399887594748,79,81,88,21
2020-01-10,17,44.7524777894665,119,64,55,18
2020-01-11,19,32.5897275224287,80,63,71,24
2020-01-12,16,34.9697068975195,89,53,66,21
2020-01-13,16,39.0979420245446,71,70,85,21
2020-01-14,18,34.4222024004582,92,57,69,24
2020-01-15,18,52.2198489068985,69,55,50,22
2020-01-16,18,47.5620182860419,67,51,46,16
2020-01-17,17,51.9704967179289,50,42,53,17
2020-01-18,17,52.4667488684697,49,51,54,19
2020-01-19,17,59.4971715419852,61,37,37,15
2020-01-20,14,72.0617987822661,31,31,70,15
2020-01-21,14,62.9671787790499,25,35,NaN,20
2020-01-22,14.5,49.6066134914952,47,54,NaN,28
2020-01-23,16,55.3819424153031,63,42,NaN,17
2020-01-24,13,58.8090365836794,57,48,NaN,19
2020-01-25,15,47.4715848885094,59,40,NaN,21
2020-01-26,16,59.4971715419852,70,32,NaN,16
2020-01-27,13,82.4022182688579,48,38,51,16
2020-01-28,17,37.9703174842466,43,50,57,17
2020-01-29,14.5,38.8894825345254,58,50,56,19
2020-01-30,16,36.7598878404139,56,48,44,16
2020-01-31,14,62.8582658248577,44,36,44,16
2020-02-01,15,39.6483053868861,36,55,28,17
2020-02-02,14,52.9261497031381,61,43,28,31
2020-02-03,14.5,62.9659402704005,37,49,29,17
2020-02-04,12,100,51,24,28,15
2020-02-05,14,82.2856797073903,29,21,22,15
2020-02-06,13,82.1675927570865,24,32,46,16
2020-02-07,13.5,44.3422143672637,30,52,56,23
2020-02-08,16,44.4797958756841,60,53,62,17
2020-02-09,16,46.0796572435405,62,44,44,17
2020-02-10,18,52.7112299353993,47,41,44,16
2020-02-11,17.5,45.8177886925616,45,52,60,17
2020-02-12,19,37.7702896480056,51,39,42,16
2020-02-13,18,42.5124007698423,38,34,51,17
2020-02-14,18,45.290511875599,52,49,63,20
2020-02-15,19,45.5559201415827,57,56,79,23
2020-02-16,21,40.4574882704232,67,64,91,19
2020-02-17,23,35.2405807751727,80,56,61,21
2020-02-18,21,28.2512072965996,60,65,80,23
2020-02-19,22,26.2781424655943,75,62,65,19
2020-02-20,21,37.7702896480056,73,60,78,20
2020-02-21,21,38.3040168551841,72,53,47,16
2020-02-22,18,48.7884130535361,44,49,73,19
2020-02-23,20,37.5004003623772,51,62,71,18
2020-02-24,21,35.2405807751727,76,44,53,16
2020-02-25,20,32.0430683750837,47,55,47,17
2020-02-26,19.5,29.4227202311706,53,59,64,19
2020-02-27,12,53.8841726305271,61,44,61,18
2020-02-28,17,40.8086151756326,49,62,73,28
2020-02-29,19,32.0430683750837,66,54,78,19
2020-03-01,21,40.1899157109373,59,NaN,NaN,NaN
2020-03-02,21,34.9697068975195,NaN,NaN,NaN,NaN
2020-03-03,22,26.8047120603421,NaN,67,49,17
2020-03-04,20,32.5897275224287,58,42,46,16
2020-03-05,19.5,32.5176639068821,45,63,53,22
2020-03-06,18,48.7884130535361,66,51,44,16
2020-03-07,15,48.0058414974927,41,49,79,17
2020-03-08,20,39.6483053868861,55,54,65,25
2020-03-09,21,40.4574882704232,65,53,76,19
2020-03-10,23,38.3040168551841,63,51,82,17
2020-03-11,24,34.1872607423445,52,54,84,20
2020-03-12,22,36.9060629329419,72,69,60,22
2020-03-13,27,28.0977064655397,73,71,77,20
2020-03-14,25,32.2040958329729,67,59,85,25
2020-03-15,23,40.9862673619772,65,43,69,22
2020-03-16,21,49.5491595476094,57,43,85,21
2020-03-17,17.5,61.4381216855787,72,50,67,23
2020-03-18,21.5,48.0716477409099,56,NaN,NaN,NaN
2020-03-19,22,38.3040168551841,NaN,NaN,NaN,NaN
2020-03-20,22,35.045063942403,NaN,53,81,19
2020-03-21,25,41.2475133813725,67,60,77,20
2020-03-22,23,46.338040472552,90,48,80,20
2020-03-23,24,32.5397968997387,72,56,82,23
