date,med_temp,med_hum,pm25
2020-01-01,17,93.8857273569508,NaN
2020-01-02,17.5,100,34
2020-01-03,21,56.5604000486402,32
2020-01-04,19,34.9697068975195,26
2020-01-05,21,53.1930661138467,17
2020-01-06,21,67.7696595335769,34
2020-01-07,19,77.9465394658244,27
2020-01-08,21.5,71.2259887759525,26
2020-01-09,23,78.5426985712009,33
2020-01-10,24,88.6329999588749,21
2020-01-11,23,24.6867754640213,42
2020-01-12,22,62.8146805301935,21
2020-01-13,24,94.2045438270904,26
2020-01-14,25,83.6901504580773,35
2020-01-15,25,83.5900463485691,44
2020-01-16,25,83.5900463485691,41
2020-01-17,26,65.3989649712067,37
2020-01-18,23,88.6329999588749,25
2020-01-19,16,72.4057243076668,33
2020-01-20,17,59.2702866354825,21
2020-01-21,18,63.1825276701355,16
2020-01-22,21,73.5461249396441,15
2020-01-23,22,78.0145853147762,24
2020-01-24,20,68.7040493306675,35
2020-01-25,23,78.4130500726945,20
2020-01-26,22,78.4130500726945,25
2020-01-27,22,78.2818340883483,32
2020-01-28,24,80.8995835041554,23
2020-01-29,20,32.0430683750837,41
2020-01-30,18,68.3367759317678,33
2020-01-31,16,87.9398770779913,25
2020-02-01,15,63.1825276701355,38
2020-02-02,20,53.1930661138467,38
2020-02-03,23,78.2818340883483,40
2020-02-04,22.5,85.8985445842318,30
2020-02-05,11,88.4109722328473,59
2020-02-06,12,47.2005972471017,45
2020-02-07,21,56.5604000486402,20
2020-02-08,23,73.7014587143591,31
2020-02-09,25,83.488709454081,25
2020-02-10,26,81.1937249054573,49
2020-02-11,24,94.1665213924193,65
2020-02-12,13,90.7211284947108,52
2020-02-13,18,63.3954403415598,18
2020-02-14,17,68.1499349749098,22
2020-02-15,23,64.8208674490189,30
2020-02-16,24,83.488709454081,27
2020-02-17,24,83.2822453885922,24
2020-02-18,26,78.7974034623456,52
2020-02-19,19,93.8857273569508,49
2020-02-20,13,100,42
2020-02-21,10,81.6791296449009,16
2020-02-22,19,68.3367759317678,23
2020-02-23,23,77.4599805387187,26
2020-02-24,25,78.5426985712009,23
2020-02-25,23,88.6329999588749,41
2020-02-26,16.5,23.8902257543927,46
2020-02-27,15,31.4892258932429,16
2020-02-28,21,35.2405807751727,26
2020-02-29,22,53.430485309461,34
2020-03-01,25,65.2083488408211,NaN
2020-03-02,25,78.1490222027596,NaN
2020-03-03,24,88.7051330177307,NaN
2020-03-04,24,69.0630153592452,62
2020-03-05,21,47.9436000100807,44
2020-03-06,22,40.7229322281032,15
2020-03-07,21,56.7889256146817,41
2020-03-08,23.5,62.4920960083208,33
2020-03-09,24,69.4139480825351,17
2020-03-10,23,88.5599408351937,31
2020-03-11,26.5,67.5780374306457,42
2020-03-12,24,83.2822453885922,37
2020-03-13,26,78.6708073334324,36
2020-03-14,26,76.3387858025467,46
2020-03-15,26,78.5426985712009,53
2020-03-16,26,78.7974034623456,43
2020-03-17,27,74.3051217699424,39
2020-03-18,27,74.006764271661,41
2020-03-19,28,74.1567967710387,53
2020-03-20,27,83.5900463485691,59
2020-03-21,24,83.4880816420927,53
2020-03-22,27,71.9458030804184,43
2020-03-23,27.5,69.9463316623717,43
2020-03-24,29.5,62.1385341572519,55
2020-03-25,29,65.9587026542225,55
2020-03-26,30.5,56.887792890561,51
2020-03-27,29,65.9587026542225,53
2020-03-28,30,68.2074155480402,52
2020-03-29,28,72.2814753804884,62
2020-03-30,28,72.1989369321873,47
2020-03-31,28.5,49.7855420318727,58
2020-04-01,26.5,57.7889225491462,39
2020-04-02,27.5,69.9258556526856,28
2020-04-03,27,78.734105397889,43
2020-04-04,26.5,83.7395972655048,47
2020-04-05,20.5,94.1084786383389,37
2020-04-06,26,88.7763574853919,NaN
2020-04-07,31,62.6272528577994,61
2020-04-08,30,69.9258556526856,54
2020-04-09,30.5,70.09184232186,55
2020-04-10,28,76.6871406994956,69
2020-04-11,28.5,81.417603591371,60
2020-04-12,34,56.2730212180925,64
2020-04-13,25,63.3266789061794,77
2020-04-14,22,75.8580220145677,48
2020-04-15,21,66.1928691976366,33
2020-04-16,23,73.7014587143591,28
2020-04-17,28.5,76.6871406994956,22
2020-04-18,29,76.7489655379694,50
2020-04-19,32.5,66.7009240335658,71
2020-04-20,30.5,62.8627999679157,109
2020-04-21,29,79.0461631098095,101
2020-04-22,30.5,70.3394722427677,87
2020-04-23,30,66.5009223672335,99
2020-04-24,32.5,59.1554323675667,129
2020-04-25,30,64.1037309047097,101
2020-04-26,28,58.323817131203,107
2020-04-27,29.5,64.1894118230457,26
2020-04-28,30.5,68.2899539963414,46
2020-04-29,27.75,76.6337853794095,70
2020-04-30,29,37.3392349071982,55
2020-05-01,29.5,47.0775407462726,24
2020-05-02,30.5,58.7436871515538,20
2020-05-03,31,58.7456152351365,20
2020-05-04,30.5,68.123967327167,31
2020-05-05,31.5,66.4115006844409,59
2020-05-06,29,70.0927520944322,55
2020-05-07,30,62.4333514153295,48
2020-05-08,31.5,58.8526228563453,48
2020-05-09,25,81.8570889977786,49
2020-05-10,27,65.587541554801,24
2020-05-11,29,60.1882011061507,30
2020-05-12,29,62.0395935466101,24
2020-05-13,29.5,67.9492293841411,26
2020-05-14,30,72.3631186322217,31
2020-05-15,31,74.5967634253865,43
2020-05-16,25,86.111523153722,61
2020-05-17,30,70.2578289910344,40
2020-05-18,31,62.6272528577994,35
2020-05-19,32,66.3220790016483,29
2020-05-20,32,66.3220790016483,51
2020-05-21,29.75,79.0461631098095,67
2020-05-22,32,68.5417812581085,62
2020-05-23,31,66.3220790016483,59
2020-05-24,31,70.2578289910344,48
