date,med_temp,med_hum,pm25,o3
2020-01-01,24.775,84.4236861211098,NaN,7
2020-01-02,24.825,88.5229392789842,135,6
2020-01-03,25.7,80.9644077534086,62,6
2020-01-04,24,82.608568717695,85,2
2020-01-05,21.775,72.5600332311238,38,14
2020-01-06,22,68.7943013434707,40,13
2020-01-07,22,68.884553356274,43,12
2020-01-08,20.6,75.9143442291539,52,12
2020-01-09,22.65,69.0630153592452,61,12
2020-01-10,25,81.0289361831854,55,7
2020-01-11,24.775,88.6690664883028,67,NaN
2020-01-12,25.45,83.488709454081,NaN,7
2020-01-13,25.275,83.539377901325,90,8
2020-01-14,26,82.3930232196111,73,9
2020-01-15,26,78.6067529523167,84,11
2020-01-16,25.7,76.5535340644915,68,12
2020-01-17,24.5,76.9968571297712,59,11
2020-01-18,25,69.4139480825351,56,NaN
2020-01-19,23.7,78.2138176937354,NaN,11
2020-01-20,22.7,88.5229392789842,53,12
2020-01-21,21.125,72.9875977628222,42,14
2020-01-22,19.5,69.4864376224793,37,13
2020-01-23,19.5,65.6411904082086,62,12
2020-01-24,21,77.8096050953295,99,19
2020-01-25,22.7,74.8556890432603,59,17
2020-01-26,22,76.049518375252,53,16
2020-01-27,23.875,78.2138176937354,51,14
2020-01-28,24,85.9360273291954,46,17
2020-01-29,24.7,78.5426985712009,74,16
2020-01-30,23,73.309450266172,71,20
2020-01-31,23.1,80.3856217328184,55,13
2020-02-01,23.7375,88.5964703970343,68,19
2020-02-02,20.85,73.4480885454402,41,22
2020-02-03,20,61.4834878003013,47,19
2020-02-04,23.85,73.2299383396842,59,14
2020-02-05,27,73.7768723648626,57,8
2020-02-06,27,72.1404438079262,72,14
2020-02-07,23.6,64.9552339414017,81,20
2020-02-08,22,71.4130651951416,44,16
2020-02-09,25.15,83.488709454081,72,10
2020-02-10,26.4,70.9318070420043,65,11
2020-02-11,27.3,69.5008825409096,70,12
2020-02-12,27.925,65.3239408250455,70,11
2020-02-13,27.9,69.5654559872417,79,12
2020-02-14,27,78.7974034623456,98,12
2020-02-15,25.5,87.8556991721971,105,13
2020-02-16,25.75,78.6067529523167,70,15
2020-02-17,25.825,76.2099071721778,61,13
2020-02-18,26,69.8676002355409,66,11
2020-02-19,28,72.2485239094511,58,12
2020-02-20,26.8,81.1430564582133,71,14
2020-02-21,25.575,82.4294785129609,83,11
2020-02-22,23,78.1728051436814,52,19
2020-02-23,21,65.9150763225696,33,20
2020-02-24,23.6,78.3474420805214,41,15
2020-02-25,27.85,64.345943989375,56,16
2020-02-26,25,74.0800583472071,49,19
2020-02-27,21,73.2971115722576,67,19
2020-02-28,21,63.5496558343772,47,20
2020-02-29,19,60.8212979562278,56,21
2020-03-01,20.675,53.5482179212964,37,21
2020-03-02,25,57.9852363518516,35,17
2020-03-03,27.825,69.8040284725531,57,11
2020-03-04,29.975,63.0452384611042,50,10
2020-03-05,28.5,67.9098556940694,56,18
2020-03-06,24,69.0630153592452,65,21
2020-03-07,23,64.6239352534018,37,22
2020-03-08,22.7,63.1347058548096,36,22
2020-03-09,24.15,57.1271131427159,46,20
2020-03-10,24.1,64.9182640786198,49,20
2020-03-11,25.825,67.6695779092486,68,19
2020-03-12,24.075,76.0572543935268,53,18
2020-03-13,27.8,63.4000563975273,50,18
2020-03-14,29.3,57.8975761422822,53,15
2020-03-15,27,70.7110474352956,52,14
2020-03-16,27,69.6717971404895,58,14
2020-03-17,26.825,66.992832026692,54,16
2020-03-18,26.2,69.8787529421515,68,NaN
2020-03-19,29,63.8135675507056,NaN,NaN
2020-03-20,29.4,57.6191190238546,NaN,NaN
2020-03-21,29,59.8531822519767,NaN,NaN
2020-03-22,27,63.6193213978524,NaN,NaN
2020-03-23,27.7,59.5427854589093,112,19
2020-03-24,26.7,67.5007448186681,45,16
2020-03-25,28.125,61.839677824498,39,18
2020-03-26,27.675,61.6413279765012,53,16
2020-03-27,27.65,61.839677824498,55,15
2020-03-28,29.625,51.1013250782761,58,18
2020-03-29,28.65,54.570724695626,58,18
2020-03-30,30,56.0033237686887,56,12
2020-03-31,29,61.9396356855541,55,12
2020-04-01,27,72.4358546314737,60,14
2020-04-02,27,76.8293038792713,72,13
2020-04-03,27.15,67.6723257224429,69,13
2020-04-04,30.25,55.039780513927,48,17
2020-04-05,30,58.1303023284138,45,15
2020-04-06,27.4,69.5864843908944,66,13
2020-04-07,30,62.2374747678938,63,15
2020-04-08,29.125,63.9632576526697,73,16
2020-04-09,30.5,52.1487625805445,72,20
2020-04-10,28,69.75617002179,81,17
2020-04-11,28,70.0927520944322,89,15
2020-04-12,28.5,67.8579062721536,89,24
2020-04-13,32.05,62.3334232022047,82,19
2020-04-14,30,66.05002576621,88,22
2020-04-15,29,65.9587026542225,92,16
2020-04-16,28.025,74.2309592704906,106,15
2020-04-17,28.075,67.8499830233878,78,19
2020-04-18,32.775,49.3959882144327,61,18
2020-04-19,31.55,56.6778721913437,71,21
2020-04-20,31,55.2498995352138,72,25
2020-04-21,28.65,70.0093038735589,104,20
2020-04-22,30,62.2374747678938,73,19
2020-04-23,32,57.0163733829821,74,25
2020-04-24,32.8,58.5367243878034,91,22
2020-04-25,31,68.2899539963414,93,23
2020-04-26,27,73.8549949244717,104,NaN
2020-04-27,29,71.6856716607581,94,16
2020-04-28,26.9,74.0800583472071,63,18
2020-04-29,26.125,80.9508797633877,68,18
2020-04-30,27,74.1567967710387,73,21
2020-05-01,27,72.3308194757391,56,24
2020-05-02,26.275,69.0310480852639,51,19
2020-05-03,28.875,65.7741103940899,51,16
2020-05-04,29,71.070610220693,79,14
2020-05-05,30,65.9587026542225,53,14
2020-05-06,29.5,66.05002576621,93,13
2020-05-07,28,69.4837472472574,71,19
2020-05-08,27,69.5864843908944,62,20
2020-05-09,29.5,69.5128589114246,59,15
2020-05-10,24.5,91.4165649630285,62,16
2020-05-11,26.575,77.9251420050144,55,20
2020-05-12,26.5,74.006764271661,57,19
2020-05-13,27,75.3571558721512,58,13
2020-05-14,30,68.1170504863149,50,12
2020-05-15,29.5,70.0927520944322,53,14
2020-05-16,29.5,70.22323532407,57,16
2020-05-17,30,70.2578289910344,64,13
2020-05-18,28,78.9225134328618,82,15
2020-05-19,28.1666666666667,83.1508709977607,98,23
2020-05-20,28,76.551262616144,67,14
2020-05-21,28.75,73.5675642721634,57,14
2020-05-22,26.175,74.2292661188952,69,15
2020-05-23,25,88.7051330177307,51,NaN
2020-05-24,24.3,89.0042590182554,NaN,NaN
2020-05-25,27,83.5900463485691,NaN,3
2020-05-26,27.875,78.734105397889,122,4
2020-05-27,28,78.2242407161764,61,1
2020-05-28,29.325,77.8719883502299,90,2
2020-05-29,28,74.3051217699424,75,1
2020-05-30,23.75,94.1279969083263,70,1
2020-05-31,25,94.1703410581349,55,1
2020-06-01,24,94.1665213924193,89,1
2020-06-02,24,94.1950382184226,59,1
2020-06-03,25,94.1665213924193,48,1
2020-06-04,24.4,95.3326760632099,68,1
2020-06-05,23.8,96.2134721094456,41,1
2020-06-06,25,88.7051330177307,35,NaN
2020-06-07,28,79.0338631305027,NaN,NaN
2020-06-08,28.5,80.4282272022054,NaN,7
2020-06-09,31,74.6461419256706,108,7
2020-06-10,29.95,75.9966863172879,98,8
2020-06-11,28,79.4368401318773,101,8
2020-06-12,27.6666666666667,81.1375925321449,97,7
2020-06-13,28.2,74.3051217699424,78,13
2020-06-14,27,78.7974034623456,80,14
2020-06-15,25,94.1279969083263,84,7
2020-06-16,25.5,88.6329999588749,62,9
2020-06-17,25.75,88.7407452515613,83,8
2020-06-18,26,84.9672575456903,79,8
2020-06-19,26.125,82.9035212463055,67,7
2020-06-20,26.5166666666667,88.7759117084838,66,8
2020-06-21,27,88.6329999588749,80,8
2020-06-22,25,90.8549571945393,54,5
2020-06-23,28,83.2037077558807,82,6
2020-06-24,29,78.9225134328618,125,3
2020-06-25,28,74.3051217699424,133,3
2020-06-26,29.3333333333333,74.5967634253865,161,8
2020-06-27,28,83.5900463485691,131,8
2020-06-28,27.85,78.9217832860776,72,9
2020-06-29,26.25,86.1325334697364,75,8
2020-06-30,29.6,74.4509425976645,101,9
2020-07-01,29,69.3283365279806,104,11
2020-07-02,27.1,87.5622884985608,80,10
2020-07-03,24,88.5599408351937,69,9
2020-07-04,24.2,88.5964703970343,47,10
2020-07-05,26,84.2393848714372,62,NaN
2020-07-06,26,88.2236953188059,89,5
2020-07-07,29.25,73.888956773388,81,8
2020-07-08,30,78.2174083248984,91,8
2020-07-09,28.5833333333333,81.3063319454696,81,9
2020-07-10,26.25,88.7763574853919,57,7
2020-07-11,26.25,93.4190634724646,56,7
2020-07-12,29,78.7966603831471,73,9
2020-07-13,28.5,74.3784448680359,65,8
2020-07-14,28.4333333333333,75.1823759203864,65,8
2020-07-15,29,78.9225134328618,84,9
2020-07-16,27.25,72.6370218636858,74,9
2020-07-17,29,72.9204077599242,85,9
2020-07-18,29.5,77.4153884315346,66,12
2020-07-19,27,76.9893857351219,57,10
2020-07-20,25.0333333333333,93.4601976817576,56,12
2020-07-21,27,83.6901504580773,45,14
2020-07-22,29,77.8848323614895,39,10
2020-07-23,26,83.5900463485691,45,11
2020-07-24,26.7,88.7763574853919,38,8
2020-07-25,28,83.7395972655048,68,7
2020-07-26,27.5,78.6550942097463,40,8
2020-07-27,27,88.470152924726,57,7
2020-07-28,29.3333333333333,74.8704693218804,73,8
2020-07-29,29,78.8599584476037,75,9
2020-07-30,29.0166666666667,72.8229005079119,64,9
2020-07-31,29,78.4798256071279,63,9
2020-08-01,31.3,66.204522638986,61,9
2020-08-02,30.725,70.4857688416976,63,NaN
2020-08-03,31.35,64.494972722057,80,10
2020-08-04,29,76.7596384291242,62,8
