date,med_temp,med_hum,pm25,pm10,o3,no2
2020-01-01,14,38.768210906914,NaN,36,34,11
2020-01-02,13.5,42.9443009689224,71,42,29,15
2020-01-03,16,33.8669429030793,53,49,27,19
2020-01-04,15,41.9689249643792,54,52,27,18
2020-01-05,14.5,47.8501790850348,73,36,30,13
2020-01-06,15,45.290511875599,58,38,31,13
2020-01-07,15,27.521040233236,31,45,28,15
2020-01-08,14,35.8376971090535,41,66,28,19
2020-01-09,14.5,48.0058414974927,81,38,31,7
2020-01-10,14,41.6936938424546,27,39,30,12
2020-01-11,14,23.754284527601,36,75,25,22
2020-01-12,12,50.4209526885247,106,47,32,16
2020-01-13,12,47.8703801062649,68,70,26,25
2020-01-14,13.25,50.4700629267703,100,55,33,21
2020-01-15,14,45.290511875599,76,55,37,20
2020-01-16,13,51.2073854854978,70,72,32,25
2020-01-17,14,55.1388363302077,107,30,31,12
2020-01-18,13.5,43.5053584512481,34,22,34,9
2020-01-19,14,28.7020752643913,20,21,34,7
2020-01-20,16,27.4410309588007,20,71,18,19
2020-01-21,14,55.8606315918386,52,43,29,13
2020-01-22,14,77.0254286471061,57,30,33,14
2020-01-23,16,53.676219566616,37,47,34,19
2020-01-24,18,36.678437026906,43,44,29,16
2020-01-25,18.5,33.3697472128068,43,43,33,17
2020-01-26,18,39.6483053868861,41,58,35,16
2020-01-27,18,42.5124007698423,85,38,32,15
2020-01-28,18,25.7462442317602,42,50,31,17
2020-01-29,18,27.4410309588007,38,73,31,11
2020-01-30,16,27.030741332579,38,41,33,11
2020-01-31,17.5,19.9608449997948,37,39,33,15
2020-02-01,17,22.7787365061316,41,50,31,15
2020-02-02,18,31.4892258932429,58,38,33,12
2020-02-03,15,26.2781424655943,35,61,33,3
2020-02-04,12,9.46980257465996,26,38,33,5
2020-02-05,10,13.2723301930467,11,36,32,12
2020-02-06,12,21.0631539992218,39,77,27,23
2020-02-07,14,47.2005972471017,86,63,36,20
2020-02-08,17,36.1200562218011,70,64,33,20
2020-02-09,15.5,51.8344291877502,84,20,35,4
2020-02-10,14,54.3940206784374,21,10,28,5
2020-02-11,12,79.5187754975073,15,17,34,11
2020-02-12,13,35.4098845948635,20,41,29,18
2020-02-13,14,58.3375478421103,39,42,32,14
2020-02-14,16,31.7670488081407,49,38,37,16
2020-02-15,17.5,29.8702165949212,43,45,44,17
2020-02-16,18,36.9544900249381,56,49,46,15
2020-02-17,18.5,34.4978645260307,64,53,43,18
2020-02-18,20,30.0817109163462,52,56,39,20
2020-02-19,20.5,15.7544536779769,51,52,24,21
2020-02-20,21,21.8647227810253,47,38,37,12
2020-02-21,20,21.0631539992218,35,53,34,13
2020-02-22,20,30.6220571720404,28,41,35,5
2020-02-23,16,45.0227070607385,25,16,36,6
2020-02-24,18,52.2198489068985,17,40,37,14
2020-02-25,22,22.8788079294887,44,28,33,8
2020-02-26,17,8.88788482850531,21,33,34,13
2020-02-27,16,13.4891379427825,32,38,35,14
2020-02-28,19,20.8119672148564,24,43,33,15
2020-02-29,20,27.9109682765943,32,54,38,12
2020-03-01,20.5,23.419965438141,58,34,36,1
2020-03-02,16,41.9689249643792,19,14,32,4
2020-03-03,16,36.9544900249381,8,35,36,15
2020-03-04,17,64.0199563101339,32,34,31,11
2020-03-05,19.5,58.1298060895295,29,38,38,12
2020-03-06,22,29.3106382817349,38,32,38,11
2020-03-07,21,33.3963872805656,22,24,40,5
2020-03-08,19.5,33.6434994613374,22,10,34,1
2020-03-09,18.5,44.9550577659393,8,30,25,8
2020-03-10,15,82.4022182688579,28,5,25,2
2020-03-11,14,95.8379604108206,15,16,25,7
2020-03-12,18,88.1011015877247,29,8,26,4
2020-03-13,15,72.4057243076668,29,12,30,6
2020-03-14,19.5,59.9677444362544,17,26,35,8
2020-03-15,19,59.2702866354825,27,15,34,5
2020-03-16,19,42.7806934327928,21,26,36,5
2020-03-17,18,48.5287941887782,20,20,35,7
2020-03-18,14,59.0409213733188,23,8,35,4
2020-03-19,14,54.3940206784374,13,14,35,5
2020-03-20,15,56.7338825954371,19,23,37,8
2020-03-21,18,45.5559201415827,23,14,40,5
2020-03-22,20,32.860382942065,19,14,40,3
2020-03-23,20.5,41.8848266140516,19,17,38,3
2020-03-24,19,34.6969181241975,16,13,43,2
2020-03-25,19.5,32.5888374836102,13,41,40,1
2020-03-26,17,33.8669429030793,16,17,38,1
2020-03-27,15.5,28.8416891326385,12,12,37,1
2020-03-28,17,29.8090787706472,8,30,42,7
2020-03-29,18,29.8090787706472,26,13,42,1
2020-03-30,20,28.2512072965996,17,19,42,10
2020-03-31,22,28.9159492546445,22,48,34,14
2020-04-01,21,32.860382942065,43,56,41,15
2020-04-02,21.5,40.8008689374467,64,31,42,5
2020-04-03,22,26.0009612381191,30,23,50,4
2020-04-04,22,28.7838919089237,23,27,40,4
2020-04-05,21.75,32.0782650149086,31,27,38,2
2020-04-06,18.5,45.5559201415827,35,30,37,5
2020-04-07,20.5,41.751812830448,29,18,32,3
2020-04-08,16,57.5654591136605,14,14,34,1
2020-04-09,17,39.6483053868861,9,10,38,4
2020-04-10,18,49.01940419551,15,3,30,1
2020-04-11,15,72.2348156476821,8,12,35,8
2020-04-12,21.5,40.4574882704232,18,12,34,4
2020-04-13,22,35.7766329578198,22,6,34,1
2020-04-14,26,20.5131694745737,11,21,40,4
2020-04-15,24,13.0745387982282,16,22,41,8
2020-04-16,26.5,18.1856994365923,23,27,44,5
2020-04-17,24.5,17.3975430249657,25,34,45,5
2020-04-18,23,28.1869693824809,32,8,33,1
2020-04-19,21,35.2405807751727,13,14,40,2
2020-04-20,24.5,27.5487843696562,20,16,41,1
2020-04-21,25.5,22.4766560520247,20,16,39,1
2020-04-22,29,20.0036830352489,16,21,44,4
2020-04-23,33,11.5612170257469,25,36,67,10
