date,med_temp,med_hum,pm25,o3,no2
2020-01-01,17,48.3995986846566,NaN,21,8
2020-01-02,17,47.1744907647071,53,19,7
2020-01-03,16,41.4149089954164,38,35,17
2020-01-04,13.5,47.7138381281436,36,48,25
2020-01-05,11,47.2005972471017,100,57,29
2020-01-06,14.5,25.6122750343122,81,76,41
2020-01-07,14,32.3172920251553,103,38,32
2020-01-08,11.5,47.3063541627858,94,67,28
2020-01-09,15.5,45.1238303748287,101,65,37
2020-01-10,16,35.2711293111296,135,38,31
2020-01-11,17,36.678437026906,94,57,34
2020-01-12,16,43.5463776696039,114,49,22
2020-01-13,16,43.072331963147,101,47,24
2020-01-14,16.5,53.676219566616,89,43,20
2020-01-15,17.75,53.0705188234919,94,47,23
2020-01-16,15.25,63.2357558379915,85,49,18
2020-01-17,15.5,61.226407152809,89,14,18
2020-01-18,17,51.0202875022809,67,NaN,NaN
2020-01-19,14,72.0617987822661,NaN,NaN,NaN
2020-01-20,12,71.7092844904518,NaN,14,22
2020-01-21,10.5,69.0632709512219,49,38,29
2020-01-22,13,54.9009237589138,78,68,34
2020-01-23,15.5,53.4287473850851,99,30,29
2020-01-24,14.5,53.1731109078527,68,33,19
2020-01-25,14,58.8090365836794,54,31,18
2020-01-26,16,48.2691753240203,69,37,18
2020-01-27,17,43.7661655638819,62,41,20
2020-01-28,16.1666666666667,28.9003980344704,60,33,26
2020-01-29,16.1666666666667,31.7670488081407,60,37,22
2020-01-30,16,29.9518730501661,74,30,16
2020-01-31,16,32.0394767078358,40,37,18
2020-02-01,17,42.6465471013175,60,33,17
2020-02-02,14,58.8090365836794,72,46,25
2020-02-03,17,43.9014563227206,82,26,14
2020-02-04,16,51.5914790578399,52,24,10
2020-02-05,16.75,51.9704967179289,37,15,9
2020-02-06,15.1666666666667,54.891875125493,30,36,13
2020-02-07,16,42.1088526784354,35,38,27
2020-02-08,17,31.7670488081407,64,42,24
2020-02-09,17,32.9562983399962,75,51,23
2020-02-10,18.5,42.6465471013175,79,49,26
2020-02-11,19.5,38.7102975372591,88,56,27
2020-02-12,18.5,41.2144994098394,81,37,21
2020-02-13,17.5,42.2418192521647,76,36,24
2020-02-14,16.5,57.3317249732954,97,103,12
2020-02-15,14.125,74.3178519495765,85,NaN,NaN
2020-02-16,18.5,47.1744162837804,NaN,NaN,NaN
2020-02-17,19.3333333333333,28.1587727683755,NaN,30,35
2020-02-18,20.25,22.9454271398038,73,65,32
2020-02-19,20.5,15.5999214653259,92,58,26
2020-02-20,18.1666666666667,45.6999406680437,95,46,18
2020-02-21,15,55.1388363302077,96,50,18
2020-02-22,13.75,55.8135277333367,62,70,18
2020-02-23,18.5,41.4604530469226,70,75,26
2020-02-24,20.5,32.860382942065,85,44,25
2020-02-25,20.5,36.5049761783664,84,33,19
2020-02-26,18,33.7797172099741,62,49,18
2020-02-27,11.5,56.124755951647,70,41,16
2020-02-28,17,39.2360849167604,75,69,23
2020-02-29,16,36.6208152323582,77,54,23
2020-03-01,18.5,35.8257040745678,77,65,22
2020-03-02,21,40.1899157109373,87,23,31
2020-03-03,21,34.0494867735025,88,32,14
2020-03-04,20,34.9697068975195,57,35,19
2020-03-05,20,34.6969181241975,63,57,23
2020-03-06,13,62.7938592578904,83,44,17
2020-03-07,12,60.4403473624862,84,53,19
2020-03-08,16.5,39.5302031116455,95,68,18
2020-03-09,17.5,36.1670716625754,83,57,20
2020-03-10,19.25,42.6063113858379,81,73,18
2020-03-11,19.25,41.3504440724669,85,43,21
2020-03-12,20.5,28.3847499227824,73,65,28
2020-03-13,23.75,27.1946219856092,95,54,24
2020-03-14,24,27.3259321645965,75,62,20
2020-03-15,20,37.4718603679702,78,48,17
2020-03-16,18.25,54.6496149928487,75,40,15
2020-03-17,16,53.5503004276328,70,48,26
2020-03-18,17.875,58.2189073761628,76,NaN,NaN
2020-03-19,19,45.8189594841214,NaN,5,38
