date,med_temp,med_hum,pm25,o3
2020-01-01,14,87.8987473769641,NaN,23
2020-01-02,16,87.980454046272,28,15
2020-01-03,19,39.9201947121411,28,27
2020-01-04,18.5,31.062389645715,21,28
2020-01-05,17,49.2979514395833,19,30
2020-01-06,19,56.0950818643362,22,28
2020-01-07,17,63.9522809928517,27,34
2020-01-08,17.5,65.8027900196063,33,30
2020-01-09,21.5,71.0572458479791,24,26
2020-01-10,25,68.884553356274,23,23
2020-01-11,22,17.0093114401469,42,30
2020-01-12,16,58.8090365836794,23,28
2020-01-13,20,72.7413674762669,36,21
2020-01-14,24,78.4130500726945,32,15
2020-01-15,24.5,76.1340224985831,39,17
2020-01-16,24,76.0572543935268,43,19
2020-01-17,24,67.1275649632357,42,25
2020-01-18,23,68.884553356274,31,25
2020-01-19,15.75,53.1817861803705,38,29
2020-01-20,14.5,41.4149089954164,19,34
2020-01-21,16,55.3819424153031,19,29
2020-01-22,19,62.1008331543775,20,23
2020-01-23,19,66.2801456081849,23,27
2020-01-24,19.5,58.1365926682408,23,29
2020-01-25,22,61.0190511556517,26,22
2020-01-26,22,71.0572458479791,28,27
2020-01-27,22,53.1930661138467,37,29
2020-01-28,22,73.3889621926598,39,30
2020-01-29,21,23.6395326826341,24,30
2020-01-30,15,67.9609087860558,33,21
2020-01-31,14,76.876854645991,42,20
2020-02-01,16,41.9689249643792,29,28
2020-02-02,18,41.9689249643792,30,30
2020-02-03,23,60.9137723835099,48,28
2020-02-04,22,73.3889621926598,32,24
2020-02-05,13,71.7092844904518,48,16
2020-02-06,11,39.9918695790598,43,27
2020-02-07,18.5,41.0634030356747,24,26
2020-02-08,24,57.2390837841855,28,29
2020-02-09,25.5,65.587541554801,27,24
2020-02-10,27.5,59.8752157224954,43,18
2020-02-11,20,86.5700829540268,68,12
2020-02-12,12,81.9266490914186,36,8
2020-02-13,14,59.3232408838442,13,33
2020-02-14,14.5,58.8090365836794,28,28
2020-02-15,21,56.5604000486402,28,29
2020-02-16,22,64.7202451587191,28,22
2020-02-17,26,59.6655982236648,23,18
2020-02-18,26,61.4336203050474,51,20
2020-02-19,17,77.3169566342607,54,13
2020-02-20,12,87.8570535899879,30,15
2020-02-21,9.5,61.9665118676073,9,27
2020-02-22,14,59.6069699175651,23,30
2020-02-23,21,63.814115960502,32,27
2020-02-24,24.5,59.233249767476,30,30
2020-02-25,23,73.0690205001984,32,27
2020-02-26,17,15.376977572607,52,30
2020-02-27,14,22.3046436723278,16,34
2020-02-28,18,30.3527023385798,22,28
2020-02-29,22,41.5066899184306,47,NaN
2020-03-01,25,56.7843079605097,NaN,NaN
2020-03-02,26,59.458313648967,NaN,NaN
2020-03-03,25,73.7014587143591,NaN,25
2020-03-04,24,73.8549949244717,68,34
2020-03-05,21,30.8897799419124,46,32
2020-03-06,23,26.2509132015264,16,41
2020-03-07,21.5,46.5941359342103,35,39
2020-03-08,23,51.7375438407396,33,31
2020-03-09,23,61.1232334532092,27,25
2020-03-10,23,78.1490222027596,29,22
2020-03-11,26,54.1291213118307,47,25
2020-03-12,24,65.1120047745209,38,21
2020-03-13,28,58.1127343408528,40,22
2020-03-14,26.5,59.000060933142,62,23
2020-03-15,26,61.4336203050474,50,22
2020-03-16,26,61.637697104138,50,18
2020-03-17,26.5,59.5624959465244,38,19
2020-03-18,26,65.2083488408211,42,19
2020-03-19,26.5,61.6339052554056,48,22
2020-03-20,25,73.8549949244717,58,18
2020-03-21,18,88.0210310145527,52,9
2020-03-22,20,77.8784936168726,19,21
2020-03-23,27,61.839677824498,32,21
2020-03-24,29,58.324729364328,45,31
2020-03-25,29.5,54.9189634919468,56,19
2020-03-26,31.5,39.2474408742019,47,NaN
2020-03-27,30.5,53.4837700597687,NaN,NaN
2020-03-28,31,51.9375695735518,NaN,NaN
2020-03-29,22,69.4139480825351,NaN,NaN
2020-03-30,28,61.838645325374,NaN,NaN
2020-03-31,27,56.7415462340075,NaN,NaN
2020-04-01,26.5,44.8474512122017,NaN,NaN
2020-04-02,26.5,63.6193213978524,NaN,16
2020-04-03,26.5,71.8819370808729,50,19
2020-04-04,21.75,83.2815938804563,55,19
2020-04-05,17,88.1011015877247,30,29
2020-04-06,22,88.3350254966405,27,20
2020-04-07,27,74.1567967710387,39,19
2020-04-08,30.5,56.8933119615086,66,28
2020-04-09,31,55.4677709447969,64,28
2020-04-10,27,74.006764271661,84,29
2020-04-11,28,69.9258556526856,56,23
2020-04-12,34.5,22.6854216462233,62,36
2020-04-13,25,47.3489589695669,71,33
2020-04-14,20,60.1633245676228,47,32
2020-04-15,19,52.4667488684697,29,34
2020-04-16,21,73.2299383396842,32,32
2020-04-17,27,78.7410962976194,30,24
2020-04-18,28,65.9587026542225,46,22
2020-04-19,33,43.5079254922379,64,32
2020-04-20,33,31.8560234145958,77,38
2020-04-21,30,62.2374747678938,94,26
2020-04-22,30,62.2374747678938,99,30
2020-04-23,33.5,45.0293943039678,113,37
2020-04-24,33.5,42.574143204662,81,32
2020-04-25,31,54.8079564379081,101,46
2020-04-26,28,51.2438732489697,113,38
2020-04-27,30.5,50.2543735247813,31,35
2020-04-28,31,52.1646504141135,42,24
2020-04-29,28,56.9977573851751,69,44
2020-04-30,28,37.368753242199,58,46
2020-05-01,30,38.0974093470035,26,39
2020-05-02,31,48.8003166366983,28,32
2020-05-03,31,48.8003166366983,32,32
2020-05-04,32,49.0349419776199,32,29
2020-05-05,32,49.0349419776199,60,28
2020-05-06,26,78.6708073334324,55,24
2020-05-07,30,51.9375695735518,46,25
2020-05-08,32.5,47.4365498678724,46,36
2020-05-09,21,77.8784936168726,47,36
2020-05-10,27,54.3575604832261,27,37
2020-05-11,29,51.7084304128643,28,33
2020-05-12,28,61.637697104138,29,29
2020-05-13,30,55.2498995352138,26,25
2020-05-14,31,58.9505611800632,36,25
2020-05-15,31,58.9524751125367,46,24
2020-05-16,24,73.8478910854417,64,38
2020-05-17,30,58.7456152351365,44,43
2020-05-18,31,49.0349419776199,31,34
2020-05-19,32,52.1646504141135,41,26
2020-05-20,31,62.4333514153295,NaN,25
2020-05-21,30,62.2374747678938,NaN,25
2020-05-22,32,55.4677709447969,NaN,28
2020-05-23,32,52.1646504141135,61,33
2020-05-24,31,58.7456152351365,55,26
2020-05-25,30,62.2374747678938,54,36
2020-05-26,26,76.274731421431,37,36
2020-05-27,30.5,53.4837700597687,27,35
2020-05-28,32,55.4677709447969,27,31
2020-05-29,24,73.7014587143591,35,30
2020-05-30,27,63.7136096896495,24,35
2020-05-31,26,83.3861169356162,29,26
2020-06-01,26,78.6708073334324,24,18
2020-06-02,25,83.5220698775848,17,16
2020-06-03,30,58.5367243878034,24,20
2020-06-04,31,55.2498995352138,29,17
2020-06-05,30,62.2374747678938,38,18
2020-06-06,31,51.9375695735518,39,23
2020-06-07,33.5,39.72463653107,24,39
2020-06-08,32.5,55.4677709447969,29,20
2020-06-09,31.5,62.3405324681712,34,28
2020-06-10,30,70.2578289910344,62,29
2020-06-11,31,42.7722111430687,56,39
2020-06-12,30,45.5875191658818,22,39
2020-06-13,29.5,45.4281693199385,25,43
2020-06-14,30,37.5943421343062,33,40
2020-06-15,30.5,51.6858057428101,32,32
2020-06-16,28,69.7571098900847,29,20
2020-06-17,31,55.3588352400054,24,19
2020-06-18,31,55.4677709447969,26,14
2020-06-19,26,80.6825216885471,20,14
2020-06-20,32,55.4677709447969,25,15
2020-06-21,33,52.6127388181273,19,13
2020-06-22,33.5,49.4981778054113,27,12
2020-06-23,32,58.8490451738366,29,15
2020-06-24,32,52.3896984459294,71,22
2020-06-25,28,69.7571098900847,46,22
2020-06-26,26,83.488709454081,50,13
2020-06-27,31,60.5949749402152,127,13
2020-06-28,31,52.1646504141135,144,13
2020-06-29,32.5,53.9287346953632,80,17
2020-06-30,32,58.9524751125367,71,17
2020-07-01,33,55.7905304415595,77,19
2020-07-02,32.5,47.6721933328262,80,16
2020-07-03,33.5,46.5084492675033,87,20
2020-07-04,34,38.5934355997964,55,22
2020-07-05,34,43.5079254922379,47,19
2020-07-06,33,46.3094446880326,36,13
2020-07-07,32,55.4677709447969,57,15
2020-07-08,33.5,49.3828662102574,83,16
2020-07-09,34,49.2675546151035,77,17
2020-07-10,34.5,45.3863585794198,62,15
2020-07-11,35,40.0912933336673,42,16
2020-07-12,36,34.4698223934919,34,19
2020-07-13,35,32.3476507947206,34,17
2020-07-14,33,46.3094446880326,59,17
2020-07-15,35,38.5934355997964,72,14
2020-07-16,33,46.3094446880326,86,12
2020-07-17,33.5,42.3043114400357,66,16
2020-07-18,31.5,55.455132824625,82,16
2020-07-19,32,49.0349419776199,64,17
2020-07-20,33.5,43.749343919903,50,24
2020-07-21,32.5,44.7893541785052,28,17
2020-07-22,34,46.3094446880326,25,18
2020-07-23,34,43.749343919903,24,18
2020-07-24,34.5,39.9685902729198,15,33
2020-07-25,28,69.9258556526856,23,24
2020-07-26,24.8333333333333,88.6329999588749,18,24
2020-07-27,30,70.2578289910344,24,15
2020-07-28,26.5,78.6067529523167,27,17
2020-07-29,27,69.9258556526856,21,20
2020-07-30,31,60.6929132639331,17,13
2020-07-31,32,58.9524751125367,35,13
2020-08-01,29,72.2613095390361,30,22
2020-08-02,28.5,67.942279153454,35,24
2020-08-03,31,55.2498995352138,21,22
2020-08-04,30.5,62.443482056667,24,17
