date,med_temp,med_hum,pm25,o3
2020-01-01,13.5,54.6330575229151,NaN,32
2020-01-02,11.5,90.6753875040234,43,26
2020-01-03,13,50.4209526885247,54,30
2020-01-04,12,64.7702144863591,26,30
2020-01-05,10.5,90.4810718850023,27,34
2020-01-06,12,57.8554912248566,34,33
2020-01-07,17.5,16.4949848751061,14,31
2020-01-08,10,67.4782423679164,27,28
2020-01-09,12,81.9266490914186,57,31
2020-01-10,10.5,93.4583197839964,25,25
2020-01-11,11,75.9437234078979,33,30
2020-01-12,11.5,82.0479264748835,45,31
2020-01-13,9,93.5298058079933,41,29
2020-01-14,10,87.5605191220493,50,35
2020-01-15,9.5,84.6937282071814,56,30
2020-01-16,9,93.4823818113221,67,33
2020-01-17,11,82.2856797073903,67,29
2020-01-18,10.5,84.5417665603059,30,32
2020-01-19,12,59.4821353351988,27,36
2020-01-20,13,84.9596400235461,24,28
2020-01-21,13,87.8576176759368,68,29
2020-01-22,12,87.6896910246721,29,31
2020-01-23,11,93.5995793682939,43,28
2020-01-24,12.5,81.8028893681597,51,25
2020-01-25,10.5,100,60,33
2020-01-26,11,96.8563989893502,75,33
2020-01-27,12.5,82.1675927570865,63,32
2020-01-28,12,78.9861369177146,62,33
2020-01-29,12.5,93.5060938096577,39,31
2020-01-30,14,37.9703174842466,35,29
2020-01-31,13,54.1404536490307,45,34
2020-02-01,18,26.8934832423364,34,34
2020-02-02,17.5,32.5378009955709,27,32
2020-02-03,13,82.0479264748835,34,33
2020-02-04,12,21.1365717212013,40,33
2020-02-05,8,28.3124363540011,30,32
2020-02-06,9,55.3712317369866,39,36
2020-02-07,11,82.0479264748835,49,40
2020-02-08,12,81.8037279834054,58,44
2020-02-09,13,82.1675927570865,71,36
2020-02-10,10,93.6453203589813,33,34
2020-02-11,10,93.4342577566707,23,34
2020-02-12,11,67.5761485295562,38,36
2020-02-13,10.5,79.1508086523856,48,33
2020-02-14,11,87.6468337452682,54,40
2020-02-15,11,87.8009252568786,65,41
2020-02-16,11,87.469275478122,57,43
2020-02-17,11.6666666666667,96.9293154135934,62,40
2020-02-18,12,93.6226138305254,73,40
2020-02-19,13,87.7742301019844,76,37
2020-02-20,11.5,93.6453203589813,65,39
2020-02-21,16,55.0082110345886,65,36
2020-02-22,14,82.2856797073903,66,33
2020-02-23,13,87.6896910246721,37,35
2020-02-24,11,93.5765449060625,45,32
2020-02-25,12.5,87.598573807708,49,36
2020-02-26,20,11.3118786711469,57,37
2020-02-27,18,14.1448812762116,NaN,32
2020-02-28,22,12.4627004765007,NaN,33
2020-02-29,16.5,33.4451062090213,NaN,35
2020-03-01,13,71.88663496032,39,37
2020-03-02,10,87.5170617782344,33,28
2020-03-03,11,82.0479264748835,19,34
2020-03-04,13,76.2629672200824,30,32
2020-03-05,12.5,87.7742301019844,57,36
2020-03-06,13,93.7569406162309,52,34
2020-03-07,13,76.876854645991,50,34
2020-03-08,13,87.7742301019844,28,29
2020-03-09,12,77.0254286471061,11,27
2020-03-10,16.8333333333333,83.6859323317197,24,18
2020-03-11,16.5,85.1874281303771,20,26
2020-03-12,14,93.8004679355337,18,36
2020-03-13,13.5,93.6680268874372,26,26
2020-03-14,14,87.8576176759368,14,32
2020-03-15,13,87.6896910246721,17,31
2020-03-16,13,82.1675927570865,23,31
2020-03-17,13,76.8016069286173,27,37
2020-03-18,10,87.5170617782344,11,33
2020-03-19,10.5,81.8037279834054,18,28
2020-03-20,11.5,81.9266490914186,18,31
2020-03-21,12,87.6896910246721,14,36
2020-03-22,12,87.6468337452682,25,30
2020-03-23,15,83.4306512900977,24,34
2020-03-24,16,67.9609087860558,9,34
2020-03-25,13,76.876854645991,11,36
2020-03-26,13,60.8132793532946,6,35
2020-03-27,10,76.4194541780186,8,38
2020-03-28,14,62.9671787790499,12,38
2020-03-29,15,65.4931464709757,30,39
2020-03-30,16.5,68.1499349749098,34,30
2020-03-31,17,72.7413674762669,34,23
2020-04-01,17.5,72.6579650382221,55,35
2020-04-02,16.5,70.1833165468613,68,35
2020-04-03,16,65.6951322450291,41,37
2020-04-04,16.5,65.7834327608654,44,33
2020-04-05,15,67.5761485295562,39,32
2020-04-06,15,72.0617987822661,21,27
2020-04-07,15,87.9398770779913,12,27
2020-04-08,13,72.2348156476821,12,31
2020-04-09,14,72.1483072149741,13,32
2020-04-10,12,100,8,33
2020-04-11,14.5,74.7889209094549,11,37
2020-04-12,15,77.2445370727518,16,33
2020-04-13,14,87.7742301019844,13,30
2020-04-14,17,77.7407165737864,11,36
2020-04-15,21,38.0381564329044,29,44
2020-04-16,20.5,43.5720750593266,43,42
2020-04-17,16,72.4057243076668,41,33
2020-04-18,16,67.7696595335769,38,32
2020-04-19,16,72.4057243076668,9,33
2020-04-20,16,77.3169566342607,15,32
2020-04-21,17,72.7413674762669,22,34
2020-04-22,22.5,54.9975729648237,27,40
2020-04-23,26,41.9721737233185,47,49
2020-04-24,25,50.5309410235647,60,54
2020-04-25,26,52.3370080833779,54,57
2020-04-26,27.5,39.679523784585,66,44
2020-04-27,24,60.8084936113681,48,36
2020-04-28,22.5,64.8208674490189,50,37
2020-04-29,20,77.8784936168726,50,39
2020-04-30,19,82.8534800267502,53,43
2020-05-01,21,72.0000495227077,63,47
2020-05-02,22,64.5243824313096,59,42
2020-05-03,21,66.5727019540853,59,30
2020-05-04,22.6666666666667,58.9118180563072,49,36
2020-05-05,25.5,52.4534423658598,49,46
2020-05-06,29,37.3401349278041,62,61
2020-05-07,27.1666666666667,39.4226099367152,69,60
2020-05-08,24,57.2390837841855,80,43
2020-05-09,22,68.884553356274,78,38
2020-05-10,20,75.5542159782784,58,33
2020-05-11,20,64.3241724469097,50,40
2020-05-12,19,60.3806648453332,39,35
2020-05-13,18.5,59.9424695369325,28,36
2020-05-14,20,60.5957095730801,19,30
2020-05-15,21.5,60.7021015922241,33,31
2020-05-16,22,66.7624583898432,44,40
2020-05-17,21,65.983973279157,48,36
2020-05-18,20.5,67.2044905140238,52,26
2020-05-19,19,57.7967295767107,23,32
2020-05-20,20,59.7216145062422,20,34
2020-05-21,21.5,60.4881872092066,27,40
2020-05-22,21,60.4881872092066,46,36
2020-05-23,19,62.8418709655462,53,38
2020-05-24,20.5,68.6127589927181,44,38
2020-05-25,22,66.8527104026465,45,38
2020-05-26,24.5,57.4607819598728,46,41
2020-05-27,24,59.1346377856204,46,40
2020-05-28,21,73.2299383396842,38,29
