date,med_temp,med_hum,pm25,pm10,o3,no2
2020-01-01,13,50.083867020494,NaN,NaN,NaN,NaN
2020-01-02,11.15,57.4914621364815,NaN,NaN,NaN,NaN
2020-01-03,9.5,61.2069692759166,NaN,NaN,NaN,NaN
2020-01-04,15.1,34.6086877747088,NaN,NaN,NaN,NaN
2020-01-05,5.65,62.461240974139,NaN,NaN,NaN,NaN
2020-01-06,12.55,41.5706885587002,NaN,NaN,NaN,NaN
2020-01-07,9.4,51.7814759127681,NaN,60,41,29
2020-01-08,7.95,45.5571072850328,89,63,45,27
2020-01-09,7.35,62.1286662633609,92,56,39,28
2020-01-10,6.5,60.5172249767552,90,51,30,24
2020-01-11,13.5,52.241784596357,76,44,35,24
2020-01-12,9.6,61.1222192661237,72,44,32,20
2020-01-13,5.8,77.9156222111123,76,49,36,23
2020-01-14,14.1,55.9898592203883,75,49,20,22
2020-01-15,18.7,43.8944738964429,78,46,32,20
2020-01-16,10.05,71.0557797430919,71,46,40,16
2020-01-17,7.9,69.9695398355779,72,40,34,19
2020-01-18,12.15,51.6390184096417,64,40,39,22
2020-01-19,10.8,71.4935202324917,73,24,28,11
2020-01-20,9.8,78.8734394929091,60,21,24,16
2020-01-21,5.1,84.0795197972867,53,36,27,24
2020-01-22,8.8,72.1229178850189,77,35,36,21
2020-01-23,9.4,65.5255820103486,73,35,24,20
2020-01-24,8.5,63.2917860250666,71,39,27,18
2020-01-25,9.2,61.8982780215501,71,39,26,17
2020-01-26,7.45,70.7610172435903,69,36,31,15
2020-01-27,11,61.8736105682446,69,36,33,19
2020-01-28,7.7,39.3878141713636,62,39,31,24
2020-01-29,6.8,39.6459540556881,62,47,31,20
2020-01-30,9,35.3370060601583,64,34,27,15
2020-01-31,9.75,50.5213104103885,57,23,26,12
2020-02-01,8.35,68.3583151302623,50,41,23,16
2020-02-02,11.4,66.8601608905691,66,37,19,15
2020-02-03,14.5,55.3358572440048,67,36,25,12
2020-02-04,11.5,61.039444339427,58,30,20,11
2020-02-05,10.75,74.6384134722077,55,17,16,8
2020-02-06,9.9,73.0976916488199,43,21,30,14
2020-02-07,13.3,32.8308972396991,43,38,29,22
2020-02-08,18.4,19.8908005069536,75,46,39,22
2020-02-09,6.85,69.0082608623389,75,36,38,17
2020-02-10,10.55,66.7982168144942,67,46,36,19
