date,med_temp,med_hum,pm25,pm10,no2
2020-01-01,23.3,85.3870430396596,NaN,22,4
2020-01-02,24.3,86.5346033910963,53,31,5
2020-01-03,26.3,77.1298223222967,64,32,8
2020-01-04,22.4,66.5540110658263,58,23,7
2020-01-05,21.6,67.3748637361102,34,21,5
2020-01-06,22.5,67.6737011241196,37,23,6
2020-01-07,23.6,71.8219353402268,41,28,8
2020-01-08,22.5,80.7363011059902,51,24,5
2020-01-09,21.05,90.3827829642291,42,60,5
2020-01-10,25.45,68.4211213916676,93,60,4
2020-01-11,25.25,73.6494113025591,59,36,7
2020-01-12,22.8,66.2055024906968,55,30,6
2020-01-13,23,76.0715952906975,40,38,10
2020-01-14,24.6,82.9401199840105,55,43,11
2020-01-15,25.6,84.8048096345896,72,37,6
2020-01-16,25.1,89.0318654684434,70,20,2
2020-01-17,24.8,80.7833295203429,39,23,4
2020-01-18,24.05,88.1248660339527,38,27,8
2020-01-19,24.7,87.0294308984448,47,6,4
2020-01-20,23,80.9481498506995,15,6,7
2020-01-21,20.3,73.5220112920438,11,41,5
2020-01-22,19,93.3834294417418,55,25,7
2020-01-23,22.8,75.852721125906,49,32,8
2020-01-24,23.8,81.8548362403022,53,31,7
2020-01-25,23.8,83.3654457075926,68,25,5
2020-01-26,24.8,83.9979794832073,61,20,5
2020-01-27,25.05,84.8397923859762,46,30,3
2020-01-28,24.3,88.6038884306801,64,40,6
2020-01-29,25.4,86.6189196998354,86,42,7
2020-01-30,23.7,70.9105701148649,65,37,7
2020-01-31,23.7,81.8660168615225,47,37,8
2020-02-01,22.8,74.1154632648927,90,14,7
2020-02-02,22,73.2299383396842,37,21,4
2020-02-03,20.95,84.1110407203485,42,23,5
2020-02-04,23.2,79.7783933989682,50,42,10
2020-02-05,24,88.095628336982,71,53,12
2020-02-06,24.5,81.524514786769,86,35,5
2020-02-07,20.1,83.4972993973853,50,20,7
2020-02-08,22.3,90.1737916473026,40,24,6
2020-02-09,24,85.4695622419678,57,35,5
2020-02-10,25,88.6475000902823,74,36,3
2020-02-11,25.55,85.3329201813581,80,73,2
2020-02-12,26,85.6674140265956,95,49,1
2020-02-13,25.45,76.7712098534833,110,10,NaN
2020-02-14,23.05,68.6569974329467,19,35,3
2020-02-15,22.3,65.8653291157976,46,24,1
2020-02-16,23.65,78.1486494077315,41,26,NaN
2020-02-17,24.8,85.8292664792542,57,30,NaN
2020-02-18,26.2,76.965627735036,64,33,NaN
2020-02-19,25.2,84.0628077636807,71,29,NaN
2020-02-20,25.45,86.0981081866729,63,30,NaN
2020-02-21,22,75.966576050345,65,47,NaN
2020-02-22,21.45,73.6990957110732,12,13,NaN
2020-02-23,22.8,74.4423134475141,29,18,NaN
2020-02-24,23.15,84.5422894481796,50,33,NaN
2020-02-25,24.95,81.5464228467419,63,39,NaN
2020-02-26,24.4,80.7652091453209,82,31,1
2020-02-27,19.2,56.2366378159551,54,36,1
2020-02-28,20.3,66.977374550694,39,28,1
2020-02-29,20.8,78.9776476122584,39,24,2
2020-03-01,22.65,76.5713713824916,53,19,NaN
2020-03-02,25.75,74.5554032094241,43,32,NaN
2020-03-03,24.6,87.3738167185451,62,52,NaN
2020-03-04,26.85,78.0392832392326,117,43,NaN
2020-03-05,27,59.2497715662219,95,29,1
2020-03-06,22.8,62.9694246661548,39,25,1
2020-03-07,22.85,66.9050304505455,37,28,1
2020-03-08,22.7,80.5143363336264,51,20,NaN
2020-03-09,22.7,81.6168286946601,46,22,NaN
