x___Date,City,Infections,Daily,Humidity,Temperature,pm25
2020-02-25,Milan,8,8,79.3,11.8,119
2020-02-26,Milan,8,0,40,9.2,89
2020-02-27,Milan,15,7,42,7,30
2020-02-28,Milan,29,14,24.9,9.7,42
2020-02-29,Milan,30,1,47.5,7.9,70
2020-03-04,Milan,145,52,68.5,8.3,72
2020-03-05,Milan,197,52,77.5,6.8,65
2020-03-06,Milan,267,70,84.5,5.4,74
2020-03-07,Milan,361,94,65.2,9.8,80
2020-03-08,Milan,406,45,52,9.5,57
2020-03-09,Milan,506,100,67.5,8.6,76
2020-03-10,Milan,592,86,61,8.6,72
2020-03-11,Milan,925,333,64.4,13,50
2020-03-12,Milan,1146,221,78.4,12.3,70
2020-03-13,Milan,1307,161,77.2,14.4,38
2020-03-14,Milan,1551,244,81,10.5,72
2020-03-15,Milan,1750,199,75.1,8.7,65
2020-03-16,Milan,1983,233,60.5,10.1,70
2020-03-17,Milan,2326,343,64.8,10,97
2020-03-18,Milan,2644,318,55.2,14.8,107
2020-03-19,Milan,3278,634,57.9,14.5,89
2020-03-20,Milan,3804,526,61.8,13.8,102
2020-03-21,Milan,4672,868,63.1,13.3,70
2020-03-22,Milan,5096,424,63,11.5,68
2020-03-23,Milan,5326,230,50,5.8,42
2020-03-24,Milan,5701,375,39.6,7.1,57
2020-03-25,Milan,6074,373,56,5.4,55
2020-03-26,Milan,6922,848,55,5.5,55
2020-03-27,Milan,7469,547,58,10.5,70
2020-03-28,Milan,7783,314,57.6,13.6,76
2020-03-29,Milan,8329,546,55.8,14.5,74
2020-03-30,Milan,8676,347,74.1,12,57
2020-03-31,Milan,8911,235,68,6,34
2020-04-01,Milan,9522,611,50.1,6.7,61
2020-04-02,Milan,10004,482,49,9.2,85
2020-04-03,Milan,10391,387,49.5,10.7,102
2020-04-04,Milan,10819,428,51.5,13.1,102
2020-04-05,Milan,11230,411,44,14.3,78
2020-04-06,Milan,11538,308,44.1,15.6,74
2020-04-07,Milan,11797,259,37,15.5,80
2020-04-08,Milan,12039,242,42,14,72
