Date,Daily,Humidity,Temperature,pm25,pm10,no2,o3,retail,grocery,parks,transit,work,home
2/24/20,0,,,104,49,30.7,28.9,-18,27,28,-32,-22,9
2/25/20,8,79.3,11.8,119,55,35.2,20.8,-22,3,8,-37,-23,11
2/26/20,0,40,9.2,89,39,26.6,32.1,-23,-7,-5,-40,-23,11
2/27/20,7,42,7,30,11,31.6,27.7,-19,-7,7,-39,-23,10
2/28/20,14,24.9,9.7,42,13,39.8,35.4,-16,-6,32,-37,-24,10
2/29/20,1,47.5,7.9,70,28,33,20.8,-24,-5,-12,-34,-20,8
3/1/20,16,90.7,6.5,,,,,-33,-9,-38,-40,-14,7
3/2/20,12,92,5,,,,,-26,-18,-53,-44,-20,11
3/3/20,35,,,68,20,32.5,15.9,-13,-1,16,-35,-19,9
3/4/20,52,68.5,8.3,72,24,41.2,30.1,-14,-1,46,-34,-19,8
3/5/20,52,77.5,6.8,65,22,31.6,24.8,-22,-6,-31,-42,-21,11
3/6/20,70,84.5,5.4,74,27,32,22.4,-20,-2,1,-40,-22,11
3/7/20,94,65.2,9.8,80,29,36.2,34.2,-25,-1,54,-31,-19,7
3/8/20,45,52,9.5,57,18,37.1,35.8,-48,-1,16,-42,-19,8
3/9/20,100,67.5,8.6,76,28,34.8,32.1,-42,-9,-35,-57,-31,16
3/10/20,86,61,8.6,72,31,39.4,30.1,-50,-8,-25,-61,-38,20
3/11/20,333,64.4,13,50,23,34.8,34.6,-57,-13,-23,-65,-43,22
3/12/20,221,78.4,12.3,70,29,30.7,21.2,-74,-26,-62,-74,-52,28
3/13/20,161,77.2,14.4,38,14,23.4,33.8,-78,-27,-57,-76,-58,31
3/14/20,244,81,10.5,72,26,15.1,26.9,-86,-46,-80,-80,-63,26
3/15/20,199,75.1,8.7,65,20,23.4,33.3,-91,-58,-78,-83,-57,22
3/16/20,233,60.5,10.1,70,24,26.1,35,-78,-35,-62,-79,-63,30
3/17/20,343,64.8,10,97,39,33.4,37.8,-80,-39,-59,-80,-65,32
3/18/20,318,55.2,14.8,107,44,36.6,44.3,-82,-42,-67,-81,-66,33
3/19/20,634,57.9,14.5,89,41,39.4,46.8,-82,-43,-72,-82,-67,34
3/20/20,526,61.8,13.8,102,44,29.8,38.2,-82,-40,-76,-82,-68,36
3/21/20,868,63.1,13.3,70,30,23.8,44.7,-88,-55,-84,-83,-67,27
3/22/20,424,63,11.5,68,25,8.3,32.5,-95,-80,-92,-89,-65,24
3/23/20,230,50,5.8,42,17,16.5,29.7,-84,-47,-82,-86,-74,35
3/24/20,375,39.6,7.1,57,22,25.2,34.2,-84,-48,-78,-85,-74,36
3/25/20,373,56,5.4,55,20,17.4,32.9,-86,-50,-82,-86,-75,37
3/26/20,848,55,5.5,55,20,18.8,28.1,-86,-51,-83,-86,-77,39
3/27/20,547,58,10.5,70,30,20.6,32.1,-86,-47,-82,-86,-77,40
3/28/20,314,57.6,13.6,76,66,25.2,38.2,-89,-59,-85,-85,-70,28
3/29/20,546,55.8,14.5,74,63,20.6,42.7,-95,-81,-91,-89,-65,24
3/30/20,347,74.1,12,57,25,17.4,37.8,-85,-48,-82,-85,-75,36
3/31/20,235,68,6,34,10,12.8,30.5,-92,-42,-78,-84,-76,37
4/1/20,611,50.1,6.7,61,20,22.4,35,-92,-40,-78,-84,-75,37
4/2/20,482,49,9.2,85,30,29.3,39,-92,-40,-78,-84,-75,38
4/3/20,387,49.5,10.7,102,38,36.6,47.2,-88,-39,-78,-84,-74,39
4/4/20,428,51.5,13.1,102,42,28.8,51.9,-91,-53,-84,-84,-68,28
4/5/20,411,44,14.3,78,28,17,46.8,-96,-77,-90,-88,-64,24
4/6/20,308,44.1,15.6,74,27,32.5,51.9,-86,-39,-77,-83,-71,34
4/7/20,249,37,15.5,80,35,36.2,54.5,-85,-39,-75,-83,-72,35
4/8/20,252,42,14,72,30,31.6,52.6,-85,-37,-77,-83,-71,35
4/9/20,440,33.5,17.5,70,27,31.1,55.2,-84,-33,-77,-83,-71,35
4/10/20,269,37,18,63,30,32,56.5,-84,-29,-77,-82,-73,38
4/11/20,520,34.3,18.1,59,22,28.4,56.5,-89,-47,-83,-82,-67,27
4/12/20,412,25.4,17.4,38,12,14.2,43.1,-97,-95,-91,-90,-68,25
4/13/20,481,33,16.5,53,17,10.6,49.6,-96,-84,-85,-92,-92,43
4/14/20,189,61.5,14.4,53,20,13.3,41.9,-83,-40,-74,-82,-68,34
4/15/20,325,49.2,11.5,34,17,13.3,41.1,-83,-38,-75,-82,-67,34
4/16/20,277,49.5,14,61,28,24.7,39.8,-82,-38,-75,-82,-67,34
4/17/20,325,37,16.6,38,16,25.2,44.7,-83,-36,-75,-82,-67,36
4/18/20,269,59.9,16.4,38,22,17.4,46.8,-88,-55,-82,-81,-63,27
4/19/20,279,71.9,17,38,20,9.6,41.5,-95,-79,-89,-87,-60,23
4/20/20,287,89.6,14.2,55,18,11.5,27.3,-82,-52,-81,-83,-65,32
4/21/20,408,89.1,11.2,63,21,14.7,24.4,-82,-49,-75,-82,-65,33
4/22/20,480,48.1,16.3,55,19,21.1,46.3,-82,-46,-72,-80,-63,32
