"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"1",2020-02-24,0,NA,NA,134,54,27.9,24.4,-7,33,25,-18,-13,6,2020-02-24,1.85428940187288,1.84822481092753,1.67491227752641,2.02008015948718,21.7132320814868,4.22407195989418,0,0,0
"2",2020-02-25,3,66.1,14,102,48,33.4,22.8,-11,1,24,-23,-15,7,2020-02-25,1.82263657203388,1.81034256764052,1.65111571455452,1.98219745094569,24.7934988506307,5.2436674602544,4.4536289435349,3,91
"3",2020-02-26,5,31.6,9.8,50,25,23.4,28.5,-18,-9,-16,-31,-15,8,2020-02-26,1.78896852474737,1.7845145907965,1.63580840277294,1.94068605313094,28.2429448053753,6.20345487997388,7.4227149058915,5,44
"4",2020-02-27,10,25.5,8,17,9,27.5,27.3,-12,-6,3,-29,-15,7,2020-02-27,1.74730819170993,1.74454677955296,1.6147182189898,1.9113043556519,32.0553285219273,7.48103386788715,14.845429811783,10,91
"5",2020-02-28,0,18.2,9.4,42,19,37.5,28.9,-11,-5,12,-28,-15,7,2020-02-28,1.70459010382558,1.70213739168052,1.55525426869015,1.83537355171864,36.2301943063264,8.58127340193631,0,0,0
"6",2020-02-29,4,34.6,8.8,85,34,30.7,16.3,-13,1,4,-23,-16,5,2020-02-29,1.65837569588877,1.65997844934262,1.52425352215922,1.77921302710634,40.7489880826147,9.93870025229056,5.9381719247132,4,15
"7",2020-03-01,2,84.3,6.1,74,26,18.3,16.3,-26,-5,-39,-38,-8,6,2020-03-01,1.6034789995381,1.60118873436238,1.4818601409802,1.72924870674681,45.5807941121189,11.6085288444506,2.9690859623566,2,7
"8",2020-03-02,5,94,4.6,38,20,25.6,14.3,-14,-6,-25,-31,-10,6,2020-03-02,1.54869163442483,1.54257155137393,1.42773620071998,1.6778540270426,50.6823019052363,13.2881106761748,7.4227149058915,5,18
"9",2020-03-03,4,83,6.8,21,10,26.6,13.9,-12,-6,-20,-31,-13,7,2020-03-03,1.48809700221085,1.4860779017373,1.36921103219827,1.60401068053632,55.9661138086119,15.279218376643,5.9381719247132,4,2
"10",2020-03-04,8,72,5.9,30,18,24.3,21.2,-13,-4,-6,-30,-13,7,2020-03-04,1.42639344740618,1.42528197711843,1.30128145039461,1.52546420287027,61.3302664998764,17.5027957164513,11.8763438494264,8,31
"11",2020-03-05,4,69.3,6.6,57,20,26.1,17.5,-16,-5,-13,-32,-14,8,2020-03-05,1.36908112541082,1.36302085740661,1.25606756788517,1.46612074491743,66.6547548864455,20.0916572248854,5.9381719247132,4,10
"12",2020-03-06,28,83.7,7.2,57,17,27.5,23.6,-17,-1,-9,-34,-15,8,2020-03-06,1.31298152884129,1.30755989995448,1.20124625469463,1.40066290044295,71.764492364779,22.8341286120289,41.5672034729924,28,41
"13",2020-03-07,9,78.6,7.4,72,24,25.2,23.6,-22,5,-8,-31,-18,8,2020-03-07,1.25493481788447,1.25180850976537,1.14761595308972,1.33805166179626,76.6400282330017,25.9086340196139,13.3608868306047,9,30
"14",2020-03-08,15,53.3,8.3,57,17,25.2,30.9,-37,7,26,-33,-13,7,2020-03-08,1.20228313069768,1.19994763432229,1.10261041296709,1.291721052662,81.1237629997098,29.3049301227358,22.2681447176745,15,65
"15",2020-03-09,19,61.2,7.1,72,24,21.5,21.6,-34,-4,-21,-45,-20,12,2020-03-09,1.15301426666742,1.1484956099773,1.06284319491875,1.24834246899658,85.0937694484355,33.0007229064819,28.2063166423877,19,52
