Date,Daily,Humidity,Temperature,pm25,pm10,no2,o3,retail,grocery,parks,transit,work,home
2/24/20,0,,,134,54,27.9,24.4,-7,33,25,-18,-13,6
2/25/20,3,66.1,14,102,48,33.4,22.8,-11,1,24,-23,-15,7
2/26/20,5,31.6,9.8,50,25,23.4,28.5,-18,-9,-16,-31,-15,8
2/27/20,10,25.5,8,17,9,27.5,27.3,-12,-6,3,-29,-15,7
2/28/20,0,18.2,9.4,42,19,37.5,28.9,-11,-5,12,-28,-15,7
2/29/20,4,34.6,8.8,85,34,30.7,16.3,-13,1,4,-23,-16,5
3/1/20,2,84.3,6.1,74,26,18.3,16.3,-26,-5,-39,-38,-8,6
3/2/20,5,94,4.6,38,20,25.6,14.3,-14,-6,-25,-31,-10,6
3/3/20,4,83,6.8,21,10,26.6,13.9,-12,-6,-20,-31,-13,7
3/4/20,8,72,5.9,30,18,24.3,21.2,-13,-4,-6,-30,-13,7
3/5/20,4,69.3,6.6,57,20,26.1,17.5,-16,-5,-13,-32,-14,8
3/6/20,28,83.7,7.2,57,17,27.5,23.6,-17,-1,-9,-34,-15,8
3/7/20,9,78.6,7.4,72,24,25.2,23.6,-22,5,-8,-31,-18,8
3/8/20,15,53.3,8.3,57,17,25.2,30.9,-37,7,26,-33,-13,7
3/9/20,19,61.2,7.1,72,24,21.5,21.6,-34,-4,-21,-45,-20,12
3/10/20,11,57,10.3,72,25,38.9,21.6,-44,-5,-23,-50,-27,16
3/11/20,36,49.2,11.9,61,26,29.3,28.5,-50,-11,-20,-54,-32,18
3/12/20,27,77.1,11.3,109,43,25.6,30.5,-68,-17,-51,-63,-40,23
3/13/20,61,79,13.1,91,38,23.4,29.3,-73,-18,-61,-68,-46,27
3/14/20,55,80.3,10.8,70,28,9.6,19.1,-84,-37,-78,-76,-57,26
3/15/20,61,53.4,8.3,42,14,10.6,30.5,-90,-56,-72,-80,-53,22
3/16/20,73,41.5,9.5,55,23,25.6,33.8,-73,-31,-60,-70,-50,26
3/17/20,20,43.4,12.2,68,33,33.9,33.8,-76,-36,-62,-72,-55,29
3/18/20,115,47,14.7,74,41,32,38.2,-77,-38,-67,-73,-56,30
3/19/20,88,48.7,14.7,76,32,29.8,39.4,-78,-39,-73,-75,-57,31
3/20/20,104,56,13.3,93,41,20.6,33.3,-79,-33,-77,-76,-58,33
3/21/20,139,56,12.2,61,26,13.3,38.6,-86,-46,-86,-80,-62,28
3/22/20,104,75.7,9.3,55,18,4.6,27.3,-96,-94,-91,-88,-64,24
3/23/20,145,35.1,5,38,14,15.1,28.9,-79,-39,-78,-78,-64,32
3/24/20,199,39,5.6,46,15,18.8,31.7,-80,-43,-79,-77,-66,34
3/25/20,179,49.6,4.1,53,20,11,26.9,-83,-46,-82,-80,-68,35
3/26/20,143,91,1.3,46,14,10.6,24.8,-85,-51,-85,-82,-71,37
3/27/20,96,86.6,5.1,63,30,7.8,17.9,-83,-40,-83,-81,-70,38
3/28/20,150,57.7,10.9,76,68,15.1,34.2,-88,-50,-86,-82,-66,29
3/29/20,172,55.6,12.7,61,55,5.5,36.2,-96,-94,-88,-88,-65,24
