,Aruba,Afghanistan,Angola,Albania,Andorra,United Arab Emirates,Argentina,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,Democratic Republic of Congo,Congo,Colombia,Cape Verde,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Greece,Greenland,Guatemala,Guam,Guyana,Hong Kong,Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,South Korea,Kuwait,Laos,Lebanon,Liberia,Libya,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Macao,Morocco,Moldova,Madagascar,Mexico,Mali,Myanmar,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Puerto Rico,Portugal,Paraguay,Palestine,Qatar,Kosovo,Romania,Russia,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,South Sudan,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Seychelles,Syria,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Trinidad and Tobago,Tunisia,Turkey,Taiwan,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela,Vietnam,Vanuatu,Yemen,South Africa,Zambia,Zimbabwe,,Note: Data from 15 Jul 2020. Individual countries may be several days older.,Source: Oxford COVID-19 Government Response Tracker. More at: github.com/OxCGRT/covid-policy-tracker or bsg.ox.ac.uk/covidtracker
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,0,3.849999905,0,3.849999905,0,0,6.409999847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,0,3.849999905,0,3.849999905,0,0,6.409999847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18000031,0,0,0,0,0,0,0,0,10.26000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,0,3.849999905,0,3.849999905,0,0,6.409999847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18000031,0,0,0,0,0,0,0,0,10.26000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,0,3.849999905,0,3.849999905,0,0,6.409999847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18000031,0,0,0,0,0,0,0,0,10.26000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,0,3.849999905,0,3.849999905,0,0,12.18000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18000031,0,0,0,0,0,0,0,0,10.26000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53999996,0,3.849999905,0,3.849999905,0,0,12.18000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18000031,0,0,0,0,0,0,0,0,10.26000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53999996,0,3.849999905,0,3.849999905,0,0,12.18000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,1.919999957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18000031,0,0,0,0,0,0,0,0,10.26000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53999996,0,3.849999905,0,3.849999905,0,0,12.18000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,1.919999957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18000031,0,0,0,0,0,0,0,0,10.26000023,0,0,0,0,0,0,0,0,0,4.489999771,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53999996,0,3.849999905,0,3.849999905,0,0,12.18000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,1.919999957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18000031,0,0,0,0,0,0,0,0,10.26000023,0,0,0,0,0,0,0,0,0,4.489999771,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53999996,0,3.849999905,0,3.849999905,0,0,12.18000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,1.919999957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619999886,0,0,0,0,0,0,7.690000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18000031,0,0,0,0,0,0,0,0,10.26000023,0,0,0,0,0,0,0,0,0,4.489999771,0,0,0,0,3.849999905,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.
