"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"1",2020-02-24,0,NA,NA,109,51,21.1,22.4,-7,33,25,-18,-13,6,2020-02-24,1.51289954804513,1.51229318950294,1.3854433597759,1.63370283903222,42.1255509288994,9.75376287821657,0,0,0
"2",2020-02-25,4,77.8,12.4,132,56,22.9,22.8,-11,1,24,-23,-15,7,2020-02-25,1.46202186943894,1.46110429619244,1.35305670191434,1.59253170155973,46.2415570645527,11.9845893516558,7.34937171169636,4,122
"3",2020-02-26,4,47.4,9.4,68,30,17.9,27.3,-18,-9,-16,-31,-15,8,2020-02-26,1.40827000486746,1.40626885797051,1.30491681664496,1.52422581629971,50.4144637392889,14.0146025866006,7.34937171169636,4,35
"4",2020-02-27,2,43.9,8.4,17,10,17,30.1,-12,-6,3,-29,-15,7,2020-02-27,1.36007566281791,1.35778508167033,1.24917877498074,1.45447001541433,54.5615699192383,16.6980019757007,3.67468585584818,2,18
"5",2020-02-28,17,28.7,9.4,34,15,33.9,28.5,-11,-5,12,-28,-15,7,2020-02-28,1.312474311481,1.31317995989085,1.21979911456682,1.4143681591914,58.6010927780909,18.8391710066899,31.2348297747095,17,86
"6",2020-02-29,8,51,8.9,72,30,21.1,13.9,-13,1,4,-23,-16,5,2020-02-29,1.26637632129654,1.26482464035871,1.1713440440327,1.35994411555476,62.4672995024013,21.4172332905296,14.6987434233927,8,30
"7",2020-03-01,24,92,6.6,72,27,17.4,13.9,-26,-5,-39,-38,-8,6,2020-03-01,1.21983861041507,1.21784849856988,1.1307331740861,1.31283081036411,66.1021298583531,24.515108083741,44.0962302701781,24,86
"8",2020-03-02,2,92.8,7.5,70,29,18.3,8.6,-14,-6,-25,-31,-10,6,2020-03-02,1.1774136183949,1.17736488220633,1.09791602772322,1.26813947348734,69.43733945644,27.3647230078622,3.67468585584818,2,7
"9",2020-03-03,23,89.4,7.7,38,14,21.5,14.3,-12,-6,-20,-31,-13,7,2020-03-03,1.13598986516979,1.13841196030084,1.05251959836178,1.22365898304807,72.3989030034112,30.599932432068,42.258887342254,23,11
"10",2020-03-04,31,78.7,7.2,46,18,20.2,19.9,-13,-4,-6,-30,-13,7,2020-03-04,1.09770152372415,1.10026777426946,1.01127539621842,1.17604897641503,74.936203986878,33.9610210806738,56.9576307656468,31,122
"11",2020-03-05,35,82.9,7.2,59,23,18.3,13,-16,-5,-13,-32,-14,8,2020-03-05,1.06415816786912,1.06290473472387,0.970716316051782,1.1358336016802,77.0120357289402,37.6839736483172,64.3070024773431,35,87
