Date,Daily,Humidity,Temperature,pm25,pm10,no2,o3,retail,grocery,parks,transit,work,home
2/24/20,0,,,109,51,21.1,22.4,-7,33,25,-18,-13,6
2/25/20,4,77.8,12.4,132,56,22.9,22.8,-11,1,24,-23,-15,7
2/26/20,4,47.4,9.4,68,30,17.9,27.3,-18,-9,-16,-31,-15,8
2/27/20,2,43.9,8.4,17,10,17,30.1,-12,-6,3,-29,-15,7
2/28/20,17,28.7,9.4,34,15,33.9,28.5,-11,-5,12,-28,-15,7
2/29/20,8,51,8.9,72,30,21.1,13.9,-13,1,4,-23,-16,5
3/1/20,24,92,6.6,72,27,17.4,13.9,-26,-5,-39,-38,-8,6
3/2/20,2,92.8,7.5,70,29,18.3,8.6,-14,-6,-25,-31,-10,6
3/3/20,23,89.4,7.7,38,14,21.5,14.3,-12,-6,-20,-31,-13,7
3/4/20,31,78.7,7.2,46,18,20.2,19.9,-13,-4,-6,-30,-13,7
3/5/20,35,82.9,7.2,59,23,18.3,13,-16,-5,-13,-32,-14,8
3/6/20,31,88.1,6.3,59,21,20.6,20.8,-17,-1,-9,-34,-15,8
3/7/20,48,76.3,8.7,70,27,17.4,23.6,-22,5,-8,-31,-18,8
3/8/20,47,63,8.9,46,16,23.8,29.3,-37,7,26,-33,-13,7
3/9/20,3,71.5,7.6,57,21,17.4,23.2,-34,-4,-21,-45,-20,12
3/10/20,46,67,9.4,46,18,34.8,22.4,-44,-5,-23,-50,-27,16
3/11/20,53,59.9,11.1,55,22,22.9,26.4,-50,-11,-20,-54,-32,18
3/12/20,52,84.2,12.2,102,47,22,29.3,-68,-17,-51,-63,-40,23
3/13/20,88,81.4,13.3,82,36,16.5,26.4,-73,-18,-61,-68,-46,27
3/14/20,52,71.9,11.1,63,24,6,19.1,-84,-37,-78,-76,-57,26
3/15/20,92,66.8,8.5,42,15,8.7,29.7,-90,-56,-72,-80,-53,22
3/16/20,45,53.3,9.4,59,18,29.3,32.1,-73,-31,-60,-70,-50,26
3/17/20,93,55,11.3,72,26,22.9,33.3,-76,-36,-62,-72,-55,29
3/18/20,0,46.5,16.9,89,36,31.6,39.4,-77,-38,-67,-73,-56,30
3/19/20,69,41.6,20,80,35,26.1,39,-78,-39,-73,-75,-57,31
3/20/20,110,56.4,17.5,89,40,16.5,28.5,-79,-33,-77,-76,-58,33
3/21/20,35,47.4,17.8,72,30,8.3,34.2,-86,-46,-86,-80,-62,28
3/22/20,195,65.5,13.3,53,16,3.7,26.9,-96,-94,-91,-88,-64,24
3/23/20,155,22,8,34,10,15.1,30.9,-79,-39,-78,-78,-64,32
3/24/20,71,26.7,9.4,42,10,15.1,31.3,-80,-43,-79,-77,-66,34
3/25/20,90,47.7,7.2,50,20,7.8,28.5,-83,-46,-82,-80,-68,35
3/26/20,86,89.2,3.8,46,18,9.2,24.8,-85,-51,-85,-82,-71,37
3/27/20,79,85.2,9.3,65,42,13.3,17.5,-83,-40,-83,-81,-70,38
3/28/20,62,67.6,11.2,82,73,15.6,32.9,-88,-50,-86,-82,-66,29
3/29/20,57,66,13.6,63,60,8.3,36.2,-96,-94,-88,-88,-65,24
3/30/20,50,68,12.3,55,46,11.5,30.5,-81,-42,-77,-78,-67,33
3/31/20,74,42.8,7,25,9,11.5,30.5,-90,-37,-77,-76,-69,35
4/1/20,72,26.8,10.6,57,20,18.3,33.8,-90,-35,-75,-76,-68,35
4/2/20,44,17.5,13.8,63,21,21.1,35.4,-90,-35,-75,-76,-68,35
4/3/20,34,23.5,16.1,74,27,20.6,42.3,-85,-29,-78,-78,-67,36
4/4/20,118,36.2,16.2,72,30,11,45.5,-90,-42,-85,-81,-64,28
4/5/20,74,47,12.3,61,21,10.6,40.3,-96,-93,-88,-87,-63,24
4/6/20,42,47,14,68,27,19.7,45.5,-82,-32,-74,-76,-63,31
4/7/20,48,44.5,13.7,72,28,17.9,41.5,-81,-33,-73,-75,-64,33
4/8/20,30,32.5,14,55,20,18.8,37.8,-81,-31,-74,-75,-64,33
4/9/20,26,36,15.2,57,20,21.5,42.7,-81,-28,-74,-75,-64,33
4/10/20,52,40.7,13.4,59,21,19.2,49.2,-80,-20,-77,-76,-65,35
4/11/20,39,10,25,57,20,9.2,52.6,-87,-38,-84,-79,-63,27
4/12/20,19,10,23.9,38,12,3.7,43.9,-96,-95,-89,-89,-66,24
4/13/20,42,,,55,17,4.6,47.2,-96,-96,-84,-90,-91,43
4/14/20,9,42.8,18.3,46,19,9.6,43.9,-80,-33,-74,-74,-61,31
4/15/20,34,34.3,15,38,16,8.7,36.2,-80,-31,-73,-73,-60,31
4/16/20,82,41.7,16.4,46,20,15.1,38.6,-78,-33,-73,-74,-59,32
4/17/20,27,33.6,19.8,50,21,17.9,43.1,-78,-29,-75,-75,-59,33
4/18/20,43,47,19.3,57,22,9.6,42.3,-85,-43,-83,-78,-58,27
4/19/20,45,71,16.1,57,24,5.1,40.3,-94,-84,-87,-86,-57,23
4/20/20,74,89.5,13,42,16,3.7,22.4,-78,-46,-79,-77,-57,29
4/21/20,22,72.5,11.6,42,20,9.6,21.2,-78,-41,-76,-74,-58,31
4/22/20,64,55.2,13.8,53,20,14.7,38.6,-77,-39,-72,-73,-56,30
4/23/20,26,52.2,14.8,61,22,13.8,43.5,-77,-37,-70,-72,-57,30
4/24/20,12,48,17.3,57,20,12.4,46.3,-75,-23,-71,-72,-57,31
4/25/20,23,45,18,42,13,7.8,43.5,-95,-94,-84,-85,-75,30
4/26/20,39,52,19.3,42,13,7.8,40.7,-91,-57,-83,-83,-51,22
4/27/20,39,57.5,18.6,34,13,11,32.9,-71,-31,-66,-69,-52,26
4/28/20,10,69.5,16.2,21,11,12.8,30.5,-75,-36,-70,-71,-54,27
4/29/20,22,70.5,16.1,21,9,9.2,29.7,-74,-33,-67,-70,-53,28
4/30/20,13,73.5,17,25,10,9.6,30.5,-71,-21,-67,-69,-53,27
5/1/20,20,63.2,18.7,17,9,5.5,30.1,-94,-94,-79,-87,-88,45
5/2/20,22,57.2,21.3,21,9,5.1,34.2,-79,-32,-76,-73,-53,25
5/3/20,5,54,20,30,10,3.7,35.8,-90,-66,-80,-81,-46,22
5/4/20,23,53.5,17.5,30,12,9.6,42.7,-57,-25,-13,-53,-40,18
5/5/20,3,56,18.3,25,12,10.6,32.9,-60,-26,-19,-54,-42,20
5/6/20,14,74,15.9,34,17,9.2,33.3,-61,-26,-31,-56,-42,21
5/7/20,16,33.7,25.1,38,16,11,45.5,-59,-27,-13,-54,-41,20
5/8/20,6,45.5,23.7,42,16,12.8,50.6,-60,-20,-24,-57,-41,21
5/9/20,19,43.7,20.5,25,12,10.1,49.6,-63,-25,-25,-53,-41,16
5/10/20,13,56.7,20.4,42,16,5.5,43.9,-73,-53,-22,-58,-28,13
5/11/20,17,64,18.3,17,9,6,35.4,-56,-28,-34,-57,-37,18
5/12/20,2,71.5,17.2,21,10,8.3,30.9,-55,-23,-13,-53,-38,19
5/13/20,0,75,15,34,18,8.7,22,-57,-24,-23,-54,-38,19
5/14/20,29,69.5,19.3,57,30,11.5,32.5,-56,-24,-21,-54,-38,18
5/15/20,7,67.7,18.7,21,13,7.8,33.3,-56,-19,-22,-55,-38,19
