"","Date","NPI","Daily","Humidity","Temperature","pm25","pm10","no2","o3","npi","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"1",2020-02-23,58.65000153,0,81,13,78,30,17,13,60,2020-02-23,1.91718883907032,1.90354468868941,1.68003773162856,2.16270149537268,15.2126697033538,0,0,0,0
"2",2020-02-24,58.65000153,3,81,12.5,57,25,13.3,15.1,60,2020-02-24,1.90334254620377,1.89522865125543,1.66095486216754,2.10800188262126,16.3709068513777,0,0,0,0
"3",2020-02-25,58.65000153,0,78,12.6,38,17,14.2,21.2,60,2020-02-25,1.88118776625044,1.8766230647442,1.64949699278005,2.07523553396695,18.7215714996955,2.37162194880838,0,0,0
"4",2020-02-26,61.22000122,0,74.2,12,34,15,8.7,25.2,60,2020-02-26,1.85650303466235,1.85961475636224,1.64215220720143,2.04313982084232,21.5937197577369,3.69522392361405,0,0,0
"5",2020-02-27,61.22000122,0,67.5,8.3,25,13,13.8,15.9,60,2020-02-27,1.82855606218772,1.82633422262603,1.63146097868744,2.01504844647632,24.6662207485976,4.62383614703404,0,0,0
"6",2020-02-28,61.22000122,3,38.1,13.1,30,17,13.3,20.4,60,2020-02-28,1.79551767449242,1.78959356330278,1.56521824734437,1.9271833686266,28.0460973439377,5.63499376002495,0,0,0
"7",2020-02-29,61.22000122,0,57.7,10,46,19,16,20.8,60,2020-02-29,1.76011214308257,1.75492294829811,1.5908072604567,1.91885878076765,31.8182357533922,6.97361731577965,3.06508945778885,3,68
"8",2020-03-01,61.22000122,1,78.3,13.3,42,22,2.8,29.3,60,2020-03-01,1.7193981216217,1.71052451489765,1.55438706586623,1.86933111308659,35.9774446010902,8.22476434865877,0,0,0
"9",2020-03-02,61.22000122,7,85,13.1,NA,NA,NA,NA,60,2020-03-02,1.67382914138851,1.66933987535613,1.52899957946649,1.83396972170513,40.5046674889939,9.89282446467034,1.02169648592962,1,49
"10",2020-03-03,61.22000122,15,NA,NA,30,23,8.7,22.4,60,2020-03-03,1.63020636621197,1.62777162476211,1.48223761929429,1.7654174958313,45.376347460222,11.3113630212384,7.15187540150733,7,104
"11",2020-03-04,64.41999817,13,62.9,12.5,34,13,11.5,15.9,60,2020-03-04,1.58298337364935,1.57791749335435,1.44287537351138,1.71087734167447,50.5479796790155,13.0585617149458,15.3254472889443,15,111
"12",2020-03-05,64.41999817,7,71.9,12,30,11,11.5,17.5,60,2020-03-05,1.52921460079384,1.52139978860409,1.41396192511084,1.6764393657714,55.9784155816082,15.2027515947544,13.282054317085,13,167
"13",2020-03-06,64.41999817,22,77.6,12.7,30,22,7.8,26.4,60,2020-03-06,1.47666129627912,1.47206876888898,1.35611170485962,1.59905532266416,61.6111112817118,17.3306482555092,7.15187540150733,7,139
"14",2020-03-07,64.41999817,6,71,11.1,34,15,12.4,18.3,60,2020-03-07,1.42659556756118,1.42342578384013,1.30051535156202,1.53587099620347,67.3378060519718,19.8364675396617,22.4773226904516,22,209
"15",2020-03-08,64.41999817,14,48.5,10.7,30,10,6.9,22.8,60,2020-03-08,1.37760324521213,1.37363251854485,1.26595217414003,1.49047423996529,73.0479487981561,22.6035841808288,6.13017891557771,6,189
"16",2020-03-09,64.41999817,0,63.5,10.3,38,15,15.1,18.7,60,2020-03-09,1.33223885432288,1.32921450759099,1.22973783651438,1.4431180036776,78.6588178289975,25.7983216834796,0,0,0
"17",2020-03-10,69.87000275,23,68.6,11,53,20,16.5,17.1,70,2020-03-10,1.28689253892687,1.28440731264561,1.18440372240098,1.38503400418761,84.0338154112458,29.1233019567674,0,0,0
"18",2020-03-11,71.79000092,63,79.2,12.7,65,28,14.7,15.1,70,2020-03-11,1.24329533044622,1.24373031688679,1.13705853987187,1.34337465178075,89.20662214218,32.8041298134864,0,0,0
