Var1,Date,NPI,Daily,Humidity,Temperature,pm25,pm10,no2,o3,npi,date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,avg_pm25
1,2/23/20,58.65000153,0,81,13,78,30,17,13,60,02/23/0020,1.917188839,1.903544689,1.680037732,2.162701495,15.2126697,0,0,0,0,50.8
2,2/24/20,58.65000153,3,81,12.5,57,25,13.3,15.1,60,02/24/0020,1.903342546,1.895228651,1.660954862,2.108001883,16.37090685,0,0,0,0,49.2
3,2/25/20,58.65000153,0,78,12.6,38,17,14.2,21.2,60,02/25/0020,1.881187766,1.876623065,1.649496993,2.075235534,18.7215715,2.371621949,0,0,0,42.8
4,2/26/20,61.22000122,0,74.2,12,34,15,8.7,25.2,60,02/26/0020,1.856503035,1.859614756,1.642152207,2.043139821,21.59371976,3.695223924,0,0,0,53.6
5,2/27/20,61.22000122,0,67.5,8.3,25,13,13.8,15.9,60,02/27/0020,1.828556062,1.826334223,1.631460979,2.015048446,24.66622075,4.623836147,0,0,0,59.8
6,2/28/20,61.22000122,3,38.1,13.1,30,17,13.3,20.4,60,02/28/0020,1.795517674,1.789593563,1.565218247,1.927183369,28.04609734,5.63499376,0,0,0,66.2
7,2/29/20,61.22000122,0,57.7,10,46,19,16,20.8,60,02/29/0020,1.760112143,1.754922948,1.59080726,1.918858781,31.81823575,6.973617316,3.065089458,3,68,
8,3/1/20,61.22000122,1,78.3,13.3,42,22,2.8,29.3,60,03/01/0020,1.719398122,1.710524515,1.554387066,1.869331113,35.9774446,8.224764349,0,0,0,55
9,3/2/20,61.22000122,7,85,13.1,NA,NA,NA,NA,60,03/02/0020,1.673829141,1.669339875,1.528999579,1.833969722,40.50466749,9.892824465,1.021696486,1,49,53.8
10,3/3/20,61.22000122,15,NA,NA,30,23,8.7,22.4,60,03/03/0020,1.630206366,1.627771625,1.482237619,1.765417496,45.37634746,11.31136302,7.151875402,7,104,53.8
11,3/4/20,64.41999817,13,62.9,12.5,34,13,11.5,15.9,60,03/04/0020,1.582983374,1.577917493,1.442875374,1.710877342,50.54797968,13.05856171,15.32544729,15,111,50
12,3/5/20,64.41999817,7,71.9,12,30,11,11.5,17.5,60,03/05/0020,1.529214601,1.521399789,1.413961925,1.676439366,55.97841558,15.20275159,13.28205432,13,167,40.5
13,3/6/20,64.41999817,22,77.6,12.7,30,22,7.8,26.4,60,03/06/0020,1.476661296,1.472068769,1.356111705,1.599055323,61.61111128,17.33064826,7.151875402,7,139,42.25
14,3/7/20,64.41999817,6,71,11.1,34,15,12.4,18.3,60,03/07/0020,1.426595568,1.423425784,1.300515352,1.535870996,67.33780605,19.83646754,22.47732269,22,209,31.25
15,3/8/20,64.41999817,14,48.5,10.7,30,10,6.9,22.8,60,03/08/0020,1.377603245,1.373632519,1.265952174,1.49047424,73.0479488,22.60358418,6.130178916,6,189,42
16,3/9/20,64.41999817,0,63.5,10.3,38,15,15.1,18.7,60,03/09/0020,1.332238854,1.329214508,1.229737837,1.443118004,78.65881783,25.79832168,0,0,0,47.5
17,3/10/20,69.87000275,23,68.6,11,53,20,16.5,17.1,70,03/10/0020,1.286892539,1.284407313,1.184403722,1.385034004,84.03381541,29.12330196,0,0,0,50.5
18,3/11/20,71.79000092,63,79.2,12.7,65,28,14.7,15.1,70,03/11/0020,1.24329533,1.243730317,1.13705854,1.343374652,89.20662214,32.80412981,0,0,0,45.25
19,3/12/20,71.79000092,56,83.5,13.4,53,20,11.5,19.5,70,03/12/0020,1.202177229,1.197639216,1.114635761,1.316711945,94.00813249,36.8151611,64.36687861,63,2521,38.25
20,3/13/20,71.79000092,70,86.3,13.3,59,26,12.8,13.5,70,03/13/0020,1.164444181,1.157675901,1.065024089,1.253278307,98.35571469,41.11672225,57.21500321,56,654,44.75
21,3/14/20,71.79000092,66,87.4,13.7,57,21,8.3,17.5,70,03/14/0020,1.129664432,1.131107948,1.050800686,1.231941337,102.1993163,45.6633114,71.51875402,70,739,46.25
22,3/15/20,71.79000092,58,71.3,13,42,15,6,22.4,70,03/15/0020,1.096788467,1.093032853,1.009829253,1.17998235,105.5019667,50.46011118,67.43196807,66,844,56.25
23,3/16/20,71.79000092,74,62.1,12.2,57,20,10.6,19.9,70,03/16/0020,1.06481954,1.061199061,0.981960593,1.141567742,108.2443317,55.39705902,59.25839618,58,657,57.4
24,3/17/20,77.55999756,104,72.4,12.5,68,28,12.4,16.7,80,03/17/0020,1.037476034,1.033556729,0.952527942,1.111528791,110.407844,60.42974968,75.60553996,74,93,57.4
25,3/18/20,77.55999756,88,64.6,14.9,78,33,12.4,16.7,80,03/18/0020,1.013040095,1.013098395,0.928646281,1.086483196,111.9673868,65.52056451,106.2564345,104,1519,47.2
26,3/19/20,77.55999756,77,69,13.8,78,31,12.8,19.1,80,03/19/0020,0.993064215,0.995168283,0.911370422,1.062672782,112.9385115,70.6181378,0,0,0,53.2
27,3/20/20,82.05000305,138,71.5,13.4,72,27,12.8,19.1,80,03/20/0020,0.971700612,0.969786039,0.908335738,1.058118608,113.3721834,75.61400286,78.67062942,77,1142,62
28,3/21/20,82.05000305,156,68.6,14.2,82,31,10.1,19.5,80,03/21/0020,0.95593355,0.951667419,0.871195511,1.025455265,113.3333048,80.46063645,0,0,0,57.6
29,3/22/20,82.05000305,122,69.2,13.1,82,31,7.8,24,80,03/22/0020,0.94002354,0.937644939,0.863314808,1.011982055,112.8470378,85.06664554,159.3846518,156,3198,59.4
30,3/23/20,82.05000305,116,37,10,46,17,2.8,28.5,80,03/23/0020,0.925973794,0.922901659,0.851763596,1.000884203,111.9586177,89.40974052,124.6469713,122,409,60.6
31,3/24/20,82.05000305,141,49.5,5.2,34,11,3.2,26,80,03/24/0020,0.912321425,0.909720551,0.833450034,0.980292104,110.7257426,93.40905479,0,0,0,56.6
32,3/25/20,82.05000305,139,58.6,8.3,25,8,5.5,24.8,80,03/25/0020,0.901591557,0.898233168,0.828232424,0.975692167,109.1844474,97.0327769,144.0592045,141,1873,54
33,3/26/20,82.05000305,136,87,9.4,17,6,10.6,13.5,80,03/26/0020,0.891687207,0.888213373,0.814877841,0.957374757,107.3661492,100.2263556,142.0158115,139,1498,46.8
34,3/27/20,83.97000122,136,78.2,12.1,17,6,11.5,13.9,80,03/27/0020,0.882835688,0.883053997,0.806486341,0.948569909,105.3196327,102.9842493,138.9507221,136,912,50.6
35,3/28/20,83.97000122,106,79.2,12.2,46,26,9.6,14.7,80,03/28/0020,0.873374586,0.874372269,0.800387808,0.941881661,103.0938517,105.2778394,138.9507221,136,1990,45
36,3/29/20,83.97000122,123,78.5,13.6,65,55,6.4,19.5,80,03/29/0020,0.866626485,0.866622106,0.789699916,0.931038928,100.7202944,107.1148733,108.2998275,106,298,46
37,3/30/20,83.97000122,118,82.9,12.8,63,50,9.2,19.5,80,03/30/0020,0.857914784,0.859348887,0.778937322,0.916789481,98.21366892,108.4908931,125.6686678,123,3017,51.8
38,3/31/20,83.97000122,74,70.9,10,42,15,5.5,18.7,80,03/31/0020,0.850788202,0.85121462,0.784446001,0.922712214,95.60395389,109.4291299,120.5601853,118,1194,53.2
39,4/1/20,83.97000122,133,45.3,8,34,12,4.6,30.9,80,04/01/0020,0.84286344,0.844035576,0.775543294,0.909218034,92.90879065,109.9414018,75.60553996,74,496,53.8
40,4/2/20,83.97000122,110,57.3,9.7,50,16,9.6,26.4,80,04/02/0020,0.835460691,0.835054451,0.774163553,0.909045791,90.13828476,110.059535,111.0416537,133,4537,54.8
41,4/3/20,83.97000122,117,69.4,10.9,61,20,10.6,25.6,80,04/03/0020,0.830853346,0.829974115,0.753126812,0.883112895,87.3049612,109.7893254,112.3866135,110,1450,56.4
42,4/4/20,83.97000122,94,42.6,13.5,55,17,6.9,30.5,80,04/04/0020,0.825527605,0.823599561,0.747326898,0.877889365,84.42188183,109.1808829,119.5384889,117,632,52
43,4/5/20,83.97000122,55,39.3,15.7,55,19,5.1,32.5,80,04/05/0020,0.820546805,0.81872025,0.756723772,0.887042334,81.52685216,108.2608107,0,0,0,41.6
44,4/6/20,83.97000122,61,46.6,15.1,65,23,10.1,29.7,80,04/06/0020,0.816585012,0.815919865,0.746089572,0.872323979,78.64418036,107.0620749,56.19330673,55,1024,48.8
45,4/7/20,83.97000122,80,60,15.3,72,29,10.1,26.4,80,04/07/0020,0.811114835,0.811472876,0.752600751,0.881001958,75.77858651,105.6030161,62.32348564,61,726,49.4
46,4/8/20,83.97000122,116,65.1,15.1,78,31,9.6,29.7,80,04/08/0020,0.808078318,0.806009392,0.743752134,0.867693477,72.94360954,103.9240015,71.03496899,80,4266,50.2
47,4/9/20,83.97000122,88,74.7,15.6,74,29,8.7,28.9,80,04/09/0020,0.804610103,0.802657962,0.732174533,0.854937157,70.14311329,102.045947,118.5167924,116,2131,47.6
48,4/10/20,81.41000366,105,68,15.7,70,29,10.6,25.6,80,04/10/0020,0.802089034,0.800019022,0.737407523,0.864297554,67.38647446,99.99421538,89.90929076,88,2093,48.4
49,4/11/20,81.41000366,96,60.6,16.5,70,27,9.6,26,80,04/11/0020,0.798914928,0.795662258,0.725883595,0.851096556,64.68819619,97.79494071,107.278131,105,2604,48.6
50,4/12/20,85.26000214,116,66.9,16.4,63,25,5.5,28.1,90,04/12/0020,0.795872564,0.793398922,0.730580339,0.860879664,62.05697845,95.46548173,98.08286265,96,2922,49.2
51,4/13/20,85.26000214,129,70.9,16.6,59,20,3.7,30.5,90,04/13/0020,0.793995327,0.790578025,0.728501248,0.849152194,59.49523221,93.03361679,118.5167924,116,3576,50.2
52,4/14/20,85.26000214,105,79.3,14.2,53,18,9.6,21.6,90,04/14/0020,0.791988504,0.789035343,0.721712195,0.848546439,57.00034631,90.51813513,131.7988467,129,1718,57
53,4/15/20,85.26000214,102,59,13.1,25,11,5.5,27.7,90,04/15/0020,0.788356616,0.785253261,0.713706546,0.839174671,54.57855073,87.94245974,107.278131,105,810,55.4
54,4/16/20,85.26000214,121,64.8,14.5,42,15,8.3,22,90,04/16/0020,0.78672818,0.786049353,0.724344335,0.851928011,52.23498453,85.31429467,87.47336464,102,4417,55.8
55,4/17/20,85.26000214,130,74.5,15.5,38,18,6.9,22,90,04/17/0020,0.782992825,0.781079712,0.71952644,0.846005711,49.96066371,82.65789127,123.6252748,121,2321,51.4
56,4/18/20,85.26000214,64,84.1,15.5,30,16,5.1,23.2,90,04/18/0020,0.779019497,0.776703211,0.714061122,0.832248184,47.75537597,79.98801728,113.673168,130,4332,51
57,4/19/20,85.26000214,51,80.2,17.5,46,23,3.7,22.4,90,04/19/0020,0.774545256,0.77244755,0.699534411,0.820600326,45.61791129,77.31306191,0,0,0,48.6
58,4/20/20,85.26000214,56,93,16.6,38,15,8.3,14.3,90,04/20/0020,0.771423252,0.769753763,0.711522585,0.826354703,43.53918154,74.65221959,52.10652078,51,310,48.8
59,4/21/20,85.26000214,68,82.4,16.1,25,13,7.8,12.2,90,04/21/0020,0.767645827,0.76570296,0.703912117,0.82427781,41.51494581,72.01105071,57.21500321,56,685,50.6
60,4/22/20,85.26000214,56,93,14.4,25,9,7.4,9,90,04/22/0020,0.76543901,0.764172368,0.704474268,0.828720374,39.54972753,69.39891382,69.47536104,68,1018,55.2
61,4/23/20,85.26000214,48,84.1,15.4,25,10,7.4,15.9,90,04/23/0020,0.763050409,0.763209454,0.693390072,0.814163986,37.64746578,66.82241911,57.21500321,56,747,53.2
62,4/24/20,85.26000214,73,78.9,16.4,50,15,7.4,21.6,90,04/24/0020,0.762017769,0.761128321,0.694620019,0.818335577,35.81245077,64.29390658,4.904143132,48,37075,50.6
63,4/25/20,85.26000214,67,81.5,16,46,15,4.2,23.6,90,04/25/0020,0.759782052,0.761824159,0.704551021,0.830821201,34.04809021,61.80355406,74.58384347,73,3203,50.4
64,4/26/20,85.26000214,68,72.3,16.1,25,9,3.2,22.8,90,04/26/0020,0.758167139,0.755539719,0.697459515,0.819248067,32.35740413,59.37054789,68.45366456,67,2545,48.8
65,4/27/20,85.26000214,73,76.2,17.2,34,12,6.4,21.2,90,04/27/0020,0.757435931,0.754915772,0.686726703,0.815740646,30.73931787,56.98956817,69.47536104,68,1563,41
66,4/28/20,85.26000214,52,79.7,17,38,18,6,22,90,04/28/0020,0.756843736,0.756400217,0.682771695,0.815942584,29.19061407,54.66141717,74.58384347,73,3162,36.6
67,4/29/20,85.26000214,62,79,16,21,15,4.2,25.6,90,04/29/0020,0.758719085,0.75785444,0.688089543,0.818048413,27.71177927,52.3879207,53.12821727,52,2978,39.6
68,4/30/20,85.26000214,51,69.5,16.9,25,12,6,22,90,04/30/0020,0.759661806,0.759932693,0.689492309,0.817134271,26.30359969,50.17058465,63.34518213,62,3547,37
69,5/1/20,85.26000214,56,70.4,18.4,21,12,1.9,29.7,90,05/01/0020,0.7615566,0.761167331,0.685088712,0.816355496,24.97084086,48.0109278,47.23347819,51,4090,38.8
70,5/2/20,85.26000214,48,70.4,18.8,25,17,3.7,24.4,90,05/02/0020,0.763173035,0.759231743,0.701385242,0.829140777,23.71408591,45.910727,57.21500321,56,1849,35.2
71,5/3/20,85.26000214,37,56,19.5,30,12,2.8,20.8,90,05/03/0020,0.767528516,0.767414061,0.701272818,0.822950769,22.52962436,43.87179194,49.04143132,48,2749,36
72,5/4/20,64.09999847,57,49,19.5,25,11,7.4,28.5,60,05/04/0020,0.772085922,0.771123347,0.708323406,0.83085096,21.41397292,41.89565635,37.80276998,37,2239,35.2
73,5/5/20,64.09999847,75,55.5,19.5,30,15,10.1,24,60,05/05/0020,0.776632676,0.774867872,0.71628398,0.839682026,20.36803073,39.98358755,58.2366997,57,2081,35.6
74,5/6/20,64.09999847,37,66,19.6,34,16,7.4,23.2,60,05/06/0020,0.779527115,0.778000785,0.718528599,0.845478746,19.39268359,38.1367098,76.62723644,75,3107,38.4
75,5/7/20,64.09999847,47,51.5,18.8,34,13,6.4,30.1,60,05/07/0020,0.786198079,0.78528485,0.729118571,0.851527833,18.48366595,36.35633265,33.16464025,37,4226,40.4
76,5/8/20,64.09999847,38,61,18.4,38,15,8.7,26.4,60,05/08/0020,0.792175038,0.791454112,0.722580435,0.85073994,17.63312076,34.64382107,48.01973484,47,3003,43.8
77,5/9/20,64.09999847,27,56.3,20.1,42,15,7.4,29.7,60,05/09/0020,0.79965219,0.799709281,0.742044724,0.864992928,16.84035025,33.0002277,38.82446647,38,3035,42.2
78,5/10/20,64.09999847,21,46.1,20.5,38,14,4.2,32.5,60,05/10/0020,0.80770956,0.807104767,0.748138459,0.869953016,16.10612925,31.42610571,27.58580512,27,3210,47
79,5/11/20,64.09999847,16,62.3,19.5,34,14,6,28.1,60,05/11/0020,0.816538128,0.813857328,0.745971564,0.869628923,15.42851617,29.92184077,21.4556262,21,2299,49.8
80,5/12/20,64.09999847,25,60,20.5,25,19,4.2,25.2,60,05/12/0020,0.827879343,0.825864258,0.759929912,0.889456913,14.80546236,28.48773843,16.34714377,16,2211,48.2
81,5/13/20,64.09999847,17,63.2,21.4,57,28,7.8,24.8,60,05/13/0020,0.838500847,0.837441805,0.774957167,0.908574787,14.23506848,27.12379753,25.54241215,25,2031,38.4
82,5/14/20,64.09999847,63,58,23.1,63,47,11.5,23.2,60,05/14/0020,0.850438993,0.848854649,0.7801395,0.917145733,13.717626,25.82929597,17.36884026,17,1574,31
83,5/15/20,64.09999847,26,53,21.5,34,21,4.6,28.1,60,05/15/0020,0.86177833,0.862639114,0.788152691,0.926195628,13.25132572,24.60310433,64.36687861,63,3440,33.6
84,5/16/20,66.66999817,39,53.5,22.5,55,24,6.9,22,70,05/16/0020,0.871943365,0.869544009,0.798831212,0.936262298,12.83295318,23.44398812,26.56410863,26,2864,32
85,5/17/20,66.66999817,30,54.5,24.8,59,39,3.2,30.1,70,05/17/0020,0.882648715,0.881835865,0.807554052,0.94797843,12.45889124,22.35067446,39.84616295,39,2632,36
86,5/18/20,64.73999786,8,59.7,24.4,57,34,10.6,17.5,60,05/18/0020,0.895316056,0.895408154,0.823845993,0.975207209,12.12378721,21.32180997,30.65089458,30,2369,40.2
87,5/19/20,64.73999786,20,65.2,22,34,20,4.2,29.7,60,05/19/0020,0.905494552,0.905359834,0.823830207,0.973879112,11.82415889,20.35594113,8.173571887,8,1398,41.8
88,5/20/20,64.73999786,15,74.2,19.5,30,13,6,22,60,05/20/0020,0.91741688,0.917450059,0.843403702,0.995439492,11.56034896,19.45167658,20.43392972,20,1821,40
89,5/21/20,64.73999786,25,41.3,22,34,15,5.5,31.3,60,05/21/0020,0.92698472,0.925298387,0.852643103,1.007623861,11.32983698,18.60767995,15.32544729,15,2308,29.4
90,5/22/20,64.73999786,15,45.6,21.2,42,16,8.3,30.1,60,05/22/0020,0.937061962,0.936280546,0.856244209,1.017086274,11.12995673,17.8225006,25.54241215,25,3643,39.6
91,5/23/20,64.73999786,16,52.4,23.1,38,16,7.8,27.3,60,05/23/0020,0.945535631,0.945044107,0.857146372,1.023774837,10.95768567,17.09444547,15.32544729,15,2516,40.2
92,5/24/20,64.73999786,11,58,21.7,34,17,5.1,25.6,60,05/24/0020,0.953763949,0.95250789,0.855870995,1.022975088,10.81005016,16.42149461,16.34714377,16,2167,40.4
93,5/25/20,64.73999786,15,53.7,22.8,38,15,6.4,27.7,60,05/25/0020,0.960818305,0.957272548,0.868153348,1.030531648,10.68450556,15.8013394,11.23866135,11,1415,41.8
94,5/26/20,64.73999786,9,39.5,22.2,25,13,9.2,27.7,60,05/26/0020,0.964677517,0.960069654,0.887163888,1.050810862,10.57851137,15.23167059,15.32544729,15,2116,37
95,5/27/20,64.73999786,14,39.1,20.2,21,10,5.5,30.1,60,05/27/0020,0.968806805,0.965212069,0.886510145,1.051344322,10.48940079,14.71016407,9.195268373,9,1972,38.4
96,5/28/20,64.73999786,13,52.4,20.6,34,12,7.8,29.3,60,05/28/0020,0.970874272,0.967286887,0.887954091,1.045783248,10.41240882,14.23447079,14.3037508,14,2137,43.4
97,5/29/20,64.73999786,5,70.8,16.2,30,12,12.8,18.7,60,05/29/0020,0.973581872,0.970004097,0.897262987,1.049446025,10.34412411,13.80218803,13.28205432,13,2336,46.8
98,5/30/20,64.73999786,11,73.1,17,25,10,8.7,21.6,60,05/30/0020,0.973605288,0.970598279,0.901465028,1.053785556,10.28221356,13.41082866,5.10848243,5,2625,47.8
99,5/31/20,64.73999786,6,62,19.2,30,10,6,22.4,60,05/31/0020,0.977597973,0.978131267,0.897937412,1.055480529,10.22518617,13.05786389,11.23866135,11,1695,42.4
100,6/1/20,64.73999786,5,60.1,21,34,13,8.3,26,60,06/01/0020,0.982263897,0.980916087,0.903902441,1.058929904,10.17093066,12.74076017,6.130178916,6,1108,48.2
101,6/2/20,60.90000153,10,60,21.3,30,12,5.1,27.3,60,06/02/0020,0.985871676,0.984276133,0.8987712,1.048084911,10.12109625,12.45693343,5.10848243,5,1811,47.6
102,6/3/20,55.13000107,11,65.8,21.5,25,11,6.9,25.2,60,06/03/0020,0.987925055,0.983354872,0.911822831,1.065303975,10.07999267,12.20363691,10.21696486,10,1777,43.4
103,6/4/20,55.13000107,9,62,22,34,13,5.1,32.5,60,06/04/0020,0.993717666,0.994753709,0.896703617,1.050681746,10.04785354,11.97799738,11.23866135,11,2382,44
104,6/5/20,55.13000107,18,70,20.9,25,15,6.9,27.3,60,06/05/0020,0.999503286,0.999958233,0.915756687,1.067420265,10.02174872,11.77708745,9.195268373,9,2692,46.4
105,6/6/20,55.13000107,17,65,21.4,25,16,6.4,21.2,60,06/06/0020,1.004730983,1.003996636,0.933192396,1.086980303,10.00326036,11.59804805,18.39053675,18,1684,48.8
106,6/7/20,55.13000107,16,71.3,21.6,25,14,3.7,22,60,06/07/0020,1.012246623,1.011315964,0.915257392,1.075243761,9.995629299,11.43810555,17.36884026,17,3476,50.2
107,6/8/20,55.13000107,19,69.1,22.5,25,15,5.1,25.6,60,06/08/0020,1.018111482,1.019565081,0.940902196,1.10180503,9.999046914,11.29483675,16.34714377,16,1351,49.6
108,6/9/20,55.13000107,11,65.3,21,25,16,3.7,25.2,60,06/09/0020,1.023964578,1.025410448,0.92819483,1.096114275,10.01465476,11.1664421,19.41223323,19,2451,49.6
109,6/10/20,55.13000107,16,67.3,20.1,21,15,4.6,28.5,60,06/10/0020,1.031270287,1.02939384,0.952671185,1.121464656,10.04313098,11.05162121,11.23866135,11,2190,44.6
110,6/11/20,58.97000122,24,81.6,17.4,25,12,11,17.1,60,06/11/0020,1.038618693,1.036873422,0.952592971,1.117634039,10.08362178,10.94923064,16.34714377,16,2916,49.8
111,6/12/20,58.97000122,25,60,21.7,25,12,10.1,19.1,60,06/12/0020,1.046227581,1.047046809,0.950024528,1.126485739,10.13705078,10.85837169,24.52071566,24,3504,51
112,6/13/20,58.97000122,14,72.3,20.6,34,14,11,18.3,60,06/13/0020,1.054937847,1.054718228,0.963064111,1.138534299,10.20498105,10.77856421,25.54241215,25,2688,48.6
113,6/14/20,58.97000122,3,69,21.4,21,17,3.7,23.6,60,06/14/0020,1.058176776,1.055517654,0.95825639,1.134760181,10.28833865,10.70963577,14.3037508,14,2457,53.2
114,6/15/20,62.81999969,9,68.2,21.6,25,16,6.4,21.2,60,06/15/0020,1.063631482,1.060872035,0.979588442,1.147600814,10.38822549,10.65166373,3.065089458,3,1560,46
115,6/16/20,62.81999969,10,68.6,22,25,12,5.5,22.4,60,06/16/0020,1.069378885,1.066119193,0.97930776,1.147364222,10.50079335,10.60486254,9.195268373,9,2155,44.4
116,6/17/20,62.81999969,8,71.5,21.6,34,19,8.3,19.5,60,06/17/0020,1.072814416,1.072171467,0.993858589,1.152756671,10.62354773,10.56945431,10.21696486,10,2786,51
117,6/18/20,62.81999969,8,68.4,21.3,25,17,6.9,23.6,60,06/18/0020,1.074153429,1.070625848,0.986548356,1.146534554,10.7580625,10.54573413,8.173571887,8,2602,44.6
118,6/19/20,62.81999969,12,67.2,21.5,30,15,8.3,17.9,60,06/19/0020,1.076521072,1.072037379,0.991368611,1.147378113,10.90320694,10.53411784,8.173571887,8,2535,47.2
119,6/20/20,62.81999969,9,66.8,21.6,30,15,7.8,22.4,60,06/20/0020,1.075433092,1.068219639,0.990060701,1.148067832,11.05489922,10.53508963,12.26035783,12,2349,45.4
