Date,Daily,Humidity,Temperature,pm25,pm10,no2,o3,retail,grocery,parks,transit,work,home
2/24/20,0,81,12.5,57,25,13.3,15.1,2,18,17,-3,-3,1
2/25/20,3,78,12.6,38,17,14.2,21.2,1,7,12,-7,-3,1
2/26/20,0,74.2,12,34,15,8.7,25.2,-8,-3,-7,-10,0,2
2/27/20,0,67.5,8.3,25,13,13.8,15.9,-4,0,0,-9,1,1
2/28/20,0,38.1,13.1,30,17,13.3,20.4,-3,0,5,-7,1,1
2/29/20,3,57.7,10,46,19,16,20.8,-2,0,13,-6,1,0
3/1/20,0,78.3,13.3,42,22,2.8,29.3,-17,-6,-40,-22,-3,3
3/2/20,1,85,13.1,,,,,-12,-7,-29,-13,1,2
3/3/20,7,,,30,23,8.7,22.4,-7,-1,-24,-14,0,2
3/4/20,15,62.9,12.5,34,13,11.5,15.9,-5,4,-8,-11,1,1
3/5/20,13,71.9,12,30,11,11.5,17.5,-10,6,-7,-22,-15,6
3/6/20,7,77.6,12.7,30,22,7.8,26.4,-16,2,-15,-26,-16,8
3/7/20,22,71,11.1,34,15,12.4,18.3,-18,4,-3,-23,-8,5
3/8/20,6,48.5,10.7,30,10,6.9,22.8,-23,4,11,-30,-8,4
3/9/20,14,63.5,10.3,38,15,15.1,18.7,-28,2,-24,-39,-25,11
3/10/20,0,68.6,11,53,20,16.5,17.1,-44,-2,-37,-52,-36,17
3/11/20,23,79.2,12.7,65,28,14.7,15.1,-53,-15,-38,-60,-44,21
3/12/20,63,83.5,13.4,53,20,11.5,19.5,-72,-25,-63,-70,-55,28
3/13/20,56,86.3,13.3,59,26,12.8,13.5,-77,-32,-69,-75,-60,31
3/14/20,70,87.4,13.7,57,21,8.3,17.5,-84,-43,-79,-77,-56,24
3/15/20,66,71.3,13,42,15,6,22.4,-90,-55,-82,-82,-55,22
3/16/20,58,62.1,12.2,57,20,10.6,19.9,-76,-39,-74,-79,-64,30
3/17/20,74,72.4,12.5,68,28,12.4,16.7,-79,-43,-77,-80,-67,32
3/18/20,104,64.6,14.9,78,33,12.4,16.7,-80,-46,-77,-81,-68,32
3/19/20,88,69,13.8,78,31,12.8,19.1,-80,-46,-79,-82,-69,33
3/20/20,77,71.5,13.4,72,27,12.8,19.1,-81,-45,-81,-81,-68,34
3/21/20,138,68.6,14.2,82,31,10.1,19.5,-86,-53,-86,-81,-61,26
3/22/20,156,69.2,13.1,82,31,7.8,24,-94,-76,-91,-87,-62,24
3/23/20,122,37,10,46,17,2.8,28.5,-80,-47,-84,-83,-71,33
3/24/20,116,49.5,5.2,34,11,3.2,26,-82,-49,-84,-84,-72,34
3/25/20,141,58.6,8.3,25,8,5.5,24.8,-83,-50,-84,-84,-73,35
3/26/20,139,87,9.4,17,6,10.6,13.5,-85,-55,-87,-86,-74,37
3/27/20,136,78.2,12.1,17,6,11.5,13.9,-83,-49,-85,-84,-72,37
3/28/20,136,79.2,12.2,46,26,9.6,14.7,-86,-53,-87,-82,-62,27
3/29/20,106,78.5,13.6,65,55,6.4,19.5,-94,-76,-90,-88,-62,24
3/30/20,123,82.9,12.8,63,50,9.2,19.5,-80,-47,-82,-83,-71,33
3/31/20,118,70.9,10,42,15,5.5,18.7,-90,-43,-82,-82,-72,34
4/1/20,74,45.3,8,34,12,4.6,30.9,-90,-43,-81,-82,-71,34
4/2/20,133,57.3,9.7,50,16,9.6,26.4,-90,-42,-81,-82,-72,35
4/3/20,110,69.4,10.9,61,20,10.6,25.6,-85,-40,-81,-82,-70,35
4/4/20,117,42.6,13.5,55,17,6.9,30.5,-88,-47,-84,-80,-60,26
4/5/20,94,39.3,15.7,55,19,5.1,32.5,-94,-71,-89,-87,-61,24
4/6/20,55,46.6,15.1,65,23,10.1,29.7,-82,-40,-80,-81,-69,32
4/7/20,61,60,15.3,72,29,10.1,26.4,-81,-39,-80,-81,-70,33
4/8/20,80,65.1,15.1,78,31,9.6,29.7,-81,-37,-80,-81,-69,33
4/9/20,116,74.7,15.6,74,29,8.7,28.9,-80,-33,-81,-81,-70,33
4/10/20,88,68,15.7,70,29,10.6,25.6,-80,-30,-80,-80,-70,34
4/11/20,105,60.6,16.5,70,27,9.6,26,-85,-41,-83,-78,-59,25
4/12/20,96,66.9,16.4,63,25,5.5,28.1,-96,-95,-91,-89,-67,25
4/13/20,116,70.9,16.6,59,20,3.7,30.5,-96,-94,-88,-92,-91,41
4/14/20,129,79.3,14.2,53,18,9.6,21.6,-82,-45,-84,-82,-69,33
4/15/20,105,59,13.1,25,11,5.5,27.7,-80,-39,-79,-79,-68,32
4/16/20,102,64.8,14.5,42,15,8.3,22,-79,-38,-79,-80,-68,33
4/17/20,121,74.5,15.5,38,18,6.9,22,-80,-37,-79,-80,-67,34
4/18/20,130,84.1,15.5,30,16,5.1,23.2,-84,-45,-83,-78,-55,25
4/19/20,64,80.2,17.5,46,23,3.7,22.4,-93,-74,-88,-86,-57,23
4/20/20,51,93,16.6,38,15,8.3,14.3,-80,-49,-84,-82,-67,32
4/21/20,56,82.4,16.1,25,13,7.8,12.2,-79,-43,-81,-80,-67,32
4/22/20,68,93,14.4,25,9,7.4,9,-82,-47,-83,-82,-67,33
4/23/20,56,84.1,15.4,25,10,7.4,15.9,-79,-39,-79,-79,-66,32
4/24/20,48,78.9,16.4,50,15,7.4,21.6,-76,-28,-76,-77,-65,32
4/25/20,73,81.5,16,46,15,4.2,23.6,-94,-92,-83,-84,-73,28
4/26/20,67,72.3,16.1,25,9,3.2,22.8,-89,-57,-84,-81,-51,22
4/27/20,68,76.2,17.2,34,12,6.4,21.2,-72,-32,-75,-76,-63,29
4/28/20,73,79.7,17,38,18,6,22,-76,-37,-78,-78,-64,29
4/29/20,52,79,16,21,15,4.2,25.6,-76,-34,-76,-77,-63,30
4/30/20,62,69.5,16.9,25,12,6,22,-72,-22,-74,-75,-62,29
5/1/20,51,70.4,18.4,21,12,1.9,29.7,-94,-92,-82,-89,-88,42
5/2/20,56,70.4,18.8,25,17,3.7,24.4,-77,-34,-77,-72,-49,23
5/3/20,48,56,19.5,30,12,2.8,20.8,-89,-63,-81,-80,-46,21
5/4/20,37,49,19.5,25,11,7.4,28.5,-60,-25,-45,-64,-53,21
5/5/20,57,55.5,19.5,30,15,10.1,24,-61,-26,-46,-65,-54,23
5/6/20,75,66,19.6,34,16,7.4,23.2,-62,-26,-43,-65,-53,23
5/7/20,37,51.5,18.8,34,13,6.4,30.1,-61,-26,-42,-65,-53,23
5/8/20,47,61,18.4,38,15,8.7,26.4,-62,-23,-40,-65,-52,24
5/9/20,38,56.3,20.1,42,15,7.4,29.7,-64,-25,-34,-57,-36,15
5/10/20,27,46.1,20.5,38,14,4.2,32.5,-73,-49,-46,-66,-29,13
5/11/20,21,62.3,19.5,34,14,6,28.1,-57,-28,-42,-63,-50,21
5/12/20,16,60,20.5,25,19,4.2,25.2,-57,-23,-40,-63,-50,22
5/13/20,25,63.2,21.4,57,28,7.8,24.8,-60,-26,-48,-64,-50,22
5/14/20,17,58,23.1,63,47,11.5,23.2,-58,-24,-43,-64,-49,21
5/15/20,63,53,21.5,34,21,4.6,28.1,-59,-20,-36,-63,-48,22
5/16/20,26,53.5,22.5,55,24,6.9,22,-61,-23,-36,-57,-30,14
5/17/20,39,54.5,24.8,59,39,3.2,30.1,-69,-43,-37,-63,-23,13
5/18/20,30,59.7,24.4,57,34,10.6,17.5,-39,-19,-29,-55,-43,17
5/19/20,8,65.2,22,34,20,4.2,29.7,-39,-16,-25,-55,-44,17
5/20/20,20,74.2,19.5,30,13,6,22,-44,-19,-42,-58,-44,18
5/21/20,15,41.3,22,34,15,5.5,31.3,-39,-14,-20,-54,-43,17
5/22/20,25,45.6,21.2,42,16,8.3,30.1,-40,-12,-15,-54,-42,17
5/23/20,15,52.4,23.1,38,16,7.8,27.3,-37,-13,5,-42,-18,7
5/24/20,16,58,21.7,34,17,5.1,25.6,-42,-28,-8,-51,-9,6
5/25/20,11,53.7,22.8,38,15,6.4,27.7,-34,-17,-21,-53,-41,15
5/26/20,15,39.5,22.2,25,13,9.2,27.7,-34,-14,-21,-53,-41,15
5/27/20,9,39.1,20.2,21,10,5.5,30.1,-34,-12,-20,-52,-40,15
5/28/20,14,52.4,20.6,34,12,7.8,29.3,-34,-12,-19,-51,-40,15
5/29/20,13,70.8,16.2,30,12,12.8,18.7,-46,-18,-49,-58,-41,17
5/30/20,5,73.1,17,25,10,8.7,21.6,-35,-8,-16,-41,-12,7
5/31/20,11,62,19.2,30,10,6,22.4,-36,-22,-1,-47,1,5
6/1/20,6,60.1,21,34,13,8.3,26,-17,3,8,-48,-44,12
6/2/20,5,60,21.3,30,12,5.1,27.3,-33,-39,54,-61,-73,17
6/3/20,10,65.8,21.5,25,11,6.9,25.2,-30,-7,-15,-44,-37,11
6/4/20,11,62,22,34,13,5.1,32.5,-32,-9,-26,-46,-39,13
6/5/20,9,70,20.9,25,15,6.9,27.3,-34,-11,-28,-49,-39,14
6/6/20,18,65,21.4,25,16,6.4,21.2,-25,-11,22,-32,-10,2
6/7/20,17,71.3,21.6,25,14,3.7,22,-30,-21,1,-41,0,1
6/8/20,16,69.1,22.5,25,15,5.1,25.6,-26,-14,-19,-47,-37,12
6/9/20,19,65.3,21,25,16,3.7,25.2,-22,-10,-6,-44,-36,11
6/10/20,11,67.3,20.1,21,15,4.6,28.5,-26,-11,-27,-47,-37,12
6/11/20,16,81.6,17.4,25,12,11,17.1,-30,-14,-34,-49,-38,13
6/12/20,24,60,21.7,25,12,10.1,19.1,-23,-8,8,-41,-35,9
6/13/20,25,72.3,20.6,34,14,11,18.3,-26,-12,-1,-36,-6,2
6/14/20,14,69,21.4,21,17,3.7,23.6,-26,-18,7,-38,7,0
6/15/20,3,68.2,21.6,25,16,6.4,21.2,-20,-12,-1,-43,-34,9
6/16/20,9,68.6,22,25,12,5.5,22.4,-18,-9,-2,-42,-34,10
6/17/20,10,71.5,21.6,34,19,8.3,19.5,-20,-10,-4,-42,-34,10
6/18/20,8,68.4,21.3,25,17,6.9,23.6,-18,-10,5,-41,-34,9
6/19/20,8,67.2,21.5,30,15,8.3,17.9,-22,-9,5,-40,-34,8
6/20/20,12,66.8,21.6,30,15,7.8,22.4,-20,-12,32,-29,-3,-1
6/21/20,9,63.8,20.5,25,10,5.1,26.9,-27,-20,1,-37,7,-2
6/22/20,8,44.2,25.7,25,9,7.8,24.8,-16,-10,4,-40,-35,7
6/23/20,6,39.3,27.1,34,12,9.2,28.5,-15,-9,8,-39,-35,8
6/24/20,0,45.8,24.9,38,16,11,32.1,-16,-9,6,-40,-33,7
6/25/20,7,52.1,27,42,19,12.4,28.5,-17,-9,8,-38,-33,7
6/26/20,13,50.1,26.2,42,16,13.3,27.7,-20,-8,11,-37,-33,5
6/27/20,16,43,26.7,42,18,11,27.7,-22,-13,24,-29,-7,-4
6/28/20,14,46.8,28.4,46,19,7.8,25.2,-27,-20,6,-39,12,-4
6/29/20,8,62.1,26.4,42,17,7.4,22.8,-18,-21,26,-52,-54,5
6/30/20,4,58.5,27.9,38,17,6.4,21.2,-14,-8,3,-39,-33,5
7/1/20,8,60.1,28.4,42,20,7.8,19.5,-14,-8,5,-38,-32,6
7/2/20,6,58.8,28.6,46,22,6.9,18.7,-15,-9,6,-38,-33,6
7/3/20,10,71.1,27.4,46,19,6.4,20.4,-18,-11,12,-37,-32,5
7/4/20,29,68.2,25.6,34,19,7.8,22.4,-20,-12,12,-32,-6,-1
7/5/20,11,41.3,27.5,25,12,5.5,26,-22,-19,9,-34,9,-6
7/6/20,15,45.8,26.9,34,15,8.7,34.6,-13,-11,10,-37,-34,5
7/7/20,6,51.3,28.3,42,20,11,28.1,-13,-10,11,-38,-34,5
7/8/20,7,56.5,26.9,38,19,6.4,30.5,-14,-11,10,-38,-32,5
7/9/20,30,55.7,28.1,42,20,6.9,29.7,-15,-10,10,-38,-32,5
7/10/20,21,50.1,28.7,50,22,9.2,32.1,-18,-11,14,-39,-32,4
7/11/20,12,58,27,46,17,7.4,26,-22,-17,25,-30,-4,-4
