Date,Daily,Humidity,Temperature,pm25,pm10,co,no2,o3,NPI,Lag,day,sick,Mean_Humidity,Mean_Temp,Mean_PM25,Mean_PM10,Mean_co,Mean_no2,mean_o3
2020-03-27,0,77,20,46,18,2.8,7.8,15.9,58.01,0.0000041100,6,,77,25,49.8,21.2,4.6,13.3,13.7
2020-03-28,1150,77,21.1,53,20,2.8,7.8,15.5,58.01,0.0000535000,7,,86.5,22.8,51.6,22.2,5.14,14.5,12.06
2020-03-29,34,85.3,21,53,18,2.8,6,15.5,58.01,0.0000438000,1,,73,22.7,49.4,21.4,4.42,13.22,12.22
2020-03-30,50,84,20.5,50,17,2.8,7.4,15.5,58.01,0.0000326000,2,,73,23.1,45.4,18.8,4.24,11.92,11.18
2020-03-31,652,82,20.4,53,19,2.8,8.3,11.8,58.01,0.0000318000,3,,78,24.1,49.4,19.8,4.24,12.12,11.92
2020-04-01,533,82,21,50,18,2.8,8.3,14.3,61.86,0.0000241000,4,,74.2,24.1,46.6,20.2,4.24,11.2,13.1
2020-04-02,397,71.6,23,46,20,3.7,9.2,14.7,61.86,0.0000095200,5,,75.3,23,47.8,20.6,4.24,12.2,12.22
2020-04-03,387,71.3,22,53,23,3.7,11.5,18.7,61.86,0.0000117000,6,,68.3,23.8,57.4,23.8,4.6,13.96,14.12
2020-04-04,294,80.5,19,38,20,1.9,6,17.5,61.86,0.0000414000,7,,66.2,24.4,61.2,27.8,4.96,15.58,13.68
2020-04-05,116,82,18.3,42,19,2.8,6,16.7,61.86,0.0000564860,1,,65,26.1,65.4,29.6,5.32,16.66,12.94
2020-04-06,142,74,23,59,28,3.7,11.9,17.1,61.86,0.0000436000,2,,88,24.5,54.4,22.8,4.78,14.64,10.42
2020-04-07,504,87.7,19.7,53,19,2.8,7.8,20.8,61.86,0.0000415000,3,,88.6,23.8,44.2,19.8,4.96,13.58,11.32
2020-04-08,688,87,17.7,21,9,1.9,6.9,15.5,61.86,0.0000122000,4,,95.5,20.5,48,20,4.24,12.74,12.4
2020-04-09,531,81,16.1,34,17,1.9,6.4,17.5,61.86,0.0000181000,5,,96.5,19.5,53,23,4.42,13,14.42
2020-04-10,505,77,17,38,18,1.9,6.4,21.6,61.86,0.0000054200,6,0.0004497540,92.2,19.8,57.8,24.4,4.42,13.38,15
2020-04-11,149,80.6,17.7,38,16,1.9,4.6,19.5,61.86,0.0000236000,7,0.0004912150,86.5,21.1,61.6,25,4.24,14.2,15.16
2020-04-12,221,77.6,17.2,30,11,1.9,3.7,17.9,61.86,0.0000870000,1,0.0004090310,84.7,22.3,63.2,25.8,4.24,14.4,15.3
2020-04-13,66,82,17.4,42,18,2.8,8.3,15.1,61.86,0.0000118000,2,0.0004243840,81.7,22.5,63.4,28,4.78,14.66,17.54
2020-04-14,287,77.7,19.1,55,23,3.7,11.9,11.4,61.86,0.0000686000,3,0.0004256980,88.5,21.1,56.4,24.2,4.42,12.84,17.66
2020-04-15,1060,71.5,20,42,20,3.7,12.4,11.8,61.86,0.0000562000,4,0.0003957310,87.5,23.8,58.8,25.6,4.78,15.12,13.68
2020-04-16,144,82,18,59,26,3.7,13.3,18.3,61.86,0.0000197000,5,0.0004389980,84.2,23.3,55,23,5.14,14.48,14.26
2020-04-17,836,81.3,17,38,17,1.9,7.4,19.5,61.86,0.0000120690,6,0.0004182270,85.4,21,49.8,22.4,4.6,13.48,12.38
2020-04-18,684,82,17,38,14,1.9,5.1,15.1,61.86,0.0000433000,7,0.0004550900,82.7,19.7,49,22.4,4.24,14.38,11.32
2020-04-19,240,80,18.3,30,10,1.9,4.2,14.7,61.86,0.0000287000,1,0.0004871100,82,20.5,57.6,25.6,4.96,15.6,12.38
2020-04-20,147,80.3,18.3,34,14,2.8,7.4,15.1,61.86,0.0000438000,2,0.0004972910,75.7,20.4,66.4,29,6.58,20.1,11.1
2020-04-21,527,79.5,18.1,46,18,2.8,6.4,17.1,61.86,0.0000472000,3,0.0004977010,72,24,66.6,28,5.68,13.94,17.02
2020-04-22,349,82,18,57,22,2.8,9.6,17.9,61.86,0.0001067320,4,0.0004995890,83,22.2,58.2,26,4.96,13.76,14.88
2020-04-23,534,82,18.6,55,21,2.8,8.7,19.5,61.86,0.0000341000,5,0.0004717570,87.2,21.6,56,23.2,4.24,13.3,14.44
2020-04-24,575,82,19.4,61,23,2.8,10.6,15.9,61.86,0.0000391000,6,0.0004720030,84,22.7,62.6,26.6,4.78,15.14,14.1
2020-04-25,1300,75.7,20,65,29,3.7,10.6,17.9,63.78,0.0001157640,7,0.0004777500,83,23,59.8,27.6,4.78,15.42,13.14
2020-04-26,415,68,20,74,32,3.7,9.6,25.6,63.78,0.0001018060,1,0.0005722500,84.7,22.7,58,26.6,4.96,14.94,10.04
2020-04-27,476,82,18.3,50,19,1.9,6.9,20.8,63.78,0.0001239740,2,0.0005881770,78,26.1,50,21,4.6,13.76,8.16
2020-04-28,1410,77,19,42,18,2.8,11,13.5,63.78,0.0000770000,3,0.0006218390,82.5,23.8,51,22,3.7,11.92,13.2
2020-04-29,1240,68,20,59,29,4.6,13.8,13.9,63.78,0.0000334000,4,0.0007140390,92.5,21.3,43.6,18.2,3.7,11.1,11.02
2020-04-30,1510,63,21,85,51,7.3,25.6,13,63.78,0.0000269000,5,0.0007288180,82,21.1,49,19.2,4.06,12.94,12.56
2020-05-01,938,82,20,80,40,5.5,13.8,14.7,63.78,0.0000206000,6,0.0008409690,82,21.1,51.8,20.6,4.42,9.46,14.92
2020-05-02,407,85.5,19,76,37,5.5,9.2,18.7,63.78,0.0000878000,7,0.0008493430,69,23.7,65.8,28.6,5.32,17.68,9.7
2020-05-03,328,76,16.2,25,14,1.9,3.2,19.9,63.78,0.0001683090,1,0.0008266010,73,25,71.5,32.75,5.725,19.7,10.5
2020-05-04,251,80.7,17,38,19,2.8,9.2,15.1,66.35,0.0000894910,2,0.0008338260,73,24.7,78.75,37.5,6.4,22.1,10.7
2020-05-05,1070,56,20,65,37,4.6,16,14.7,66.35,0.0000894910,3,0.0008423650,78,25,47.6,19,3.66,12.72,7.56
2020-05-06,2050,63,18,68,43,5.5,17.9,12.6,66.35,0.0001165850,4,0.0008869460,73,23.8,46.6,19.6,3.84,13.34,7.24
2020-05-07,1090,86,14,21,13,1.9,6.9,14.3,66.35,0.0000427000,5,0.0010266010,83.5,23.3,54,21.8,4.6,12.5,12.54
2020-05-08,1090,82,15,25,11,2.8,8.7,13,66.35,0.0000381000,6,0.0010722500,88,21.1,44,17.2,3.88,12.12,10.92
2020-05-09,1420,77,15.5,34,15,2.8,8.3,11.8,66.35,0.0000748000,7,0.0011145320,82,20.5,57,25,5.14,17.14,8.48
2020-05-10,520,72,17,53,20,3.7,7.8,12.6,66.35,0.0001412150,1,0.0011243840,82,23.8,58,25.8,6.04,16.58,9.32
2020-05-11,464,63,18.8,59,29,4.6,13.3,8.6,66.35,0.0001206900,2,0.0011330050,82,23.8,54.4,24.4,5.5,16.6,7.84
2020-05-12,911,63.2,18.5,78,46,7.3,22,12.6,66.35,0.0001740560,3,0.0011320200,83,23.2,46.2,20.4,4.6,13.02,10.7
2020-05-13,1720,63,20,72,46,5.5,22.4,8.6,66.35,0.0001182270,4,0.0010910510,83,22.7,43.8,17.4,4.24,12.38,11.18
2020-05-14,1470,86,17.7,55,20,3.7,12.8,9.8,66.35,0.0000412000,5,0.0011304600,87.2,21.2,47.6,20.2,4.06,11.92,11
2020-05-15,2120,87,15.5,21,10,2.8,8.7,13,66.35,0.0000211000,6,0.0011271760,81,20.05,45,20,4.24,12.86,9.46
2020-05-16,1440,83.6,16.1,46,17,2.8,9.2,11.4,66.35,0.0001190480,7,0.0012242200,83.6,19.5,49.8,22.2,4.6,14.2,11.1
2020-05-17,502,87,15.8,72,26,5.5,14.7,13,66.35,0.0001502460,1,0.0013090310,83,19.3,45,17.8,4.06,12.64,9.82
2020-05-18,257,87.2,16,74,30,5.5,16.5,15.9,66.35,0.0001633830,2,0.0013233170,83.6,20.2,55.6,22.8,5.14,17.04,5.58
2020-05-19,1450,84,18,59,23,3.7,10.1,14.7,66.35,0.0001247950,3,0.0013238100,80,20.55,42.2,15.8,4.96,13.38,6.62
2020-05-20,1830,84.6,18,59,25,3.7,12.4,13,66.35,0.0001568140,4,0.0013550080,75,16.7,51.6,20.8,4.96,14.58,7.54
2020-05-21,1990,71.1,19.5,59,28,4.6,14.2,9.8,66.35,0.0000525000,5,0.0013369460,76.35,15.55,56.8,23.6,6.4,18.5,5.74
2020-05-22,1520,62.5,22.2,63,35,4.6,14.7,9.8,66.35,0.0000556000,6,0.0014108370,81.5,16.9,64.6,29.8,7.3,21.04,7.6
2020-05-23,1910,81.7,20,34,14,2.8,6,10.6,66.35,0.0001108370,7,0.0014461410,80.5,18.3,63.4,28.6,6.04,18.24,11.84
2020-05-24,640,76,13.3,21,9,1.9,4.6,13.5,68.91,0.0001403940,1,0.0014863710,84,17.7,57.6,25.2,4.78,15.14,10.76
2020-05-25,677,60.4,14.1,25,12,1.9,6,16.7,68.91,0.0002840720,2,0.0014962230,79.35,16.35,57.2,26.2,5.86,15.68,10.12
2020-05-26,1350,62,13.8,38,20,3.7,12.4,15.1,68.91,0.0002479480,3,0.0015137110,81.35,17.5,62.8,25.6,4.96,13.56,11.18
2020-05-27,1710,66.7,13,53,24,2.8,15.6,12.2,68.91,0.0001543510,4,0.0015497540,80.85,16.85,71.2,29.4,5.86,15.86,13.22
2020-05-28,3460,82.7,13,50,21,3.7,14.2,11.4,68.91,0.0001239740,5,0.0015489330,79.25,18.6,60.8,24.2,4.96,15.4,10.44
2020-05-29,3020,85.5,15,74,40,5.5,23.4,7,68.91,0.0000817000,6,0.0017123150,82.5,17.8,57,21.8,4.96,15.5,8.66
2020-05-30,1880,71,16,109,57,12.7,25.2,8.6,68.91,0.0002725780,7,0.0017862070,79.75,18.75,54.2,20.6,5.68,17.48,8.44
2020-05-31,1510,58,17.2,97,50,9.1,20.6,12.2,66.35,0.0001912970,1,0.0018223320,69.1,21.3,59.4,24.4,5.86,17.24,9.46
2020-06-01,995,59.1,17.5,85,46,6.4,22.4,17.5,66.35,0.0002110020,2,0.0019050900,68.35,19.75,57.4,24.6,6.4,17.32,4.98
2020-06-02,3320,89.7,16.2,76,32,5.5,17.9,7.4,66.35,0.0001732350,3,0.0019656810,74,19.35,49.8,21,5.5,16.24,6.64
2020-06-03,2330,89,17,68,27,5.5,14.7,8.6,66.35,0.0001978650,4,0.0021192120,91.35,17.1,41.4,16.4,4.96,14.5,7.6
2020-06-04,2570,89,18,42,16,3.7,11.5,11,66.35,0.0000768000,5,0.0021602630,86.1,15.3,47.8,19.8,5.32,14.94,8.32
2020-06-05,2110,89,18.6,65,26,6.4,16,7.8,66.35,0.0000741000,6,0.0022078820,84.25,15.65,56.8,22.4,7.12,17.94,4.84
2020-06-06,2410,82,19.3,65,30,5.5,14.2,9,66.35,0.0001912970,7,0.0022563220,83.75,16.4,57.4,22.6,7.12,17.42,5.18
2020-06-07,935,82,19.5,34,14,3.7,8.3,10.2,66.35,0.0001995070,1,0.0022973730,84.5,17.4,56.6,23.8,6.94,17.84,5.4
2020-06-08,903,83.2,20,53,21,5.5,14.7,7.4,66.35,0.0002151070,2,0.0023215930,82.6,15.65,68.6,31.2,8.56,19.62,6.46
2020-06-09,2330,82,20.3,63,32,7.3,18.3,7,66.35,0.0002093600,3,0.0023401480,83.75,16,73.6,30.8,7.48,18.96,9.06
2020-06-10,2430,73.7,21.7,55,28,6.4,19.2,6.5,66.35,0.0001970440,4,0.0024206080,83.6,17.6,70.6,31,7.3,21.08,6.54
2020-06-11,2620,64,22.4,57,32,5.5,16.5,12.2,66.35,0.0002602630,5,0.0024797210,79,19.85,75.4,35,7.66,22.72,7.84
2020-06-12,2550,66.8,21.7,80,44,10,27.9,5.7,66.35,0.0001847290,6,0.0024107550,77.25,20.7,68.6,32.2,7.12,21.24,6.12
2020-06-13,2400,69,20.9,82,44,9.1,19.2,9.8,66.35,0.0003472910,7,0.0023721670,85,20.3,69.4,31.8,8.02,21.24,4.62
2020-06-14,3170,92.2,16,17,8,1.9,3.7,16.3,66.35,0.0000374000,1,0.0024148600,77.5,18.75,50.4,23.8,5.32,16.78,8.82
2020-06-15,2250,87,16.6,21,10,2.8,8.7,12.6,66.35,0.0000327000,2,0.0025511490,81,18.15,57.8,23.6,5.86,17.6,7.92
2020-06-16,4230,83.5,17.2,38,17,3.7,10.6,11.4,66.35,0.0005648600,3,0.0026541870,84.75,17.4,64.4,26.6,6.4,18.68,9.54
2020-06-17,456,74.2,18,42,20,2.8,11.9,11.8,66.35,0.0000151000,4,0.0027289000,84.5,17,71.8,32.8,8.38,19.34,7.82
2020-06-18,398,67,18.1,50,23,4.6,15.1,7.8,66.35,0.0000779000,5,0.0025750410,83.5,17.6,73.2,30.4,7.12,18.32,9.86
2020-06-19,6880,64.2,19.3,59,34,6.4,21.1,7.8,66.35,0.0000977000,6,0.0023967160,82,17.4,61,26.6,6.04,17.22,9.88
2020-06-20,184,63.2,20,61,34,6.4,20.2,9.8,66.35,0.0002036130,7,0.0027883420,81.25,19.25,41.4,18.6,4.6,13.12,10.86
2020-06-21,949,64.7,20.5,70,37,10,15.1,7.4,66.35,0.0002504110,1,0.0026055830,72.85,18.95,47.6,20,4.96,14.68,9.08
2020-06-22,1190,63.5,19.6,76,44,8.2,21.5,11.8,66.35,0.0003325120,2,0.0026067320,72.5,18.15,60,27.8,6.4,17.86,7.84
2020-06-23,2480,61.5,19,70,38,7.3,24.7,6.1,66.35,0.0003160920,3,0.0026302960,67.85,20.05,74.4,33.6,7.66,19.36,8.98
2020-06-24,3050,53.7,19.2,59,35,5.5,23.8,8.6,66.35,0.0001313630,4,0.0026426110,61.5,20.3,63.4,27.6,5.32,16.32,10.54
2020-06-25,4050,60.2,22.5,65,45,5.5,22,11,66.35,0.0001108370,5,0.0026935140,54,21.25,57.4,27.2,5.32,16.4,9.46
2020-06-26,3850,89,17,25,12,3.7,13.3,9.4,66.35,0.0000745000,6,0.0028109200,61.25,20.95,63.2,32.6,6.04,18.24,10.84
2020-06-27,1600,94.4,14.4,17,6,2.8,11.5,11.4,66.35,0.0001732350,7,0.0029176520,82.5,19.9,67.2,29.8,5.68,18.78,7.2
2020-06-28,1350,92,13.8,17,6,1.9,5.5,14.3,66.35,0.0001814450,1,0.0028519700,78,20.65,75.6,37,6.4,21.6,7.84
2020-06-29,907,87.5,15,38,15,3.7,16.5,9.8,66.35,0.0004646960,2,0.0027025450,59.5,20.2,79.8,39,8.02,22.54,5.3
2020-06-30,2110,59.2,21.1,38,27,3.7,13.3,12.6,66.35,0.0001715930,3,0.0025922820,62.25,20.05,75,38.8,7.66,21.96,7.52
2020-07-01,2210,63.7,18.1,34,20,2.8,11.5,13,66.35,0.0005648600,4,0.0024182270,64,18.8,73.5,32.75,6.175,17.525,8.875
2020-07-02,5660,81.9,12.7,55,25,3.7,16.5,9.8,68.91,0.0001732350,5,0.0025622330,,,53.66666667,24.66666667,5.2,14.06666667,9.9
2020-07-03,2090,82,13,57,24,3.7,13.8,13.5,68.91,0.0000296000,6,0.0029942530,,,67.5,27,6.85,17.4,4.95
2020-07-04,6880,78.3,15,53,24,3.7,13.3,15.5,68.91,0.0001863710,7,0.0026009850,,,53,16,5.5,12.8,7.4
2020-07-05,2110,76.2,18.8,68,33,5.5,14.7,11,68.91,0.0001699510,1,0.0031507390,,,34,17,3.7,8.7,11.4
2020-07-06,360,75.9,18.8,68,33,4.6,17.9,15.5,68.91,0.0001781610,2,0.0032460590,,,,,,,
2020-07-07,2270,71.7,19.8,63,31,4.6,16.5,15.1,68.91,0.0002208540,3,0.0031779150,,,,,,,
2020-07-08,2070,48.9,21.9,55,37,3.7,13.8,19.5,68.91,0.0001584570,4,0.0031606730,,,,,,,
2020-07-09,2170,75.2,18.8,55,26,3.7,14.2,12.6,68.91,0.0001182270,5,0.0030802130,,,,,,,
2020-07-10,2690,77.2,17.2,65,33,5.5,20.2,8.2,68.91,0.0000993000,6,0.0029258620,,,,,,,
2020-07-11,1930,76.2,18.6,68,34,5.5,14.2,9,68.91,0.0003932680,7,0.0028306240,,,,,,,
2020-07-12,1440,62,21,70,35,5.5,17,13,68.91,0.0001247950,1,0.0028577180,,,,,,,
2020-07-13,1210,60,22,70,41,7.3,25.6,11,68.91,,2,0.0028651070,,,,,,,
2020-07-14,4790,87,16.6,30,12,3.7,11.5,11.4,68.91,,3,0.0028899840,,,,,,,
2020-07-15,1520,88,13.8,34,13,2.8,10.1,13,68.91,,4,0.0031100160,,,,,,,
