"","Date","NPI","Daily","Humidity","Temperature","pm25","npi","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"1",2020-02-23,58.65000153,0,NA,NA,155,60,2020-02-23,1.86382981594852,1.84888043231204,1.67020412597983,2.01378034768424,76.7420621113561,0,0,0,0
"2",2020-02-24,58.65000153,3,NA,NA,112,60,2020-02-24,1.83936632624021,1.8331190710914,1.66068422958414,1.97985591471551,87.5638446453448,10.7199482477714,0,0,0
"3",2020-02-25,58.65000153,0,81.7,10.3,139,60,2020-02-25,1.80826144385948,1.80568602935668,1.63852458654015,1.95401445914412,100.67817073184,16.7044271401332,0,0,0
"4",2020-02-26,61.22000122,0,37.5,9.5,34,60,2020-02-26,1.77716552045532,1.77725787478701,1.62111630424615,1.92877958753119,114.534867059154,20.9265347379624,0,0,0
"5",2020-02-27,61.22000122,9,42.7,5.5,25,60,2020-02-27,1.7417978247471,1.73063507347581,1.58295940075957,1.89725620245991,129.580121578246,25.5556088477808,0,0,0
"6",2020-02-28,61.22000122,0,36,8.3,50,60,2020-02-28,1.69977453028203,1.69644237755374,1.55194763732505,1.83107214855643,146.158944247972,31.6846307634013,30.9405259010697,9,71
"7",2020-02-29,61.22000122,38,51,6.5,70,60,2020-02-29,1.65268424161176,1.64802475939687,1.51154481718598,1.78512970302316,164.22094488221,37.4204755819378,0,0,0
"8",2020-03-01,61.22000122,0,68.5,7,NA,60,2020-03-01,1.60372367931785,1.59752629887519,1.471186063791,1.73507489997121,183.574662542325,45.0306462694959,130.637776026739,38,54
"9",2020-03-02,61.22000122,1,81.7,3.7,NA,60,2020-03-02,1.55518609508476,1.55010842662279,1.43635587207187,1.68807713194965,203.981434499798,51.4883384217789,0,0,0
"10",2020-03-03,61.22000122,4,NA,NA,25,60,2020-03-03,1.49610513398762,1.49163081464365,1.37148810030975,1.61380490892392,225.188314345575,59.3899073416988,3.43783621122997,1,5
"11",2020-03-04,64.41999817,8,39,9.8,46,60,2020-03-04,1.44126124184361,1.43533041212459,1.32879982039853,1.55187452426916,246.926783316833,69.0199898496463,13.7513448449199,4,13
"12",2020-03-05,64.41999817,15,69,6.1,65,60,2020-03-05,1.38180695916052,1.37738013455191,1.26143911332206,1.47616735963485,268.692370442409,78.4815313203658,0,0,0
"13",2020-03-06,64.41999817,21,77.5,4,65,60,2020-03-06,1.31895536073969,1.31341917980298,1.22010831487335,1.42124521968827,289.981531417957,89.5287910807941,51.5675431684495,15,107
"14",2020-03-07,64.41999817,34,42,9.4,63,60,2020-03-07,1.26223909047029,1.2583636894267,1.1547448752068,1.34216784503174,310.282360381353,101.599377651206,72.1945604358293,21,83
