Var1,Date,NPI,Daily,Humidity,Temperature,pm25,npi,date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,avg_pm25
1,02/23/0019,58.65000153,0,NA,NA,155,60,02/23/0020,1.863829816,1.848880432,1.670204126,2.013780348,76.74206211,0,0,0,0,83.8
2,02/24/0019,58.65000153,3,NA,NA,112,60,02/24/0020,1.839366326,1.833119071,1.66068423,1.979855915,87.56384465,10.71994825,0,0,0,85.4
3,02/25/0019,58.65000153,0,81.7,10.3,139,60,02/25/0020,1.808261444,1.805686029,1.638524587,1.954014459,100.6781707,16.70442714,0,0,0,79.8
4,02/26/0019,61.22000122,0,37.5,9.5,34,60,02/26/0020,1.77716552,1.777257875,1.621116304,1.928779588,114.5348671,20.92653474,0,0,0,94.2
5,02/27/0019,61.22000122,9,42.7,5.5,25,60,02/27/0020,1.741797825,1.730635073,1.582959401,1.897256202,129.5801216,25.55560885,0,0,0,91.4
6,02/28/0019,61.22000122,0,36,8.3,50,60,02/28/0020,1.69977453,1.696442378,1.551947637,1.831072149,146.1589442,31.68463076,30.9405259,9,71,99.2
7,03/01/0019,61.22000122,38,51,6.5,70,60,02/29/0020,1.652684242,1.648024759,1.511544817,1.785129703,164.2209449,37.42047558,0,0,0,
8,03/02/0019,61.22000122,0,68.5,7,NA,60,03/01/0020,1.603723679,1.597526299,1.471186064,1.7350749,183.5746625,45.03064627,130.637776,38,54,74.2
9,03/03/0019,61.22000122,1,81.7,3.7,NA,60,03/02/0020,1.555186095,1.550108427,1.436355872,1.688077132,203.9814345,51.48833842,0,0,0,81.2
10,03/04/0019,61.22000122,4,NA,NA,25,60,03/03/0020,1.496105134,1.491630815,1.3714881,1.613804909,225.1883143,59.38990734,3.437836211,1,5,86
11,03/05/0019,64.41999817,8,39,9.8,46,60,03/04/0020,1.441261242,1.435330412,1.32879982,1.551874524,246.9267833,69.01998985,13.75134484,4,13,71
12,03/06/0019,64.41999817,15,69,6.1,65,60,03/05/0020,1.381806959,1.377380135,1.261439113,1.47616736,268.6923704,78.48153132,0,0,0,64.2
13,03/07/0019,64.41999817,21,77.5,4,65,60,03/06/0020,1.318955361,1.31341918,1.220108315,1.42124522,289.9815314,89.52879108,51.56754317,15,107,62.4
14,03/08/0019,64.41999817,34,42,9.4,63,60,03/07/0020,1.26223909,1.258363689,1.154744875,1.342167845,310.2823604,101.5993777,72.19456044,21,83,65.4
15,03/09/0019,64.41999817,0,41.5,9.3,46,60,03/08/0020,1.207419826,1.206391127,1.11461704,1.2867489,328.9237555,115.3996713,116.8864312,34,131,72.8
16,03/10/0019,64.41999817,24,67.2,8,76,60,03/09/0020,1.156308042,1.15414894,1.066822426,1.239136797,345.1911353,129.5356156,0,0,0,75.8
17,03/11/0019,69.87000275,48,46.5,10.2,78,70,03/10/0020,1.10778015,1.105481071,1.034043757,1.205062465,359.3285894,144.9735164,82.50806907,24,161,81.8
18,03/12/0019,71.79000092,28,57.7,12.8,65,70,03/11/0020,1.066941031,1.065544685,0.983516209,1.139754483,370.7015051,161.5279995,165.0161381,48,57,68.8
19,03/13/0019,71.79000092,118,78,12.5,55,70,03/12/0020,1.025700335,1.025495974,0.956276577,1.10690474,379.1481565,178.9455525,96.25941391,28,159,77.4
20,03/14/0019,71.79000092,0,71.7,12.6,55,70,03/13/0020,0.989948322,0.987751436,0.913247459,1.0660762,384.7663557,196.9501019,405.6646729,118,103,77.4
21,03/15/0019,71.79000092,54,81,9.9,55,70,03/14/0020,0.958765706,0.95604243,0.876344926,1.02672463,387.5860661,215.4833133,0,0,0,67.8
22,03/16/0019,71.79000092,183,66.2,9.4,57,70,03/15/0020,0.928755448,0.929131134,0.848057503,0.992349558,387.6603026,233.9585212,185.6431554,54,158,73.2
23,03/17/0019,71.79000092,207,60.9,10,68,70,03/16/0020,0.904753702,0.903905085,0.833320047,0.975686986,385.2418883,252.0934891,383.9034206,183,548,73.8
24,03/18/0019,77.55999756,293,62,9.5,87,80,03/17/0020,0.884224607,0.883698471,0.820413186,0.954868657,380.5658125,269.6555147,458.5159399,207,519,65.2
25,03/19/0019,77.55999756,0,49.2,15.2,95,80,03/18/0020,0.866929924,0.865594873,0.79171047,0.929022646,373.9493327,286.3799744,524.6673547,293,642,56.8
26,03/20/0019,77.55999756,514,51.5,14.5,93,80,03/19/0020,0.849534125,0.848218654,0.769387233,0.908315507,365.786008,301.7849636,0,0,0,69.6
27,03/21/0019,82.05000305,124,55.5,13,82,80,03/20/0020,0.836482375,0.83583563,0.76139516,0.890754244,356.4091398,315.6972306,542.1108152,514,1090,84.6
28,03/22/0019,82.05000305,309,55.7,14,76,80,03/21/0020,0.824014826,0.822197104,0.765498432,0.88658823,346.0198176,327.7719831,426.2916902,124,309,83.6
29,03/23/0019,82.05000305,209,75.2,11.6,80,80,03/22/0020,0.815793885,0.814311118,0.747462729,0.870657194,334.8496865,338.0088574,384.0326925,309,925,82
30,03/24/0019,82.05000305,298,52,5.5,38,80,03/23/0020,0.808355229,0.806857547,0.736522912,0.858667651,323.1448874,346.1760419,590.3415176,209,407,82
31,03/25/0019,82.05000305,317,49.9,5.9,50,80,03/24/0020,0.803812022,0.801104936,0.744161567,0.860479296,311.1574023,352.2897337,393.7752918,298,870,79.8
32,03/26/0019,82.05000305,295,53.7,5,55,80,03/25/0020,0.799197037,0.798187876,0.74084048,0.860668571,299.1055233,356.2783565,493.1355074,317,739,73.2
33,03/27/0019,82.05000305,253,67.2,4.4,50,80,03/26/0020,0.79700842,0.796960031,0.733282771,0.850172479,287.1537629,358.2897288,419.2035433,295,809,61.6
34,03/28/0019,83.97000122,297,83.2,7.2,46,80,03/27/0020,0.795344263,0.795763794,0.731986459,0.851336351,275.4015018,358.3583297,388.3203532,253,749,60
35,03/29/0019,83.97000122,275,64.2,12.9,65,80,03/28/0020,0.793731167,0.791843603,0.733958127,0.853487118,263.9295091,356.6706961,368.7201851,297,926,68.8
36,03/30/0019,83.97000122,217,61.2,13.3,72,80,03/29/0020,0.793543555,0.792325607,0.737740107,0.855028056,252.8107245,353.3397995,241.5152162,275,1309,77.4
37,03/31/0019,83.97000122,305,79.2,10.3,50,80,03/30/0020,0.79223474,0.789214883,0.726545888,0.844054813,242.0705825,348.5888778,409.6320149,217,609,74.8
38,04/01/0019,83.97000122,256,67.4,6.1,30,80,03/31/0020,0.791239327,0.788300237,0.724799023,0.84489387,231.7357101,342.5792267,310.5684596,305,1129,60
39,04/02/0019,83.97000122,280,56,6.5,57,80,04/01/0020,0.790595736,0.790776983,0.720027389,0.84161022,221.8018221,335.5457179,236.3861701,256,1245,50.8
40,04/03/0019,83.97000122,304,54.7,8.6,76,80,04/02/0020,0.790318786,0.790245254,0.728133621,0.850189462,212.2386067,327.5813536,314.3471486,280,1024,57.2
41,04/04/0019,83.97000122,477,53.2,11.3,89,80,04/03/0020,0.787608403,0.787079278,0.71721387,0.842567807,203.0413582,318.9565178,286.2261904,304,1221,61.6
42,04/05/0019,83.97000122,213,50,12.7,80,80,04/04/0020,0.787008366,0.786291312,0.724517749,0.842091934,194.2164375,309.8203587,322.3780886,477,1701,49.2
43,04/06/0019,83.97000122,195,47.5,12.5,74,80,04/05/0020,0.783044996,0.781093614,0.722342606,0.836787584,185.7133241,300.3349729,552.7481882,213,443,54.8
44,04/07/0019,83.97000122,195,45.5,14,68,80,04/06/0020,0.780649521,0.777137769,0.714522518,0.834106368,177.509646,290.582321,249.9157454,195,897,62.2
45,04/08/0019,83.97000122,220,39.5,15.2,65,80,04/07/0020,0.777770426,0.774647837,0.714821196,0.833075253,169.5729433,280.7319874,160.6985116,195,1395,70.2
46,04/09/0019,83.97000122,330,33.2,16.5,59,80,04/08/0020,0.775376899,0.774448465,0.712326073,0.834975102,161.8775423,270.8543465,141.9274604,220,1782,82.2
47,04/10/0019,83.97000122,301,36,16.9,59,80,04/09/0020,0.773128615,0.773610411,0.702072167,0.831840034,154.4299456,261.031283,170.3511907,330,2227,68.2
48,04/11/0019,81.41000366,379,33.7,18,55,80,04/10/0020,0.768106488,0.766343397,0.714074576,0.83611726,147.2348844,251.3351645,121.1601335,301,2856,67.6
49,04/12/0019,81.41000366,334,34.4,17.5,53,80,04/11/0020,0.763083656,0.759568176,0.697124624,0.817870563,140.2927687,241.7828982,223.6668946,379,1948,52.2
