Date,Daily,Humidity,Temperature,pm25,retail,grocery,parks,transit,work,home
2/24/20,0,,,112,-6,23,31,-21,-21,5
2/25/20,3,81.7,10.3,139,-10,3,3,-26,-21,7
2/26/20,0,37.5,9.5,34,-14,-7,-12,-29,-19,8
2/27/20,0,42.7,5.5,25,-9,-4,-2,-26,-18,7
2/28/20,9,36,8.3,50,-8,-3,24,-22,-17,7
2/29/20,0,51,6.5,70,-12,-1,-8,-18,-7,5
3/1/20,38,68.5,7,,-11,-2,3,-14,-3,3
3/2/20,0,81.7,3.7,,-15,-10,-38,-29,-15,7
3/3/20,1,,,25,-2,1,21,-20,-14,5
3/4/20,4,39,9.8,46,-4,1,25,-21,-13,5
3/5/20,8,69,6.1,65,-14,-3,-23,-27,-15,7
3/6/20,15,77.5,4,65,-13,0,4,-25,-15,8
3/7/20,21,42,9.4,63,-15,2,26,-17,-8,5
3/8/20,34,41.5,9.3,46,-34,5,-2,-25,-8,6
3/9/20,0,67.2,8,76,-31,-2,-19,-42,-24,12
3/10/20,24,46.5,10.2,78,-43,-7,-21,-51,-30,16
3/11/20,48,57.7,12.8,65,-50,-14,-19,-56,-35,19
3/12/20,28,78,12.5,55,-69,-23,-57,-66,-44,24
3/13/20,118,71.7,12.6,55,-73,-26,-51,-69,-50,28
3/14/20,0,81,9.9,55,-84,-44,-77,-75,-55,26
3/15/20,54,66.2,9.4,57,-90,-61,-78,-80,-52,22
3/16/20,183,60.9,10,68,-73,-35,-58,-73,-56,27
3/17/20,207,62,9.5,87,-75,-38,-56,-73,-59,29
3/18/20,293,49.2,15.2,95,-77,-42,-61,-75,-60,30
3/19/20,0,51.5,14.5,93,-77,-41,-65,-76,-61,31
3/20/20,514,55.5,13,82,-79,-37,-71,-76,-62,33
3/21/20,124,55.7,14,76,-86,-51,-82,-79,-59,26
3/22/20,309,75.2,11.6,80,-94,-82,-91,-86,-59,24
3/23/20,209,52,5.5,38,-80,-45,-79,-81,-69,33
3/24/20,298,49.9,5.9,50,-81,-46,-77,-80,-70,34
3/25/20,317,53.7,5,55,-82,-49,-80,-81,-70,35
3/26/20,295,67.2,4.4,50,-83,-49,-80,-82,-73,36
3/27/20,253,83.2,7.2,46,-83,-45,-80,-81,-72,38
3/28/20,297,64.2,12.9,65,-87,-54,-83,-80,-62,27
3/29/20,275,61.2,13.3,72,-94,-82,-89,-85,-59,23
3/30/20,217,79.2,10.3,50,-82,-47,-79,-80,-71,34
3/31/20,305,67.4,6.1,30,-90,-42,-77,-79,-71,34
4/1/20,256,56,6.5,57,-90,-40,-75,-78,-70,34
