date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-18,1.9452148733268253,1.941470206085751,1.741765500295956,2.189917653765869,168.8005002837441,0.0,0.0,0,0
2020-02-19,1.9319107236763,1.9167389129934884,1.7070026360559363,2.140899730114282,2.380092760026929,0.0,0.0,0,0
2020-02-20,1.9186375387131016,1.904860775797423,1.710605159706924,2.127201744444845,33.75347180464267,0.0,0.0,0,0
2020-02-21,1.9034597134513576,1.8924033835961516,1.7277657153068378,2.1087776429463827,64.30180631244573,0.0,0.0,0,0
2020-02-22,1.8869587819269598,1.8801640474660601,1.707726065131129,2.0651133698009017,71.4039571121045,0.0,0.0,0,0
2020-02-23,1.8638298159485216,1.848880432312037,1.6702041259798266,2.0137803476842433,76.74206211135615,0.0,0.0,0,0
2020-02-24,1.839366326240206,1.8331190710914038,1.6606842295841424,1.9798559147155126,87.56384464534482,10.719948247771391,0.0,0,0
2020-02-25,1.8082614438594777,1.805686029356683,1.6385245865401543,1.9540144591441153,100.67817073184035,16.704427140133227,0.0,0,0
2020-02-26,1.7771655204553198,1.7772578747870051,1.6211163042461492,1.9287795875311884,114.53486705915427,20.926534737962434,0.0,0,0
2020-02-27,1.741797824747104,1.7306350734758134,1.5829594007595722,1.8972562024599111,129.5801215782459,25.5556088477808,0.0,0,0
2020-02-28,1.6997745302820297,1.6964423775537423,1.5519476373250498,1.8310721485564319,146.15894424797176,31.684630763401294,30.940525901069712,9,71
2020-02-29,1.6526842416117626,1.6480247593968689,1.5115448171859818,1.785129703023165,164.22094488221032,37.42047558193782,0.0,0,0
2020-03-01,1.603723679317852,1.5975262988751933,1.4711860637909955,1.7350748999712142,183.5746625423251,45.030646269495904,130.63777602673878,38,54
2020-03-02,1.5551860950847571,1.5501084266227871,1.4363558720718672,1.6880771319496475,203.9814344997977,51.48833842177893,0.0,0,0
