Date,City,Daily,Humidity,Temperature,pm25,pm10,so2,co,no2,o3,DailyLag
1/21/20,Wuhan,0,87,5,91,101,8,1.2,47,45,
1/22/20,Wuhan,0,92,5,81,89,5,1,30,45,80
1/23/20,Wuhan,0,89,6,80,89,5,1.1,23,47,892
1/24/20,Wuhan,0,93,6,28,37,5,0.5,0.8,13,315
1/25/20,Wuhan,0,91,5,45,52,5,0.8,13,52,356
1/26/20,Wuhan,80,87,2,30,48,5,0.6,10,74,378
1/27/20,Wuhan,892,82,3,47,60,5,0.8,11,63,576
1/28/20,Wuhan,315,81,3,56,57,5,0.7,16,80,894
1/29/20,Wuhan,356,79,4,54,60,8,0.7,21,85,1033
1/30/20,Wuhan,378,77,4,55,80,7,0.8,28,98,1242
1/31/20,Wuhan,576,72,4,72,59,10,1,34,110,1967
2/1/20,Wuhan,894,66,7,66,74,11,1,35,94,1766
2/2/20,Wuhan,1033,75,8,64,69,7,0.8,33,73,1501
2/3/20,Wuhan,1242,80,6,74,80,8,1,31,94,1985
2/4/20,Wuhan,1967,78,6,64,73,9,0.9,36,106,1379
2/5/20,Wuhan,1766,74,7,97,103,9,1.3,32,93,1921
2/6/20,Wuhan,1501,92,4,36,48,5,0.7,14,53,1552
2/7/20,Wuhan,1985,84,4,18,20,5,0.6,12,46,1104
2/10/20,Wuhan,1552,84,7,43,45,8,1,26,60,1923
2/11/20,Wuhan,1104,87,9,28,31,6,0.9,17,55,1548
2/12/20,Wuhan,13436,87,9,27,32,7,1,23,52,1690
2/13/20,Wuhan,3910,88,11,24,31,9,1.2,23,49,1600
2/14/20,Wuhan,1923,90,13,30,36,7,1.2,18,46,1660
2/15/20,Wuhan,1548,90,2,13,25,5,0.8,10,54,615
2/16/20,Wuhan,1690,76,2,11,22,6,0.6,13,78,319
2/17/20,Wuhan,1600,71,3,14,23,6,0.6,17,88,314
2/18/20,Wuhan,1660,67,6,22,26,8,0.7,23,102,541
2/19/20,Wuhan,615,63,9,30,34,12,0.8,22,86,348
2/20/20,Wuhan,319,71,8,41,48,10,1,29,98,464
2/22/20,Wuhan,541,79,9,43,57,9,1,20,104,383
2/24/20,Wuhan,464,66,18,41,57,12,1,18,103,420
2/25/20,Wuhan,370,76,17,75,89,7,1.2,21,100,565
2/26/20,Wuhan,383,85,11,44,54,6,1.2,15,62,
2/27/20,Wuhan,313,86,9,32,45,6,0.9,17,57,
2/28/20,Wuhan,420,95,5,9,12,5,0.8,16,39,
2/29/20,Wuhan,565,86,8,17,17,6,1,19,80,
